electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Alabama,Autauga County,01001,20447,72,7429,26,95.0,2024-11-06T03:23:40.143000+0000
2024,Alabama,Baldwin County,01003,95144,78,24763,20,99.0,2024-11-06T04:25:00.113000+0000
2024,Alabama,Barbour County,01005,5578,57,4120,42,96.0,2024-11-06T03:38:25.223000+0000
2024,Alabama,Bibb County,01007,7563,82,1617,18,95.0,2024-11-06T03:35:30.353000+0000
2024,Alabama,Blount County,01009,25271,90,2569,9,99.0,2024-11-06T03:23:30.170000+0000
2024,Alabama,Bullock County,01011,1099,27,2983,73,92.0,2024-11-06T02:50:30.140000+0000
2024,Alabama,Butler County,01013,5167,61,3248,38,92.0,2024-11-06T06:17:40.107000+0000
2024,Alabama,Calhoun County,01015,34841,72,13170,27,98.0,2024-11-06T05:05:30.217000+0000
2024,Alabama,Chambers County,01017,8704,61,5402,38,95.0,2024-11-06T05:18:15.160000+0000
2024,Alabama,Cherokee County,01019,11342,88,1550,12,95.0,2024-11-06T03:41:15.363000+0000
2024,Alabama,Chilton County,01021,16901,86,2697,14,99.0,2024-11-08T13:42:35.090000+0000
2024,Alabama,Choctaw County,01023,4094,62,2511,38,92.0,2024-11-06T04:17:25.233000+0000
2024,Alabama,Clarke County,01025,6956,58,4917,41,94.0,2024-11-06T03:54:20.153000+0000
2024,Alabama,Clay County,01027,5693,85,986,15,99.0,2024-11-06T03:43:50.153000+0000
2024,Alabama,Cleburne County,01029,6984,91,605,8,99.0,2024-11-06T03:34:55.130000+0000
2024,Alabama,Coffee County,01031,17457,79,4585,21,95.0,2024-11-06T03:52:30.553000+0000
2024,Alabama,Colbert County,01033,19614,73,7092,26,95.0,2024-11-06T03:52:30.127000+0000
2024,Alabama,Conecuh County,01035,3423,57,2580,43,95.0,2024-11-06T04:05:15.293000+0000
2024,Alabama,Coosa County,01037,3750,71,1475,28,95.0,2024-11-06T03:35:30.870000+0000
2024,Alabama,Covington County,01039,14664,86,2309,14,99.0,2024-11-06T03:34:15.440000+0000
2024,Alabama,Crenshaw County,01041,4993,77,1453,22,99.0,2024-11-06T02:46:50.173000+0000
2024,Alabama,Cullman County,01043,38669,90,4033,9,95.0,2024-11-06T04:42:15.083000+0000
2024,Alabama,Dale County,01045,14473,76,4478,24,95.0,2024-11-06T03:41:15.390000+0000
2024,Alabama,Dallas County,01047,5188,33,10233,66,90.0,2024-11-06T03:47:00.370000+0000
2024,Alabama,DeKalb County,01049,25631,87,3757,13,95.0,2024-11-06T03:37:15.130000+0000
2024,Alabama,Elmore County,01051,31336,76,9764,24,95.0,2024-11-06T04:17:25.217000+0000
2024,Alabama,Escambia County,01053,10866,73,3956,27,97.0,2024-11-06T03:20:05.123000+0000
2024,Alabama,Etowah County,01055,35470,78,9969,22,95.0,2024-11-06T04:26:25.257000+0000
2024,Alabama,Fayette County,01057,7154,86,1141,14,98.0,2024-11-06T02:55:10.320000+0000
2024,Alabama,Franklin County,01059,10404,86,1566,13,99.0,2024-11-06T03:52:30.213000+0000
2024,Alabama,Geneva County,01061,10924,88,1389,11,95.0,2024-11-06T03:05:45.213000+0000
2024,Alabama,Greene County,01063,885,22,3131,78,87.0,2024-11-06T03:38:25.193000+0000
2024,Alabama,Hale County,01065,3363,46,3861,53,95.0,2024-11-06T04:13:25.113000+0000
2024,Alabama,Henry County,01067,6983,75,2259,24,99.0,2024-11-06T02:23:51.097000+0000
2024,Alabama,Houston County,01069,32255,74,11258,26,95.0,2024-11-06T03:35:30.460000+0000
2024,Alabama,Jackson County,01071,20073,85,3274,14,95.0,2024-11-06T03:52:30.107000+0000
2024,Alabama,Jefferson County,01073,130991,44,161828,54,94.0,2024-11-07T21:25:20.127000+0000
2024,Alabama,Lamar County,01075,6028,88,805,12,95.0,2024-11-06T03:35:30.627000+0000
2024,Alabama,Lauderdale County,01077,32615,75,10299,24,95.0,2024-11-06T04:49:15.093000+0000
2024,Alabama,Lawrence County,01079,12961,81,2975,19,99.0,2024-11-06T03:43:25.100000+0000
2024,Alabama,Lee County,01081,45883,63,25672,35,95.0,2024-11-06T16:08:10.143000+0000
2024,Alabama,Limestone County,01083,37524,71,14452,27,95.0,2024-11-06T03:56:25.180000+0000
2024,Alabama,Lowndes County,01085,1755,31,3865,68,85.0,2024-11-06T04:23:10.197000+0000
2024,Alabama,Macon County,01087,1681,22,6069,78,93.0,2024-11-06T03:16:00.100000+0000
2024,Alabama,Madison County,01089,105149,54,87509,45,99.0,2024-11-08T13:43:10.117000+0000
2024,Alabama,Marengo County,01091,4990,52,4621,48,91.0,2024-11-06T03:14:30.623000+0000
2024,Alabama,Marion County,01093,12238,91,1196,9,95.0,2024-11-06T04:20:30.210000+0000
2024,Alabama,Marshall County,01095,34350,85,5535,14,95.0,2024-11-06T04:05:45.197000+0000
2024,Alabama,Mobile County,01097,99981,58,71279,41,95.0,2024-11-06T04:36:20.253000+0000
2024,Alabama,Monroe County,01099,5997,61,3736,38,95.0,2024-11-06T03:17:45.140000+0000
2024,Alabama,Montgomery County,01101,30404,34,57734,65,93.0,2024-11-06T04:38:10.230000+0000
2024,Alabama,Morgan County,01103,40310,76,12343,23,95.0,2024-11-06T05:04:05.153000+0000
2024,Alabama,Perry County,01105,1268,29,3170,71,88.0,2024-11-06T03:23:15.103000+0000
2024,Alabama,Pickens County,01107,5455,61,3385,38,95.0,2024-11-06T03:12:55.157000+0000
2024,Alabama,Pike County,01109,8213,62,4882,37,99.0,2024-11-06T03:18:00.203000+0000
2024,Alabama,Randolph County,01111,9098,82,1919,17,95.0,2024-11-06T05:37:10.143000+0000
2024,Alabama,Russell County,01113,10047,49,10379,50,95.0,2024-11-06T02:55:55.270000+0000
2024,Alabama,St. Clair County,01115,34873,82,7483,18,95.0,2024-11-06T14:28:10.120000+0000
2024,Alabama,Shelby County,01117,79522,70,32947,29,95.0,2024-11-06T08:17:10.107000+0000
2024,Alabama,Sumter County,01119,1542,29,3722,70,87.0,2024-11-06T04:36:55.153000+0000
2024,Alabama,Talladega County,01121,22070,67,10878,33,95.0,2024-11-06T03:08:05.377000+0000
2024,Alabama,Tallapoosa County,01123,14881,74,4974,25,95.0,2024-11-06T04:06:30.323000+0000
2024,Alabama,Tuscaloosa County,01125,50617,60,33322,39,95.0,2024-11-06T04:42:15.123000+0000
2024,Alabama,Walker County,01127,25393,86,4092,14,95.0,2024-11-06T03:55:10.210000+0000
2024,Alabama,Washington County,01129,6526,78,1859,22,95.0,2024-11-06T03:44:20.130000+0000
2024,Alabama,Wilcox County,01131,1793,34,3449,66,92.0,2024-11-06T04:10:25.237000+0000
2024,Alabama,Winston County,01133,10190,92,882,8,95.0,2024-11-06T03:52:30.283000+0000
