electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Arizona,Apache County,04001,10028,40,14470,58,75.0,2024-11-07T01:27:40.120000+0000
2024,Arizona,Cochise County,04003,17146,66,8358,32,43.0,2024-11-08T01:12:45.203000+0000
2024,Arizona,Coconino County,04005,25443,39,38839,60,91.0,2024-11-08T01:48:40.083000+0000
2024,Arizona,Gila County,04007,16346,68,7506,31,88.0,2024-11-07T19:59:35.210000+0000
2024,Arizona,Graham County,04009,11176,74,3867,25,95.0,2024-11-08T00:57:35.180000+0000
2024,Arizona,Greenlee County,04011,2307,70,954,29,95.0,2024-11-08T15:49:35.163000+0000
2024,Arizona,La Paz County,04012,5106,72,1935,27,92.0,2024-11-08T00:21:40.157000+0000
2024,Arizona,Maricopa County,04013,841632,52,771997,47,78.0,2024-11-08T17:57:00.303000+0000
2024,Arizona,Mohave County,04015,77920,78,21922,22,90.0,2024-11-08T00:18:45.103000+0000
2024,Arizona,Navajo County,04017,29168,58,20411,41,95.0,2024-11-08T21:39:35.210000+0000
2024,Arizona,Pima County,04019,163359,41,231168,58,77.0,2024-11-08T22:25:45.340000+0000
2024,Arizona,Pinal County,04021,114462,61,71905,38,89.0,2024-11-08T00:40:15.180000+0000
2024,Arizona,Santa Cruz County,04023,6878,40,9997,59,89.0,2024-11-06T11:44:45.177000+0000
2024,Arizona,Yavapai County,04025,71063,67,33719,32,69.0,2024-11-08T23:03:35.183000+0000
2024,Arizona,Yuma County,04027,23784,64,12996,35,60.0,2024-11-08T03:30:40.160000+0000
