electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,California,Alameda County,06001,58261,25,167587,72,34.0,2024-11-08T04:25:20.170000+0000
2024,California,Alpine County,06003,231,33,444,64,96.0,2024-11-06T06:30:50.487000+0000
2024,California,Amador County,06005,13884,62,7709,35,95.0,2024-11-08T22:40:20.400000+0000
2024,California,Butte County,06007,34303,50,33101,48,74.0,2024-11-07T01:25:15.390000+0000
2024,California,Calaveras County,06009,16456,63,9071,35,95.0,2024-11-08T22:40:20.190000+0000
2024,California,Colusa County,06011,2259,62,1291,36,66.0,2024-11-08T00:50:25.317000+0000
2024,California,Contra Costa County,06013,104349,30,232315,67,64.0,2024-11-06T09:26:10.140000+0000
2024,California,Del Norte County,06015,3717,56,2781,42,61.0,2024-11-06T06:22:00.163000+0000
2024,California,El Dorado County,06017,44283,54,35900,44,77.0,2024-11-06T08:15:15.183000+0000
2024,California,Fresno County,06019,116644,53,98027,45,69.0,2024-11-08T00:50:25.463000+0000
2024,California,Glenn County,06021,5260,67,2366,30,64.0,2024-11-08T00:50:25.117000+0000
2024,California,Humboldt County,06023,11566,37,18448,60,48.0,2024-11-06T09:26:10.117000+0000
2024,California,Imperial County,06025,11537,45,13388,52,51.0,2024-11-08T04:25:20.130000+0000
2024,California,Inyo County,06027,4203,51,3833,46,91.0,2024-11-08T04:25:15.140000+0000
2024,California,Kern County,06029,99526,60,62390,38,55.0,2024-11-06T11:40:10.120000+0000
2024,California,Kings County,06031,19311,62,11438,37,75.0,2024-11-08T00:50:25.717000+0000
2024,California,Lake County,06033,3772,48,3899,50,29.0,2024-11-06T13:04:10.097000+0000
2024,California,Lassen County,06035,6507,75,2007,23,73.0,2024-11-08T18:40:10.177000+0000
2024,California,Los Angeles County,06037,950071,34,1807292,64,75.0,2024-11-08T00:34:50.150000+0000
2024,California,Madera County,06039,21823,60,14084,38,67.0,2024-11-06T07:59:20.090000+0000
2024,California,Marin County,06041,16864,18,76374,80,67.0,2024-11-08T21:20:15.317000+0000
2024,California,Mariposa County,06043,5453,59,3526,38,95.0,2024-11-07T22:25:15.260000+0000
2024,California,Mendocino County,06045,4852,32,10110,66,42.0,2024-11-06T08:00:10.140000+0000
2024,California,Merced County,06047,23536,52,20694,46,54.0,2024-11-08T18:40:10.213000+0000
2024,California,Modoc County,06049,2440,71,865,25,85.0,2024-11-06T06:44:25.107000+0000
2024,California,Mono County,06051,2168,38,3338,58,95.0,2024-11-08T01:26:15.130000+0000
2024,California,Monterey County,06053,29165,33,56842,65,61.0,2024-11-06T09:10:05.167000+0000
2024,California,Napa County,06055,8643,34,16599,64,38.0,2024-11-06T08:52:30.170000+0000
2024,California,Nevada County,06057,7886,52,7025,46,22.0,2024-11-06T07:49:00.100000+0000
2024,California,Orange County,06059,525643,49,520948,48,75.0,2024-11-08T01:00:45.253000+0000
2024,California,Placer County,06061,87638,54,71533,44,71.0,2024-11-06T10:21:10.133000+0000
2024,California,Plumas County,06063,4781,57,3328,40,95.0,2024-11-06T04:50:20.253000+0000
2024,California,Riverside County,06065,314507,50,306279,48,64.0,2024-11-08T01:31:05.287000+0000
2024,California,Sacramento County,06067,123553,40,175509,57,46.0,2024-11-06T10:11:40.183000+0000
2024,California,San Benito County,06069,7637,44,9302,54,64.0,2024-11-08T04:25:15.210000+0000
2024,California,San Bernardino County,06071,232729,51,210717,46,64.0,2024-11-08T00:01:10.100000+0000
2024,California,San Diego County,06073,426182,42,572411,56,67.0,2024-11-08T01:28:05.233000+0000
2024,California,San Francisco County,06075,41417,16,203375,80,61.0,2024-11-08T00:50:25.207000+0000
2024,California,San Joaquin County,06077,75626,50,71860,48,58.0,2024-11-06T08:41:10.080000+0000
2024,California,San Luis Obispo County,06079,40772,42,54079,56,65.0,2024-11-08T22:40:20.210000+0000
2024,California,San Mateo County,06081,53851,25,158594,73,68.0,2024-11-08T00:25:05.223000+0000
2024,California,Santa Barbara County,06083,47071,35,83248,62,73.0,2024-11-07T23:16:10.167000+0000
2024,California,Santa Clara County,06085,149611,29,344428,67,69.0,2024-11-08T00:52:10.123000+0000
2024,California,Santa Cruz County,06087,21128,22,73657,75,67.0,2024-11-08T00:50:25.580000+0000
2024,California,Shasta County,06089,18243,68,8001,30,29.0,2024-11-08T01:26:15.187000+0000
2024,California,Sierra County,06091,1058,61,635,37,99.0,2024-11-08T22:25:15.157000+0000
2024,California,Siskiyou County,06093,11828,58,7972,39,95.0,2024-11-08T22:55:10.137000+0000
2024,California,Solano County,06095,63677,37,103392,60,81.0,2024-11-08T01:10:15.107000+0000
2024,California,Sonoma County,06097,42550,25,122977,72,65.0,2024-11-08T22:25:15.213000+0000
2024,California,Stanislaus County,06099,68939,55,53300,43,64.0,2024-11-08T01:50:15.177000+0000
2024,California,Sutter County,06101,17348,64,9153,34,85.0,2024-11-08T21:20:15.187000+0000
2024,California,Tehama County,06103,11652,69,4975,29,63.0,2024-11-08T19:25:10.117000+0000
2024,California,Trinity County,06105,2542,53,2133,44,85.0,2024-11-08T21:20:15.410000+0000
2024,California,Tulare County,06107,61860,60,39146,38,77.0,2024-11-08T22:40:20.447000+0000
2024,California,Tuolumne County,06109,16673,60,10677,38,95.0,2024-11-08T00:50:25.533000+0000
2024,California,Ventura County,06111,116825,43,151463,55,75.0,2024-11-08T00:07:05.200000+0000
2024,California,Yolo County,06113,16109,32,32517,65,59.0,2024-11-06T09:55:15.137000+0000
2024,California,Yuba County,06115,9923,61,5854,36,53.0,2024-11-06T08:45:15.170000+0000
