electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Colorado,Adams County,08001,95657,40,134202,57,100.0,2020-12-06T15:48:21.667000+0000
2020,Colorado,Alamosa County,08003,3813,49,3759,48,100.0,2020-12-06T15:48:25.507000+0000
2020,Colorado,Arapahoe County,08005,127323,36,213607,61,100.0,2020-12-07T15:15:08.213000+0000
2020,Colorado,Archuleta County,08007,5189,57,3738,41,100.0,2020-11-24T13:54:34.427000+0000
2020,Colorado,Baca County,08009,1867,84,317,14,100.0,2020-12-06T15:45:07.180000+0000
2020,Colorado,Bent County,08011,1503,66,732,32,100.0,2020-11-24T13:54:34.837000+0000
2020,Colorado,Boulder County,08013,42501,21,159089,77,100.0,2020-12-06T15:45:13.470000+0000
2020,Colorado,Broomfield County,08014,16295,35,29077,62,100.0,2020-11-24T13:54:32.130000+0000
2020,Colorado,Chaffee County,08015,6222,45,7160,52,100.0,2020-11-24T13:54:35.130000+0000
2020,Colorado,Cheyenne County,08017,993,87,131,12,100.0,2020-12-06T15:45:13.547000+0000
2020,Colorado,Clear Creek County,08019,2754,42,3604,55,100.0,2020-12-06T15:45:23.400000+0000
2020,Colorado,Conejos County,08021,2286,53,1959,45,100.0,2020-12-06T15:45:25.690000+0000
2020,Colorado,Costilla County,08023,741,35,1311,63,100.0,2020-12-06T15:48:31.607000+0000
2020,Colorado,Crowley County,08025,1271,73,437,25,100.0,2020-11-24T13:54:35.537000+0000
2020,Colorado,Custer County,08027,2474,68,1112,31,100.0,2020-11-24T23:30:52.350000+0000
2020,Colorado,Delta County,08029,13081,68,5887,30,100.0,2020-12-06T15:45:33.800000+0000
2020,Colorado,Denver County,08031,71618,18,313293,80,100.0,2020-12-06T15:48:39.727000+0000
2020,Colorado,Dolores County,08033,1089,75,341,24,100.0,2020-11-24T13:54:36.357000+0000
2020,Colorado,Douglas County,08035,121270,52,104653,45,100.0,2020-11-24T13:54:36.637000+0000
2020,Colorado,Eagle County,08037,9892,34,18588,64,100.0,2020-12-06T15:45:42.010000+0000
2020,Colorado,Elbert County,08039,14027,74,4490,24,100.0,2020-11-24T13:54:37.017000+0000
2020,Colorado,El Paso County,08041,202828,54,161941,43,100.0,2020-12-06T15:48:47.853000+0000
2020,Colorado,Fremont County,08043,17517,69,7369,29,100.0,2020-12-06T15:45:54.143000+0000
2020,Colorado,Garfield County,08045,14717,48,15427,50,100.0,2020-12-06T15:48:55.987000+0000
2020,Colorado,Gilpin County,08047,1833,44,2223,53,100.0,2020-11-24T13:54:37.810000+0000
2020,Colorado,Grand County,08049,4883,50,4710,48,100.0,2020-12-06T15:49:06.190000+0000
2020,Colorado,Gunnison County,08051,3735,33,7132,64,100.0,2020-12-05T17:40:27.940000+0000
2020,Colorado,Hinsdale County,08053,353,56,255,40,100.0,2020-11-24T13:54:38.007000+0000
2020,Colorado,Huerfano County,08055,2203,50,2076,47,100.0,2020-12-06T15:50:06.387000+0000
2020,Colorado,Jackson County,08057,681,78,175,20,100.0,2020-12-06T15:46:04.097000+0000
2020,Colorado,Jefferson County,08059,148417,39,218396,58,100.0,2020-12-06T15:46:10.520000+0000
2020,Colorado,Kiowa County,08061,795,88,98,11,100.0,2020-12-06T15:51:01.130000+0000
2020,Colorado,Kit Carson County,08063,3144,81,662,17,100.0,2020-12-06T15:46:17.057000+0000
2020,Colorado,Lake County,08065,1497,38,2303,58,100.0,2020-11-24T13:54:38.170000+0000
2020,Colorado,La Plata County,08067,14233,40,20548,58,100.0,2020-12-06T15:46:23.167000+0000
2020,Colorado,Larimer County,08069,91489,41,126120,56,100.0,2020-12-06T15:46:31.280000+0000
2020,Colorado,Las Animas County,08071,4284,54,3497,44,100.0,2020-12-06T15:50:12.503000+0000
2020,Colorado,Lincoln County,08073,2135,81,470,18,100.0,2020-12-06T15:46:43.457000+0000
2020,Colorado,Logan County,08075,8087,77,2218,21,100.0,2020-12-06T15:46:49.887000+0000
2020,Colorado,Mesa County,08077,56894,63,31536,35,100.0,2020-12-06T15:46:53.943000+0000
2020,Colorado,Mineral County,08079,427,57,317,42,100.0,2020-11-24T13:54:24.577000+0000
2020,Colorado,Moffat County,08081,5670,81,1203,17,100.0,2020-12-06T15:47:04.180000+0000
2020,Colorado,Montezuma County,08083,9306,60,5836,38,100.0,2020-11-24T13:54:25.240000+0000
2020,Colorado,Montrose County,08085,16770,67,7687,31,100.0,2020-12-06T15:50:40.917000+0000
2020,Colorado,Morgan County,08087,9593,70,3876,28,100.0,2020-12-06T15:47:12.253000+0000
2020,Colorado,Otero County,08089,5756,60,3605,38,100.0,2020-12-06T15:47:18.293000+0000
2020,Colorado,Ouray County,08091,1577,39,2365,59,100.0,2020-11-24T13:54:27.400000+0000
2020,Colorado,Park County,08093,6991,57,4903,40,100.0,2020-11-24T13:54:27.557000+0000
2020,Colorado,Phillips County,08095,1958,79,486,20,100.0,2020-12-06T15:47:24.403000+0000
2020,Colorado,Pitkin County,08097,2780,23,8989,75,100.0,2020-12-06T15:50:22.740000+0000
2020,Colorado,Prowers County,08099,4008,72,1458,26,100.0,2020-12-06T15:47:30.607000+0000
2020,Colorado,Pueblo County,08101,42252,48,43772,50,100.0,2020-12-06T15:47:34.667000+0000
2020,Colorado,Rio Blanco County,08103,3061,83,561,15,100.0,2020-12-06T15:47:40.893000+0000
2020,Colorado,Rio Grande County,08105,3660,58,2495,40,100.0,2020-12-06T15:47:44.923000+0000
2020,Colorado,Routt County,08107,5925,35,10582,63,100.0,2020-11-24T13:54:29.610000+0000
2020,Colorado,Saguache County,08109,1413,42,1884,56,100.0,2020-11-24T13:54:30.117000+0000
2020,Colorado,San Juan County,08111,202,36,342,61,100.0,2020-11-24T13:54:30.520000+0000
2020,Colorado,San Miguel County,08113,1136,22,3924,76,100.0,2020-11-24T13:54:30.833000+0000
2020,Colorado,Sedgwick County,08115,1121,78,301,21,100.0,2020-12-06T15:47:53.057000+0000
2020,Colorado,Summit County,08117,5322,29,12631,68,100.0,2020-12-06T15:47:57.043000+0000
2020,Colorado,Teller County,08119,11241,66,5278,31,100.0,2020-11-24T13:54:31.313000+0000
2020,Colorado,Washington County,08121,2595,86,369,12,100.0,2020-12-06T15:50:28.790000+0000
2020,Colorado,Weld County,08123,96145,58,66060,40,100.0,2020-11-24T13:54:31.750000+0000
2020,Colorado,Yuma County,08125,4107,83,785,16,100.0,2020-12-06T15:48:07.273000+0000
