electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Florida,Alachua County,12001,50972,36,89704,63,100.0,2020-11-24T13:52:52.043000+0000
2020,Florida,Baker County,12003,11911,85,2037,15,100.0,2020-11-24T13:52:52.497000+0000
2020,Florida,Bay County,12005,66097,71,25614,28,100.0,2020-11-24T13:52:52.810000+0000
2020,Florida,Bradford County,12007,10334,76,3160,23,100.0,2020-11-24T13:52:52.857000+0000
2020,Florida,Brevard County,12009,207883,58,148549,41,100.0,2020-11-24T13:52:53.107000+0000
2020,Florida,Broward County,12011,333409,35,618752,65,100.0,2020-11-24T13:52:53.323000+0000
2020,Florida,Calhoun County,12013,5274,81,1209,19,100.0,2020-11-24T13:52:53.503000+0000
2020,Florida,Charlotte County,12015,73243,63,42273,36,100.0,2020-11-24T13:52:53.667000+0000
2020,Florida,Citrus County,12017,65352,70,27092,29,100.0,2020-11-24T13:52:53.787000+0000
2020,Florida,Clay County,12019,84480,68,38317,31,100.0,2020-11-24T13:52:54.190000+0000
2020,Florida,Collier County,12021,128950,62,77621,37,100.0,2020-11-24T13:52:54.397000+0000
2020,Florida,Columbia County,12023,23836,72,8914,27,100.0,2020-11-24T13:52:54.527000+0000
2020,Florida,DeSoto County,12027,8313,66,4259,34,100.0,2020-11-24T13:52:54.900000+0000
2020,Florida,Dixie County,12029,6759,83,1365,17,100.0,2020-11-24T13:52:55.083000+0000
2020,Florida,Duval County,12031,233762,47,252556,51,100.0,2020-11-24T13:52:55.133000+0000
2020,Florida,Escambia County,12033,96674,57,70929,42,100.0,2020-11-24T13:52:55.273000+0000
2020,Florida,Flagler County,12035,43043,60,28161,39,100.0,2020-11-24T13:52:55.313000+0000
2020,Florida,Franklin County,12037,4675,68,2120,31,100.0,2020-11-24T13:52:55.403000+0000
2020,Florida,Gadsden County,12039,7465,31,16153,68,100.0,2020-11-24T13:52:55.587000+0000
2020,Florida,Gilchrist County,12041,7895,82,1700,18,100.0,2020-11-24T13:52:55.637000+0000
2020,Florida,Glades County,12043,3782,73,1385,27,100.0,2020-11-24T13:52:55.690000+0000
2020,Florida,Gulf County,12045,6113,75,1985,24,100.0,2020-11-24T13:52:55.790000+0000
2020,Florida,Hamilton County,12047,3815,65,1963,34,100.0,2020-11-24T13:52:55.983000+0000
2020,Florida,Hardee County,12049,6122,72,2298,27,100.0,2020-11-24T13:52:56.273000+0000
2020,Florida,Hendry County,12051,7906,61,4929,38,100.0,2020-11-24T13:52:56.620000+0000
2020,Florida,Hernando County,12053,70412,65,37519,34,100.0,2020-11-24T13:52:56.823000+0000
2020,Florida,Highlands County,12055,34873,67,16938,33,100.0,2020-11-24T13:52:57.107000+0000
2020,Florida,Hillsborough County,12057,327398,46,376367,53,100.0,2020-11-24T13:57:09.643000+0000
2020,Florida,Holmes County,12059,8080,89,924,10,100.0,2020-11-24T13:57:09.690000+0000
2020,Florida,Indian River County,12061,58872,60,37844,39,100.0,2020-11-24T13:57:09.927000+0000
