electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Idaho,Ada County,16001,143759,54,116115,43,95.0,2024-11-06T10:06:15.120000+0000
2024,Idaho,Adams County,16003,2037,76,577,22,95.0,2024-11-06T08:07:15.183000+0000
2024,Idaho,Bannock County,16005,24329,61,14306,36,98.0,2024-11-06T07:47:10.113000+0000
2024,Idaho,Bear Lake County,16007,2908,88,346,10,95.0,2024-11-06T08:28:15.160000+0000
2024,Idaho,Benewah County,16009,4094,80,934,18,95.0,2024-11-06T11:22:10.127000+0000
2024,Idaho,Bingham County,16011,16188,78,3878,19,95.0,2024-11-06T17:35:10.137000+0000
2024,Idaho,Blaine County,16013,4281,33,8424,64,95.0,2024-11-06T23:56:30.117000+0000
2024,Idaho,Boise County,16015,3627,75,1065,22,95.0,2024-11-06T06:59:15.100000+0000
2024,Idaho,Bonner County,16017,21296,72,7523,26,95.0,2024-11-06T09:25:15.143000+0000
2024,Idaho,Bonneville County,16019,40053,71,14458,26,95.0,2024-11-06T05:07:55.093000+0000
2024,Idaho,Boundary County,16021,5794,82,1145,16,95.0,2024-11-06T07:35:10.213000+0000
2024,Idaho,Butte County,16023,1268,85,185,12,95.0,2024-11-06T07:35:10.193000+0000
2024,Idaho,Camas County,16025,547,75,153,21,93.0,2024-11-06T08:11:20.120000+0000
2024,Idaho,Canyon County,16027,72708,72,25662,25,95.0,2024-11-06T22:56:30.123000+0000
2024,Idaho,Caribou County,16029,2906,84,445,13,95.0,2024-11-06T05:15:25.250000+0000
2024,Idaho,Cassia County,16031,7959,83,1359,14,95.0,2024-11-06T05:50:15.120000+0000
2024,Idaho,Clark County,16033,280,84,50,15,95.0,2024-11-06T07:37:15.123000+0000
2024,Idaho,Clearwater County,16035,3550,80,774,18,95.0,2024-11-06T08:34:15.157000+0000
2024,Idaho,Custer County,16037,1998,75,586,22,93.0,2024-11-06T10:35:15.157000+0000
2024,Idaho,Elmore County,16039,7791,73,2611,25,95.0,2024-11-06T10:12:15.143000+0000
2024,Idaho,Franklin County,16041,6279,87,703,10,95.0,2024-11-06T07:02:15.127000+0000
2024,Idaho,Fremont County,16043,5645,83,954,14,98.0,2024-11-06T06:30:55.120000+0000
2024,Idaho,Gem County,16045,8707,82,1699,16,95.0,2024-11-06T08:14:15.140000+0000
2024,Idaho,Gooding County,16047,4676,79,1100,19,94.0,2024-11-06T06:31:20.263000+0000
2024,Idaho,Idaho County,16049,8148,83,1460,15,99.0,2024-11-06T07:03:05.083000+0000
2024,Idaho,Jefferson County,16051,13481,85,1891,12,95.0,2024-11-06T08:55:10.093000+0000
2024,Idaho,Jerome County,16053,6012,76,1742,22,95.0,2024-11-06T11:10:10.097000+0000
2024,Idaho,Kootenai County,16055,72059,75,22113,23,95.0,2024-11-06T14:51:10.140000+0000
2024,Idaho,Latah County,16057,10669,52,9039,44,95.0,2024-11-06T09:51:15.137000+0000
2024,Idaho,Lemhi County,16059,3716,76,1038,21,95.0,2024-11-06T06:32:15.103000+0000
2024,Idaho,Lewis County,16061,1503,82,290,16,94.0,2024-11-06T08:15:15.200000+0000
2024,Idaho,Lincoln County,16063,1466,77,392,20,95.0,2024-11-06T07:07:15.230000+0000
2024,Idaho,Madison County,16065,13925,80,2767,16,95.0,2024-11-06T07:07:15.130000+0000
2024,Idaho,Minidoka County,16067,6401,80,1373,17,96.0,2024-11-06T05:25:25.133000+0000
2024,Idaho,Nez Perce County,16069,13707,68,5928,29,93.0,2024-11-06T07:06:25.147000+0000
2024,Idaho,Oneida County,16071,2119,86,253,10,95.0,2024-11-06T05:57:15.157000+0000
2024,Idaho,Owyhee County,16073,4101,83,756,15,95.0,2024-11-06T05:59:20.263000+0000
2024,Idaho,Payette County,16075,9457,80,2064,18,95.0,2024-11-06T06:35:15.197000+0000
2024,Idaho,Power County,16077,2146,71,785,26,95.0,2024-11-06T05:22:20.127000+0000
2024,Idaho,Shoshone County,16079,4500,73,1472,24,95.0,2024-11-06T08:59:15.123000+0000
2024,Idaho,Teton County,16081,3005,45,3463,52,95.0,2024-11-06T05:59:20.190000+0000
2024,Idaho,Twin Falls County,16083,27302,73,9064,24,95.0,2024-11-06T18:59:15.113000+0000
2024,Idaho,Valley County,16085,4214,58,2869,40,95.0,2024-11-06T10:20:15.113000+0000
2024,Idaho,Washington County,16087,4429,80,1010,18,95.0,2024-11-06T05:28:20.090000+0000
