electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Indiana,Adams County,18001,10686,75,3236,23,100.0,2020-11-26T17:45:21.053000+0000
2020,Indiana,Allen County,18003,92083,55,73189,43,100.0,2020-11-26T14:37:07.380000+0000
2020,Indiana,Bartholomew County,18005,22410,62,12934,36,100.0,2020-11-26T17:45:37.080000+0000
2020,Indiana,Benton County,18007,3007,73,1009,25,100.0,2020-11-26T14:38:19.510000+0000
2020,Indiana,Blackford County,18009,3841,72,1376,26,100.0,2020-11-26T14:38:49.570000+0000
2020,Indiana,Boone County,18011,22351,58,15244,40,100.0,2020-11-26T14:39:23.567000+0000
2020,Indiana,Brown County,18013,5777,64,3036,34,100.0,2020-11-24T13:34:31.383000+0000
2020,Indiana,Carroll County,18015,7086,75,2224,23,100.0,2020-11-26T14:40:25.687000+0000
2020,Indiana,Cass County,18017,10552,69,4304,28,100.0,2020-11-26T17:45:45.067000+0000
2020,Indiana,Clark County,18019,33668,58,23093,40,100.0,2020-11-26T14:41:27.810000+0000
2020,Indiana,Clay County,18021,9499,77,2552,21,100.0,2020-11-26T17:45:53.113000+0000
2020,Indiana,Clinton County,18023,9334,72,3361,26,100.0,2020-11-26T17:45:59.163000+0000
2020,Indiana,Crawford County,18025,3483,70,1355,27,100.0,2020-11-26T17:43:26.933000+0000
2020,Indiana,Daviess County,18027,9576,80,2169,18,100.0,2020-11-26T14:43:16.100000+0000
2020,Indiana,Dearborn County,18029,19528,77,5446,22,100.0,2020-11-26T17:46:05.140000+0000
2020,Indiana,Decatur County,18031,9575,78,2439,20,100.0,2020-11-26T14:44:08.233000+0000
2020,Indiana,DeKalb County,18033,14237,73,4966,25,100.0,2020-11-26T14:44:32.313000+0000
2020,Indiana,Delaware County,18035,26827,56,20474,43,100.0,2020-11-26T17:46:13.140000+0000
2020,Indiana,Dubois County,18037,15033,69,6292,29,100.0,2020-11-26T18:06:22.887000+0000
2020,Indiana,Elkhart County,18039,46972,63,26108,35,100.0,2020-11-26T14:46:04.460000+0000
2020,Indiana,Fayette County,18041,7755,77,2237,22,100.0,2020-11-26T17:46:21.190000+0000
2020,Indiana,Floyd County,18043,23400,56,17511,42,100.0,2020-11-26T14:46:52.553000+0000
2020,Indiana,Fountain County,18045,6154,77,1629,20,100.0,2020-11-26T17:49:21.420000+0000
2020,Indiana,Franklin County,18047,9691,81,2137,18,100.0,2020-11-26T17:49:27.430000+0000
2020,Indiana,Fulton County,18049,6694,73,2280,25,100.0,2020-11-26T14:47:56.663000+0000
2020,Indiana,Gibson County,18051,11817,73,4023,25,100.0,2020-11-26T17:49:33.440000+0000
2020,Indiana,Grant County,18053,18543,68,8015,30,100.0,2020-11-26T17:49:41.490000+0000
2020,Indiana,Greene County,18055,11103,75,3389,23,100.0,2020-11-26T18:06:32.960000+0000
2020,Indiana,Hamilton County,18057,101587,52,88390,46,100.0,2020-11-26T14:49:54.860000+0000
2020,Indiana,Hancock County,18059,28996,68,12895,30,100.0,2020-11-26T14:50:22.953000+0000
2020,Indiana,Harrison County,18061,14565,72,5343,26,100.0,2020-11-26T17:49:51.477000+0000
2020,Indiana,Hendricks County,18063,53802,61,32604,37,100.0,2020-11-26T14:51:13.000000+0000
2020,Indiana,Henry County,18065,15043,72,5544,26,100.0,2020-11-26T17:49:13.357000+0000
2020,Indiana,Howard County,18067,26449,65,13303,33,100.0,2020-11-26T17:50:35.550000+0000
2020,Indiana,Huntington County,18069,13147,74,4255,24,100.0,2020-11-26T16:47:40.700000+0000
2020,Indiana,Jackson County,18071,14555,76,4302,22,100.0,2020-11-26T17:55:25.870000+0000
2020,Indiana,Jasper County,18073,11383,74,3798,25,100.0,2020-11-26T14:53:03.283000+0000
