electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Kansas,Allen County,20001,4155,71,1559,27,79.0,2020-11-24T13:57:10.323000+0000
2020,Kansas,Anderson County,20003,2874,77,765,21,99.0,2020-11-24T13:57:10.357000+0000
2020,Kansas,Atchison County,20005,4826,66,2314,32,99.0,2020-11-24T13:57:10.390000+0000
2020,Kansas,Barber County,20007,1992,86,284,12,92.0,2020-11-24T13:57:10.493000+0000
2020,Kansas,Barton County,20009,8480,77,2302,21,99.0,2020-11-24T13:57:10.540000+0000
2020,Kansas,Bourbon County,20011,4910,75,1505,23,95.0,2020-11-24T13:57:10.557000+0000
2020,Kansas,Brown County,20013,3206,73,1088,25,95.0,2020-11-24T13:50:53.643000+0000
2020,Kansas,Butler County,20015,22250,70,9003,28,99.0,2020-11-24T13:50:53.750000+0000
2020,Kansas,Chase County,20017,1114,75,341,23,95.0,2020-11-24T13:50:53.917000+0000
2020,Kansas,Chautauqua County,20019,1397,86,212,13,92.0,2020-11-24T13:50:54.150000+0000
2020,Kansas,Cherokee County,20021,6622,74,2163,24,99.0,2020-11-24T13:50:54.290000+0000
2020,Kansas,Cheyenne County,20023,1158,83,220,16,86.0,2020-11-24T13:50:54.340000+0000
2020,Kansas,Clark County,20025,885,84,143,14,91.0,2020-11-24T13:50:54.443000+0000
2020,Kansas,Clay County,20027,3129,76,883,21,95.0,2020-11-24T13:50:54.557000+0000
2020,Kansas,Cloud County,20029,3182,76,893,21,91.0,2020-11-24T13:50:54.673000+0000
2020,Kansas,Coffey County,20031,3407,77,928,21,99.0,2020-11-24T13:50:54.880000+0000
2020,Kansas,Comanche County,20033,745,82,126,14,90.0,2020-11-24T13:50:55.020000+0000
2020,Kansas,Cowley County,20035,9442,68,4171,30,95.0,2020-11-24T13:50:55.173000+0000
2020,Kansas,Crawford County,20037,10045,60,6179,37,99.0,2020-12-04T17:07:36.567000+0000
2020,Kansas,Decatur County,20039,1232,85,208,14,84.0,2020-11-24T13:50:55.370000+0000
2020,Kansas,Dickinson County,20041,7045,76,2040,22,99.0,2020-11-24T13:50:55.603000+0000
2020,Kansas,Doniphan County,20043,2949,80,678,18,95.0,2020-11-24T13:50:55.787000+0000
2020,Kansas,Douglas County,20045,16737,29,39436,68,95.0,2020-11-24T13:50:55.913000+0000
2020,Kansas,Edwards County,20047,1127,80,267,19,94.0,2020-11-24T13:50:55.957000+0000
2020,Kansas,Elk County,20049,1130,84,191,14,91.0,2020-11-24T13:50:55.997000+0000
2020,Kansas,Ellis County,20051,9569,71,3633,27,99.0,2020-11-24T13:50:56.037000+0000
2020,Kansas,Ellsworth County,20053,2106,75,646,23,95.0,2020-11-24T13:50:56.123000+0000
2020,Kansas,Finney County,20055,7079,62,4155,36,95.0,2020-11-24T13:50:56.147000+0000
2020,Kansas,Ford County,20057,5763,65,2926,33,95.0,2020-11-24T13:50:56.207000+0000
2020,Kansas,Franklin County,20059,8326,68,3623,30,95.0,2020-11-24T13:52:16.447000+0000
2020,Kansas,Geary County,20061,5193,56,3825,41,95.0,2020-11-24T13:52:16.513000+0000
2020,Kansas,Gove County,20063,1256,88,163,11,91.0,2020-11-24T13:52:16.567000+0000
2020,Kansas,Graham County,20065,1052,81,222,17,85.0,2020-11-24T13:52:16.650000+0000
