electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Kentucky,Adair County,21001,7643,85,1257,14,95.0,2024-11-06T02:16:30.520000+0000
2024,Kentucky,Allen County,21003,7824,83,1505,16,95.0,2024-11-06T02:12:25.140000+0000
2024,Kentucky,Anderson County,21005,9650,74,3226,25,95.0,2024-11-06T00:32:35.103000+0000
2024,Kentucky,Ballard County,21007,3331,82,697,17,92.0,2024-11-06T02:34:50.227000+0000
2024,Kentucky,Barren County,21009,15019,76,4565,23,95.0,2024-11-06T03:17:30.147000+0000
2024,Kentucky,Bath County,21011,5610,74,1904,25,99.0,2024-11-06T00:40:55.087000+0000
2024,Kentucky,Bell County,21013,7831,84,1419,15,95.0,2024-11-06T04:24:30.150000+0000
2024,Kentucky,Boone County,21015,45650,68,20601,31,95.0,2024-11-06T01:40:25.130000+0000
2024,Kentucky,Bourbon County,21017,6284,66,3088,32,98.0,2024-11-06T01:46:10.267000+0000
2024,Kentucky,Boyd County,21019,14363,69,6291,30,95.0,2024-11-06T01:31:35.107000+0000
2024,Kentucky,Boyle County,21021,9159,64,4990,35,98.0,2024-11-06T02:49:30.300000+0000
2024,Kentucky,Bracken County,21023,3399,74,702,15,99.0,2024-11-06T01:02:35.080000+0000
2024,Kentucky,Breathitt County,21025,4036,79,1002,20,99.0,2024-11-06T02:26:20.233000+0000
2024,Kentucky,Breckinridge County,21027,7882,79,2038,20,95.0,2024-11-06T02:28:45.153000+0000
2024,Kentucky,Bullitt County,21029,32299,75,10280,24,95.0,2024-11-06T02:17:20.127000+0000
2024,Kentucky,Butler County,21031,4905,83,965,16,95.0,2024-11-06T03:29:25.227000+0000
2024,Kentucky,Caldwell County,21033,4860,79,1256,20,93.0,2024-11-06T02:43:00.277000+0000
2024,Kentucky,Calloway County,21035,11539,68,5111,30,99.0,2024-11-06T03:21:35.397000+0000
2024,Kentucky,Campbell County,21037,28450,59,18952,39,95.0,2024-11-06T03:07:25.253000+0000
2024,Kentucky,Carlisle County,21039,2182,84,408,16,86.0,2024-11-06T02:58:30.110000+0000
2024,Kentucky,Carroll County,21041,4324,74,1450,25,95.0,2024-11-06T02:17:55.397000+0000
2024,Kentucky,Carter County,21043,8981,79,2305,20,98.0,2024-11-06T01:59:30.143000+0000
2024,Kentucky,Casey County,21045,6216,88,804,11,95.0,2024-11-06T01:54:05.150000+0000
2024,Kentucky,Christian County,21047,14332,66,7055,33,95.0,2024-11-06T02:24:40.283000+0000
2024,Kentucky,Clark County,21049,11950,67,5639,32,95.0,2024-11-06T01:39:55.233000+0000
2024,Kentucky,Clay County,21051,6729,89,692,9,99.0,2024-11-06T01:11:55.143000+0000
2024,Kentucky,Clinton County,21053,4276,88,549,11,95.0,2024-11-06T00:51:10.220000+0000
2024,Kentucky,Crittenden County,21055,3349,84,608,15,92.0,2024-11-06T02:57:25.150000+0000
2024,Kentucky,Cumberland County,21057,2922,85,483,14,95.0,2024-11-06T02:10:45.687000+0000
2024,Kentucky,Daviess County,21059,30705,65,15673,33,95.0,2024-11-06T02:51:35.143000+0000
2024,Kentucky,Edmonson County,21061,5048,81,1118,18,95.0,2024-11-06T02:14:30.187000+0000
2024,Kentucky,Elliott County,21063,2335,80,532,18,99.0,2024-11-06T01:05:00.317000+0000
2024,Kentucky,Estill County,21065,5091,81,1114,18,96.0,2024-11-06T01:09:00.097000+0000
2024,Kentucky,Fayette County,21067,56267,40,80301,58,92.0,2024-11-06T03:39:45.170000+0000
2024,Kentucky,Fleming County,21069,5578,80,1334,19,98.0,2024-11-06T01:39:00.290000+0000
2024,Kentucky,Floyd County,21071,12326,79,3061,20,95.0,2024-11-06T03:28:25.193000+0000
2024,Kentucky,Franklin County,21073,13246,51,11995,46,91.0,2024-11-06T01:05:00.260000+0000
2024,Kentucky,Fulton County,21075,1491,70,636,30,95.0,2024-11-06T02:22:55.217000+0000
2024,Kentucky,Gallatin County,21077,3109,79,761,19,91.0,2024-11-06T01:28:45.237000+0000
2024,Kentucky,Garrard County,21079,7086,80,1719,19,95.0,2024-11-06T01:08:35.097000+0000
2024,Kentucky,Grant County,21081,9372,82,1944,17,99.0,2024-11-06T00:56:40.093000+0000
2024,Kentucky,Graves County,21083,13378,80,3105,19,95.0,2024-11-06T02:24:40.193000+0000
2024,Kentucky,Grayson County,21085,9710,80,2235,19,95.0,2024-11-06T01:44:30.100000+0000
2024,Kentucky,Green County,21087,5033,86,782,13,95.0,2024-11-06T01:52:45.350000+0000
2024,Kentucky,Greenup County,21089,12961,75,4181,24,97.0,2024-11-06T00:49:30.090000+0000
2024,Kentucky,Hancock County,21091,3375,73,1173,25,95.0,2024-11-06T02:30:05.290000+0000
2024,Kentucky,Hardin County,21093,30672,64,16572,35,99.0,2024-11-06T02:29:40.153000+0000
2024,Kentucky,Harlan County,21095,9109,88,1199,12,95.0,2024-11-06T00:39:20.163000+0000
2024,Kentucky,Harrison County,21097,6639,74,2265,25,95.0,2024-11-06T01:22:50.230000+0000
2024,Kentucky,Hart County,21099,6691,80,1642,20,95.0,2024-11-06T02:41:00.377000+0000
2024,Kentucky,Henderson County,21101,12592,64,6837,35,95.0,2024-11-06T01:58:30.307000+0000
2024,Kentucky,Henry County,21103,6093,76,1857,23,94.0,2024-11-06T02:26:50.473000+0000
2024,Kentucky,Hickman County,21105,1656,80,394,19,94.0,2024-11-06T02:10:45.597000+0000
2024,Kentucky,Hopkins County,21107,15174,75,4880,24,95.0,2024-11-06T02:11:10.150000+0000
2024,Kentucky,Jackson County,21109,5358,90,506,9,99.0,2024-11-06T01:55:50.230000+0000
2024,Kentucky,Jefferson County,21111,144537,41,203036,57,90.0,2024-11-06T03:38:25.213000+0000
2024,Kentucky,Jessamine County,21113,17854,67,8303,31,99.0,2024-11-06T01:02:35.107000+0000
2024,Kentucky,Johnson County,21115,8150,85,1350,14,99.0,2024-11-06T00:52:05.200000+0000
2024,Kentucky,Kenton County,21117,47749,60,30580,38,95.0,2024-11-06T04:26:25.277000+0000
2024,Kentucky,Knott County,21119,4729,79,1178,20,88.0,2024-11-06T02:34:30.100000+0000
2024,Kentucky,Knox County,21121,11178,85,1821,14,99.0,2024-11-06T01:19:10.117000+0000
2024,Kentucky,Larue County,21123,5773,80,1389,19,98.0,2024-11-06T02:18:25.203000+0000
