electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Louisiana,Acadia Parish,22001,22596,80,5443,19,100.0,2020-11-24T13:49:43.090000+0000
2020,Louisiana,Allen Parish,22003,7574,77,2108,22,100.0,2020-11-24T13:49:43.550000+0000
2020,Louisiana,Ascension Parish,22005,40687,65,20399,33,100.0,2020-11-24T13:49:43.817000+0000
2020,Louisiana,Assumption Parish,22007,7271,65,3833,34,100.0,2020-11-24T13:49:44.250000+0000
2020,Louisiana,Avoyelles Parish,22009,12028,70,4979,29,100.0,2020-11-24T13:49:44.523000+0000
2020,Louisiana,Beauregard Parish,22011,13575,83,2542,16,100.0,2020-11-24T13:49:49.183000+0000
2020,Louisiana,Bienville Parish,22013,3891,55,3067,44,100.0,2020-11-24T13:49:49.537000+0000
2020,Louisiana,Bossier Parish,22015,38074,70,15662,29,100.0,2020-11-24T13:49:49.683000+0000
2020,Louisiana,Caddo Parish,22017,48021,46,55110,53,100.0,2020-11-24T13:49:50.027000+0000
2020,Louisiana,Calcasieu Parish,22019,55066,67,25982,31,100.0,2020-11-24T13:49:50.480000+0000
2020,Louisiana,Caldwell Parish,22021,3976,84,745,16,100.0,2020-11-24T13:49:50.793000+0000
2020,Louisiana,Cameron Parish,22023,3671,91,324,8,100.0,2020-11-24T13:49:50.967000+0000
2020,Louisiana,Catahoula Parish,22025,3541,73,1269,26,100.0,2020-11-24T13:49:51.500000+0000
2020,Louisiana,Claiborne Parish,22027,3770,57,2731,42,100.0,2020-11-24T13:49:51.623000+0000
2020,Louisiana,Concordia Parish,22029,5550,63,3177,36,100.0,2020-11-24T13:49:51.797000+0000
2020,Louisiana,De Soto Parish,22031,9112,62,5457,37,100.0,2020-11-24T13:49:51.903000+0000
2020,Louisiana,East Baton Rouge Parish,22033,88420,43,115577,56,100.0,2020-11-24T13:49:52.033000+0000
2020,Louisiana,East Carroll Parish,22035,1080,36,1900,63,100.0,2020-11-24T13:49:52.310000+0000
2020,Louisiana,East Feliciana Parish,22037,6064,58,4280,41,100.0,2020-11-24T13:49:52.443000+0000
2020,Louisiana,Evangeline Parish,22039,11053,72,4158,27,100.0,2020-11-24T13:57:03.113000+0000
2020,Louisiana,Franklin Parish,22041,6970,72,2658,27,100.0,2020-11-24T13:57:03.483000+0000
2020,Louisiana,Grant Parish,22043,8117,86,1157,12,100.0,2020-11-24T13:57:03.800000+0000
2020,Louisiana,Iberia Parish,22045,21251,65,11027,34,100.0,2020-11-24T13:57:04.120000+0000
2020,Louisiana,Iberville Parish,22047,7893,47,8514,51,100.0,2020-11-24T13:57:04.450000+0000
2020,Louisiana,Jackson Parish,22049,5394,71,2143,28,100.0,2020-11-24T13:57:04.593000+0000
2020,Louisiana,Jefferson Parish,22051,105949,55,84477,44,100.0,2020-11-24T13:57:04.807000+0000
2020,Louisiana,Jefferson Davis Parish,22053,11423,77,3208,22,100.0,2020-11-24T13:57:05.000000+0000
2020,Louisiana,Lafayette Parish,22055,72519,63,39685,35,100.0,2020-11-24T13:57:05.207000+0000
2020,Louisiana,Lafourche Parish,22057,36024,79,8672,19,100.0,2020-11-24T13:57:05.413000+0000
2020,Louisiana,La Salle Parish,22059,6378,90,638,9,100.0,2020-11-24T13:57:05.547000+0000
2020,Louisiana,Lincoln Parish,22061,11311,59,7559,39,100.0,2020-11-24T13:57:05.830000+0000
2020,Louisiana,Livingston Parish,22063,54877,84,9249,14,100.0,2020-11-24T13:57:05.990000+0000
2020,Louisiana,Madison Parish,22065,1930,41,2654,57,100.0,2020-11-24T13:57:06.217000+0000
