electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Maryland,Allegany County,24001,20886,68,9158,30,100.0,2020-12-09T15:11:48.060000+0000
2020,Maryland,Anne Arundel County,24003,127821,41,172823,56,100.0,2020-12-09T15:13:02.247000+0000
2020,Maryland,Baltimore County,24005,146202,35,258409,62,100.0,2020-12-09T15:13:34.520000+0000
2020,Maryland,Calvert County,24009,25346,52,22587,46,100.0,2020-12-09T15:12:24.190000+0000
2020,Maryland,Caroline County,24011,10283,65,5095,32,100.0,2020-12-08T01:50:02.887000+0000
2020,Maryland,Carroll County,24013,60218,60,36456,36,100.0,2020-12-09T15:13:38.490000+0000
2020,Maryland,Cecil County,24015,29439,62,16809,35,100.0,2020-12-09T15:13:44.497000+0000
2020,Maryland,Charles County,24017,25579,29,62171,70,100.0,2020-12-08T01:50:37.027000+0000
2020,Maryland,Dorchester County,24019,8764,55,6857,43,100.0,2020-12-09T15:13:50.520000+0000
2020,Maryland,Frederick County,24021,63682,44,77675,53,100.0,2020-12-08T01:50:53.033000+0000
2020,Maryland,Garrett County,24023,12002,77,3281,21,100.0,2020-12-08T01:51:01.057000+0000
2020,Maryland,Harford County,24025,80930,55,63095,43,100.0,2020-12-09T15:28:13.360000+0000
2020,Maryland,Howard County,24027,48390,26,129433,71,100.0,2020-12-09T15:05:21.030000+0000
2020,Maryland,Kent County,24029,5195,48,5329,49,100.0,2020-12-09T16:02:45.503000+0000
2020,Maryland,Montgomery County,24031,101222,19,419569,79,100.0,2020-12-09T15:13:12.407000+0000
2020,Maryland,Prince George's County,24033,37090,9,379208,89,100.0,2020-12-09T15:12:48.237000+0000
2020,Maryland,Queen Anne's County,24035,18741,62,10709,35,100.0,2020-12-08T01:51:59.280000+0000
2020,Maryland,St. Mary's County,24037,30826,55,23138,42,100.0,2020-12-08T01:52:05.327000+0000
2020,Maryland,Somerset County,24039,5739,57,4241,42,100.0,2020-12-09T16:22:22.627000+0000
2020,Maryland,Talbot County,24041,10946,49,11062,49,100.0,2020-12-08T01:52:19.427000+0000
2020,Maryland,Washington County,24043,40224,59,26044,38,100.0,2020-12-09T15:12:08.100000+0000
2020,Maryland,Wicomico County,24045,22944,50,22054,48,100.0,2020-12-09T16:22:18.627000+0000
2020,Maryland,Worcester County,24047,18571,59,12560,40,100.0,2020-12-08T01:52:49.553000+0000
2020,Maryland,Baltimore city,24510,25374,11,207260,87,100.0,2020-12-09T15:13:24.433000+0000
