electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Maine,Androscoggin County,23001,29707,52,26418,46,97.0,2024-11-06T19:40:40.093000+0000
2024,Maine,Aroostook County,23003,16450,62,9768,37,74.0,2024-11-07T01:22:00.110000+0000
2024,Maine,Cumberland County,23005,56113,31,117976,66,91.0,2024-11-06T19:24:10.113000+0000
2024,Maine,Franklin County,23007,8353,53,7143,45,90.0,2024-11-07T00:17:45.097000+0000
2024,Maine,Hancock County,23009,14183,42,18875,56,95.0,2024-11-07T02:27:00.087000+0000
2024,Maine,Kennebec County,23011,36953,50,35399,48,99.0,2024-11-06T23:58:45.113000+0000
2024,Maine,Knox County,23013,10245,40,15031,58,99.0,2024-11-07T00:15:40.090000+0000
2024,Maine,Lincoln County,23015,9782,43,12399,55,95.0,2024-11-07T01:14:25.080000+0000
2024,Maine,Oxford County,23017,15623,55,12058,43,83.0,2024-11-06T23:41:30.083000+0000
2024,Maine,Penobscot County,23019,41695,53,35595,45,92.0,2024-11-07T00:07:55.093000+0000
2024,Maine,Piscataquis County,23021,5767,64,3104,34,91.0,2024-11-07T00:27:35.110000+0000
2024,Maine,Sagadahoc County,23023,9917,41,13982,57,99.0,2024-11-06T18:20:55.107000+0000
2024,Maine,Somerset County,23025,15436,62,8875,36,89.0,2024-11-07T02:15:35.080000+0000
2024,Maine,Waldo County,23027,10707,46,11749,51,94.0,2024-11-07T00:05:00.133000+0000
2024,Maine,Washington County,23029,7082,61,4354,38,66.0,2024-11-07T02:25:55.087000+0000
2024,Maine,York County,23031,55693,43,70150,54,99.0,2024-11-06T19:07:05.133000+0000
