electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Minnesota,Aitkin County,27001,6258,62,3607,36,100.0,2020-11-26T18:21:39.923000+0000
2020,Minnesota,Anoka County,27003,104902,50,100893,48,100.0,2020-11-26T18:20:57.900000+0000
2020,Minnesota,Becker County,27005,12438,64,6589,34,99.0,2020-11-26T18:22:36.033000+0000
2020,Minnesota,Beltrami County,27007,12188,50,11426,47,95.0,2020-11-26T18:23:32.220000+0000
2020,Minnesota,Benton County,27009,14382,65,7280,33,95.0,2020-11-26T18:24:22.380000+0000
2020,Minnesota,Big Stone County,27011,1863,63,1053,35,95.0,2020-11-26T18:24:58.413000+0000
2020,Minnesota,Blue Earth County,27013,16731,46,18330,51,91.0,2020-11-26T18:25:44.473000+0000
2020,Minnesota,Brown County,27015,9552,65,4753,33,95.0,2020-11-26T18:26:24.567000+0000
2020,Minnesota,Carlton County,27017,9791,48,10098,50,99.0,2020-11-27T04:30:55.693000+0000
2020,Minnesota,Carver County,27019,34009,51,30774,46,99.0,2020-11-26T18:29:12.873000+0000
2020,Minnesota,Cass County,27021,11620,64,6342,35,95.0,2020-11-27T03:02:25.133000+0000
2020,Minnesota,Chippewa County,27023,4250,64,2226,34,95.0,2020-11-27T03:03:15.173000+0000
2020,Minnesota,Chisago County,27025,21916,63,11806,34,95.0,2020-11-27T03:04:19.293000+0000
2020,Minnesota,Clay County,27027,15043,47,16357,51,95.0,2020-11-27T03:05:17.387000+0000
2020,Minnesota,Clearwater County,27029,3372,72,1260,27,95.0,2020-11-27T03:06:09.500000+0000
2020,Minnesota,Cook County,27031,1203,32,2496,66,95.0,2020-11-27T03:07:03.597000+0000
2020,Minnesota,Cottonwood County,27033,4165,68,1834,30,95.0,2020-11-27T04:33:13.887000+0000
2020,Minnesota,Crow Wing County,27035,25676,64,13726,34,95.0,2020-11-27T03:09:01.920000+0000
2020,Minnesota,Dakota County,27037,109638,42,146155,56,95.0,2020-11-27T03:10:06.067000+0000
2020,Minnesota,Dodge County,27039,7783,64,4079,34,95.0,2020-11-27T03:10:54.123000+0000
2020,Minnesota,Douglas County,27041,15799,65,7868,33,95.0,2020-11-27T03:11:52.247000+0000
2020,Minnesota,Faribault County,27043,5191,66,2531,32,95.0,2020-11-27T03:12:28.307000+0000
