electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Missouri,Adair County,29001,6413,62,3710,36,100.0,2020-12-10T12:28:19.003000+0000
2020,Missouri,Andrew County,29003,7255,74,2351,24,100.0,2020-12-10T12:35:12.150000+0000
2020,Missouri,Atchison County,29005,2199,78,564,20,100.0,2020-11-24T13:34:24.043000+0000
2020,Missouri,Audrain County,29007,7732,73,2704,25,100.0,2020-12-10T12:35:34.480000+0000
2020,Missouri,Barry County,29009,12425,80,2948,19,100.0,2020-12-10T12:35:28.253000+0000
2020,Missouri,Barton County,29011,5168,85,844,14,100.0,2020-12-10T12:34:23.740000+0000
2020,Missouri,Bates County,29013,6597,78,1672,20,100.0,2020-12-10T12:28:33.253000+0000
2020,Missouri,Benton County,29015,8109,77,2180,21,100.0,2020-12-09T14:12:48.447000+0000
2020,Missouri,Bollinger County,29017,5167,86,750,13,100.0,2020-12-10T12:38:05.020000+0000
2020,Missouri,Boone County,29019,38646,42,50064,55,100.0,2020-12-10T12:28:47.167000+0000
2020,Missouri,Buchanan County,29021,22450,61,13445,37,100.0,2020-12-10T12:28:49.293000+0000
2020,Missouri,Butler County,29023,14602,81,3301,18,100.0,2020-12-10T12:28:57.407000+0000
2020,Missouri,Caldwell County,29025,3725,80,897,19,100.0,2020-12-09T16:38:37.800000+0000
2020,Missouri,Callaway County,29027,14815,70,5870,28,100.0,2020-12-09T13:44:46.113000+0000
2020,Missouri,Camden County,29029,18850,76,5652,23,100.0,2020-12-09T16:45:02.350000+0000
2020,Missouri,Cape Girardeau County,29031,28907,72,10760,27,100.0,2020-12-10T12:34:48.030000+0000
2020,Missouri,Carroll County,29033,3706,82,786,17,100.0,2020-12-10T12:29:05.437000+0000
2020,Missouri,Carter County,29035,2451,85,418,14,100.0,2020-12-10T12:36:20.683000+0000
2020,Missouri,Cass County,29037,37197,65,19052,33,100.0,2020-12-09T13:45:42.157000+0000
2020,Missouri,Cedar County,29039,5788,82,1145,16,100.0,2020-12-09T14:15:20.843000+0000
2020,Missouri,Chariton County,29041,3111,76,916,23,100.0,2020-12-10T12:29:17.517000+0000
2020,Missouri,Christian County,29043,34920,75,11131,24,100.0,2020-12-09T13:46:24.230000+0000
2020,Missouri,Clark County,29045,2672,79,678,20,100.0,2020-12-10T12:51:20.597000+0000
2020,Missouri,Clay County,29047,64605,51,59400,47,100.0,2020-12-10T12:37:02.827000+0000
2020,Missouri,Clinton County,29049,7799,72,2896,27,100.0,2020-12-09T13:47:32.347000+0000
2020,Missouri,Cole County,29051,26086,66,12694,32,100.0,2020-12-10T12:29:29.610000+0000
2020,Missouri,Cooper County,29053,6272,72,2249,26,100.0,2020-12-09T14:16:08.977000+0000
2020,Missouri,Crawford County,29055,8725,80,2113,19,100.0,2020-11-24T13:54:11.893000+0000
2020,Missouri,Dade County,29057,3414,83,656,16,100.0,2020-12-09T14:16:19.030000+0000
2020,Missouri,Dallas County,29059,6619,82,1380,17,100.0,2020-12-09T14:16:29.067000+0000
2020,Missouri,Daviess County,29061,3102,79,746,19,100.0,2020-12-09T14:16:39.087000+0000
2020,Missouri,DeKalb County,29063,3828,79,930,19,100.0,2020-12-08T21:31:20.517000+0000
2020,Missouri,Dent County,29065,5987,84,1056,15,100.0,2020-11-24T13:54:13.237000+0000
2020,Missouri,Douglas County,29067,5898,84,1016,15,100.0,2020-12-10T12:29:37.610000+0000
2020,Missouri,Dunklin County,29069,8135,78,2200,21,100.0,2020-12-10T12:29:51.587000+0000
2020,Missouri,Franklin County,29071,38058,71,14569,27,100.0,2020-12-10T12:29:53.730000+0000
2020,Missouri,Gasconade County,29073,6222,79,1601,20,100.0,2020-12-10T12:29:59.800000+0000
2020,Missouri,Gentry County,29075,2581,80,613,19,100.0,2020-12-09T16:50:20.660000+0000
2020,Missouri,Greene County,29077,83630,59,55068,39,100.0,2020-12-10T12:37:18.837000+0000
2020,Missouri,Grundy County,29079,3585,81,799,18,100.0,2020-12-10T12:30:07.877000+0000
2020,Missouri,Harrison County,29081,3198,84,597,16,100.0,2020-12-09T14:24:26.093000+0000
2020,Missouri,Henry County,29083,8027,74,2619,24,100.0,2020-12-08T21:31:20.200000+0000
2020,Missouri,Hickory County,29085,3966,78,1056,21,100.0,2020-12-09T13:49:14.573000+0000
2020,Missouri,Holt County,29087,1976,84,338,14,100.0,2020-12-10T12:51:36.660000+0000
2020,Missouri,Howard County,29089,3553,70,1413,28,100.0,2020-12-10T12:36:56.740000+0000
2020,Missouri,Howell County,29091,15181,81,3218,17,100.0,2020-12-10T12:30:15.910000+0000
2020,Missouri,Iron County,29093,3596,78,945,21,100.0,2020-12-10T12:37:59.013000+0000
2020,Missouri,Jackson County,29095,126535,38,199842,60,100.0,2020-12-10T12:37:06.777000+0000
2020,Missouri,Jasper County,29097,37728,72,13549,26,100.0,2020-12-10T12:30:25.947000+0000
2020,Missouri,Jefferson County,29099,77046,66,37523,32,100.0,2020-12-10T12:34:47.870000+0000
2020,Missouri,Johnson County,29101,15489,67,6974,30,100.0,2020-12-09T13:50:24.740000+0000
2020,Missouri,Knox County,29103,1486,80,340,18,100.0,2020-12-10T12:30:34.003000+0000
2020,Missouri,Laclede County,29105,13762,82,2780,17,100.0,2020-12-10T12:30:40.040000+0000
2020,Missouri,Lafayette County,29107,12273,72,4472,26,100.0,2020-12-09T14:36:09.953000+0000
2020,Missouri,Lawrence County,29109,14426,81,3214,18,100.0,2020-12-10T12:35:20.127000+0000
2020,Missouri,Lewis County,29111,3553,77,984,21,100.0,2020-12-10T12:51:22.607000+0000
