electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Mississippi,Adams County,28001,5696,41,7917,58,99.0,2020-12-17T18:17:06.523000+0000
2020,Mississippi,Alcorn County,28003,12818,81,2782,18,100.0,2020-12-17T18:17:07.793000+0000
2020,Mississippi,Amite County,28005,4503,63,2620,36,100.0,2020-11-24T13:55:58.733000+0000
2020,Mississippi,Attala County,28007,5178,59,3542,40,100.0,2020-11-24T13:55:59.123000+0000
2020,Mississippi,Benton County,28009,2570,60,1679,39,100.0,2020-11-24T13:55:59.137000+0000
2020,Mississippi,Bolivar County,28011,4671,34,8904,65,100.0,2020-11-24T13:55:59.183000+0000
2020,Mississippi,Calhoun County,28013,4625,70,1902,29,100.0,2020-11-24T13:55:59.273000+0000
2020,Mississippi,Carroll County,28015,3924,69,1729,30,95.0,2020-11-24T13:55:59.297000+0000
2020,Mississippi,Chickasaw County,28017,4175,51,3810,47,100.0,2020-11-24T13:55:59.340000+0000
2020,Mississippi,Choctaw County,28019,3001,71,1185,28,100.0,2020-11-24T13:43:23.117000+0000
2020,Mississippi,Claiborne County,28021,603,14,3772,85,100.0,2020-11-24T13:43:23.150000+0000
2020,Mississippi,Clarke County,28023,5417,65,2838,34,100.0,2020-12-17T18:17:05.440000+0000
2020,Mississippi,Clay County,28025,4181,41,5844,57,100.0,2020-11-24T13:45:41.920000+0000
2020,Mississippi,Coahoma County,28027,2375,28,6020,71,100.0,2020-12-17T18:17:06.717000+0000
2020,Mississippi,Copiah County,28029,6250,49,6470,50,100.0,2020-11-24T13:45:42.113000+0000
2020,Mississippi,Covington County,28031,5854,63,3416,37,100.0,2020-11-24T13:42:25.983000+0000
2020,Mississippi,DeSoto County,28033,46462,61,28265,37,100.0,2020-11-24T13:42:26.247000+0000
2020,Mississippi,Forrest County,28035,17290,55,13755,43,100.0,2020-11-24T13:42:26.380000+0000
2020,Mississippi,Franklin County,28037,2923,66,1480,33,100.0,2020-11-24T13:42:26.607000+0000
2020,Mississippi,George County,28039,9713,88,1218,11,100.0,2020-11-24T13:42:14.487000+0000
2020,Mississippi,Greene County,28041,4794,82,966,17,100.0,2020-12-17T18:17:05.510000+0000
2020,Mississippi,Grenada County,28043,6081,56,4734,43,95.0,2020-12-17T18:17:06.750000+0000
2020,Mississippi,Hancock County,28045,16132,77,4504,22,100.0,2020-11-24T13:42:16.297000+0000
2020,Mississippi,Harrison County,28047,46822,62,27728,37,100.0,2020-12-17T18:17:06.847000+0000
2020,Mississippi,Hinds County,28049,25141,25,73550,73,86.0,2020-11-24T13:42:17.207000+0000
2020,Mississippi,Holmes County,28051,1369,17,6588,81,99.0,2020-12-17T18:17:06.940000+0000
2020,Mississippi,Humphreys County,28053,1118,27,3016,72,100.0,2020-12-17T18:17:07.020000+0000
2020,Mississippi,Issaquena County,28055,308,46,355,53,100.0,2020-11-24T13:42:17.947000+0000
2020,Mississippi,Itawamba County,28057,9438,87,1249,12,100.0,2020-11-24T13:42:18.467000+0000
2020,Mississippi,Jackson County,28059,36295,66,17375,32,100.0,2020-11-24T13:42:18.973000+0000
2020,Mississippi,Jasper County,28061,4302,49,4341,50,100.0,2020-11-24T13:42:19.690000+0000
2020,Mississippi,Jefferson County,28063,531,14,3327,85,100.0,2020-11-24T13:42:20.027000+0000
2020,Mississippi,Jefferson Davis County,28065,2534,41,3599,58,100.0,2020-11-24T13:42:20.533000+0000
2020,Mississippi,Jones County,28067,21226,71,8517,28,100.0,2020-11-24T13:42:20.853000+0000
2020,Mississippi,Kemper County,28069,1787,38,2887,61,100.0,2020-11-24T13:42:20.993000+0000
2020,Mississippi,Lafayette County,28071,12949,55,10070,43,100.0,2020-11-24T13:42:21.170000+0000
2020,Mississippi,Lamar County,28073,20704,73,7340,26,100.0,2020-12-17T18:17:07.160000+0000
2020,Mississippi,Lauderdale County,28075,17967,58,12960,42,100.0,2020-11-24T13:42:21.833000+0000
2020,Mississippi,Lawrence County,28077,4285,65,2260,34,99.0,2020-12-17T18:17:06.413000+0000
2020,Mississippi,Leake County,28079,5228,57,3897,42,100.0,2020-11-24T13:42:22.490000+0000
2020,Mississippi,Lee County,28081,24207,65,12189,33,95.0,2020-11-24T13:42:22.810000+0000
2020,Mississippi,Leflore County,28083,3129,29,7648,70,99.0,2020-12-17T18:17:07.217000+0000
2020,Mississippi,Lincoln County,28085,11596,69,5040,30,100.0,2020-11-24T13:42:23.363000+0000
2020,Mississippi,Lowndes County,28087,13800,51,13087,48,100.0,2020-12-17T18:17:07.710000+0000
2020,Mississippi,Madison County,28089,31091,55,24440,43,100.0,2020-11-24T13:42:28.727000+0000
2020,Mississippi,Marion County,28091,8273,68,3787,31,100.0,2020-11-24T13:42:24.483000+0000
2020,Mississippi,Marshall County,28093,7566,48,8057,51,100.0,2020-11-24T13:42:29.003000+0000
2020,Mississippi,Monroe County,28095,11177,65,5874,34,100.0,2020-11-24T13:42:29.250000+0000
2020,Mississippi,Montgomery County,28097,2917,57,2121,42,100.0,2020-11-24T13:42:25.440000+0000
2020,Mississippi,Neshoba County,28099,8320,71,3260,28,100.0,2020-11-24T13:42:25.843000+0000
2020,Mississippi,Newton County,28101,6997,69,3075,30,100.0,2020-11-24T13:42:26.107000+0000
2020,Mississippi,Noxubee County,28103,1240,23,4040,76,100.0,2020-11-24T13:42:26.280000+0000
2020,Mississippi,Oktibbeha County,28105,9004,45,10299,52,100.0,2020-11-24T13:55:51.490000+0000
2020,Mississippi,Panola County,28107,8060,52,7403,47,100.0,2020-11-24T13:55:51.507000+0000
2020,Mississippi,Pearl River County,28109,19595,82,4148,17,100.0,2020-11-24T13:55:51.550000+0000
2020,Mississippi,Perry County,28111,4500,76,1362,23,100.0,2020-11-24T13:55:51.677000+0000
2020,Mississippi,Pike County,28113,8479,49,8646,50,100.0,2020-11-24T13:55:51.810000+0000
2020,Mississippi,Pontotoc County,28115,11550,80,2614,18,100.0,2020-11-24T13:55:51.843000+0000
2020,Mississippi,Prentiss County,28117,8370,79,2153,20,100.0,2020-12-17T18:17:06.620000+0000
2020,Mississippi,Quitman County,28119,1026,32,2150,67,100.0,2020-12-17T18:17:07.390000+0000
2020,Mississippi,Rankin County,28121,50895,72,18847,27,100.0,2020-11-24T13:55:52.313000+0000
2020,Mississippi,Scott County,28123,6285,59,4330,40,100.0,2020-11-24T13:55:52.413000+0000
2020,Mississippi,Sharkey County,28125,688,32,1465,67,100.0,2020-11-24T13:55:52.463000+0000
2020,Mississippi,Simpson County,28127,7635,65,4037,34,100.0,2020-11-24T13:42:29.320000+0000
2020,Mississippi,Smith County,28129,6458,78,1791,22,100.0,2020-11-24T13:42:29.463000+0000
2020,Mississippi,Stone County,28131,5964,76,1802,23,100.0,2020-11-24T13:55:58.227000+0000
2020,Mississippi,Sunflower County,28133,2799,29,6781,70,100.0,2020-11-24T13:55:58.307000+0000
2020,Mississippi,Tallahatchie County,28135,2488,44,3105,55,100.0,2020-11-24T13:55:58.410000+0000
2020,Mississippi,Tate County,28137,8707,67,4183,32,100.0,2020-11-24T13:55:58.450000+0000
