electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Montana,Beaverhead County,30001,3973,70,1515,27,95.0,2024-11-06T11:56:00.110000+0000
2024,Montana,Big Horn County,30003,2124,49,2033,47,89.0,2024-11-06T09:09:05.123000+0000
2024,Montana,Blaine County,30005,1501,51,1303,44,93.0,2024-11-06T12:35:40.157000+0000
2024,Montana,Broadwater County,30007,3724,78,877,18,95.0,2024-11-06T06:41:15.337000+0000
2024,Montana,Carbon County,30009,4652,65,2322,32,95.0,2024-11-06T12:25:55.107000+0000
2024,Montana,Carter County,30011,760,89,75,9,95.0,2024-11-06T05:40:45.320000+0000
2024,Montana,Cascade County,30013,22075,60,13820,37,92.0,2024-11-06T14:45:40.130000+0000
2024,Montana,Chouteau County,30015,1885,64,940,32,98.0,2024-11-06T05:28:30.100000+0000
2024,Montana,Custer County,30017,4172,73,1376,24,95.0,2024-11-06T07:45:45.230000+0000
2024,Montana,Daniels County,30019,776,82,154,16,93.0,2024-11-06T06:51:00.100000+0000
2024,Montana,Dawson County,30021,3607,78,888,19,95.0,2024-11-06T07:57:10.123000+0000
2024,Montana,Deer Lodge County,30023,2298,48,2348,49,95.0,2024-11-06T09:05:55.337000+0000
2024,Montana,Fallon County,30025,1295,86,163,11,94.0,2024-11-06T07:41:15.267000+0000
2024,Montana,Fergus County,30027,4965,74,1522,23,95.0,2024-11-06T09:41:15.180000+0000
2024,Montana,Flathead County,30029,40645,66,19743,32,95.0,2024-11-06T23:21:15.103000+0000
2024,Montana,Gallatin County,30031,24786,46,27408,51,75.0,2024-11-06T23:31:10.147000+0000
2024,Montana,Garfield County,30033,756,95,39,5,95.0,2024-11-06T06:51:15.583000+0000
2024,Montana,Glacier County,30035,1914,38,2888,58,88.0,2024-11-06T08:55:40.130000+0000
2024,Montana,Golden Valley County,30037,440,85,67,13,95.0,2024-11-06T04:31:25.190000+0000
2024,Montana,Granite County,30039,1534,71,576,27,95.0,2024-11-06T05:56:05.230000+0000
2024,Montana,Hill County,30041,3780,57,2561,39,91.0,2024-11-06T10:51:15.160000+0000
2024,Montana,Jefferson County,30043,5487,67,2504,31,95.0,2024-11-06T08:41:15.193000+0000
2024,Montana,Judith Basin County,30045,1047,78,265,20,99.0,2024-11-06T05:30:45.133000+0000
2024,Montana,Lake County,30047,9675,59,6372,39,95.0,2024-11-06T21:05:40.083000+0000
2024,Montana,Lewis and Clark County,30049,20498,51,18407,46,94.0,2024-11-06T19:50:50.120000+0000
2024,Montana,Liberty County,30051,752,76,214,22,90.0,2024-11-06T04:01:00.377000+0000
2024,Montana,Lincoln County,30053,8812,76,2593,22,95.0,2024-11-07T01:25:45.183000+0000
2024,Montana,McCone County,30055,931,86,129,12,95.0,2024-11-06T08:35:40.157000+0000
2024,Montana,Madison County,30057,4569,71,1673,26,99.0,2024-11-06T07:43:35.093000+0000
2024,Montana,Meagher County,30059,888,76,256,22,95.0,2024-11-06T08:45:45.147000+0000
2024,Montana,Mineral County,30061,2018,72,682,24,95.0,2024-11-06T06:41:15.310000+0000
2024,Montana,Missoula County,30063,24141,38,37875,59,89.0,2024-11-07T02:05:45.083000+0000
2024,Montana,Musselshell County,30065,2548,85,394,13,95.0,2024-11-06T06:11:20.117000+0000
2024,Montana,Park County,30067,5914,52,5089,45,95.0,2024-11-06T10:11:15.100000+0000
2024,Montana,Petroleum County,30069,284,88,37,11,92.0,2024-11-06T03:21:35.587000+0000
2024,Montana,Phillips County,30071,1752,80,384,18,91.0,2024-11-06T06:55:50.177000+0000
2024,Montana,Pondera County,30073,1959,70,756,27,93.0,2024-11-06T05:21:15.177000+0000
2024,Montana,Powder River County,30075,963,87,131,12,96.0,2024-11-06T08:02:50.093000+0000
2024,Montana,Powell County,30077,2447,75,698,22,95.0,2024-11-06T06:41:15.383000+0000
2024,Montana,Prairie County,30079,546,79,122,18,91.0,2024-11-06T07:45:45.213000+0000
2024,Montana,Ravalli County,30081,20121,69,8382,29,95.0,2024-11-06T11:50:40.127000+0000
2024,Montana,Richland County,30083,4353,83,776,15,90.0,2024-11-06T09:55:40.133000+0000
2024,Montana,Roosevelt County,30085,2037,53,1631,42,95.0,2024-11-06T09:05:55.307000+0000
2024,Montana,Rosebud County,30087,2457,67,1089,30,95.0,2024-11-06T06:36:05.477000+0000
2024,Montana,Sanders County,30089,6078,76,1687,21,95.0,2024-11-06T08:18:40.110000+0000
2024,Montana,Sheridan County,30091,1319,69,509,27,93.0,2024-11-06T05:46:10.643000+0000
2024,Montana,Silver Bow County,30093,8004,44,9324,52,95.0,2024-11-06T12:31:15.150000+0000
2024,Montana,Stillwater County,30095,4681,80,1053,18,95.0,2024-11-06T07:15:45.133000+0000
2024,Montana,Sweet Grass County,30097,1785,75,524,22,95.0,2024-11-06T06:26:15.190000+0000
2024,Montana,Teton County,30099,2528,71,927,26,95.0,2024-11-06T07:25:50.277000+0000
2024,Montana,Toole County,30101,1563,77,410,20,95.0,2024-11-06T06:01:15.153000+0000
2024,Montana,Treasure County,30103,367,83,57,13,95.0,2024-11-06T04:26:00.120000+0000
2024,Montana,Valley County,30105,3019,74,935,23,95.0,2024-11-06T05:26:05.277000+0000
2024,Montana,Wheatland County,30107,825,78,204,19,95.0,2024-11-06T06:20:45.273000+0000
2024,Montana,Wibaux County,30109,463,85,71,13,90.0,2024-11-06T03:18:00.460000+0000
2024,Montana,Yellowstone County,30111,49178,62,27835,35,94.0,2024-11-06T17:01:15.217000+0000
