electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,North Carolina,Alamance County,37001,46056,54,38825,45,100.0,2020-11-24T14:00:27.660000+0000
2020,North Carolina,Alexander County,37003,15888,79,4145,21,100.0,2020-11-24T14:00:27.740000+0000
2020,North Carolina,Alleghany County,37005,4527,75,1486,25,100.0,2020-11-24T14:00:27.760000+0000
2020,North Carolina,Anson County,37007,5321,48,5789,52,100.0,2020-11-24T14:00:27.780000+0000
2020,North Carolina,Ashe County,37009,11451,72,4164,26,100.0,2020-11-24T14:00:27.807000+0000
2020,North Carolina,Avery County,37011,7172,76,2191,23,100.0,2020-11-24T14:00:27.913000+0000
2020,North Carolina,Beaufort County,37013,16437,63,9633,37,100.0,2020-11-24T14:00:27.930000+0000
2020,North Carolina,Bertie County,37015,3817,39,5939,61,100.0,2020-11-24T14:00:28.213000+0000
2020,North Carolina,Bladen County,37017,9676,57,7326,43,100.0,2020-11-24T14:00:28.633000+0000
2020,North Carolina,Brunswick County,37019,55850,62,33310,37,100.0,2020-11-24T14:00:28.700000+0000
2020,North Carolina,Buncombe County,37021,62412,39,96515,60,100.0,2020-11-24T14:00:28.737000+0000
2020,North Carolina,Burke County,37023,31019,70,13118,29,100.0,2020-11-24T14:00:28.777000+0000
2020,North Carolina,Cabarrus County,37025,63237,54,52162,45,100.0,2020-11-24T14:00:28.827000+0000
2020,North Carolina,Caldwell County,37027,32119,75,10245,24,100.0,2020-11-24T14:00:28.853000+0000
2020,North Carolina,Camden County,37029,4312,72,1537,26,100.0,2020-11-24T14:00:43.300000+0000
2020,North Carolina,Carteret County,37031,30028,70,12093,28,100.0,2020-11-24T14:00:43.350000+0000
2020,North Carolina,Caswell County,37033,7089,59,4860,40,100.0,2020-11-24T14:00:43.393000+0000
2020,North Carolina,Catawba County,37035,56588,68,25689,31,100.0,2020-11-24T14:00:43.467000+0000
2020,North Carolina,Chatham County,37037,21186,44,26787,55,100.0,2020-11-24T14:00:43.507000+0000
2020,North Carolina,Cherokee County,37039,12628,77,3583,22,100.0,2020-11-24T14:00:43.530000+0000
2020,North Carolina,Chowan County,37041,4471,57,3247,42,100.0,2020-11-24T14:00:43.583000+0000
2020,North Carolina,Clay County,37043,5112,74,1699,25,100.0,2020-11-24T14:00:43.620000+0000
2020,North Carolina,Cleveland County,37045,33798,66,16955,33,100.0,2020-11-24T14:00:43.670000+0000
2020,North Carolina,Columbus County,37047,16832,64,9446,36,100.0,2020-11-24T14:00:43.717000+0000
2020,North Carolina,Craven County,37049,31032,59,21148,40,100.0,2020-11-24T14:00:43.897000+0000
2020,North Carolina,Cumberland County,37051,60032,41,84469,57,100.0,2020-11-24T14:00:43.997000+0000
2020,North Carolina,Currituck County,37053,11657,72,4195,26,100.0,2020-11-24T14:00:44.200000+0000
2020,North Carolina,Dare County,37055,13938,58,9936,41,100.0,2020-11-24T14:00:44.490000+0000
2020,North Carolina,Davidson County,37057,64658,73,22636,26,100.0,2020-11-24T14:00:44.560000+0000
2020,North Carolina,Davie County,37059,18228,72,6713,27,100.0,2020-11-24T14:00:44.733000+0000
2020,North Carolina,Duplin County,37061,13793,61,8767,39,100.0,2020-11-24T14:00:44.847000+0000
2020,North Carolina,Durham County,37063,32459,18,144688,80,100.0,2020-11-24T14:00:44.973000+0000
2020,North Carolina,Edgecombe County,37065,9206,36,16089,63,100.0,2020-11-24T14:00:45.193000+0000
2020,North Carolina,Forsyth County,37067,85064,42,113033,56,100.0,2020-11-27T16:18:24.847000+0000
2020,North Carolina,Franklin County,37069,20901,56,15879,43,100.0,2020-11-27T16:13:40.433000+0000
2020,North Carolina,Gaston County,37071,73033,63,40959,36,100.0,2020-11-24T14:00:45.570000+0000
2020,North Carolina,Gates County,37073,3367,56,2546,43,100.0,2020-11-24T14:01:12.007000+0000
2020,North Carolina,Graham County,37075,3710,80,905,19,100.0,2020-11-24T14:01:12.067000+0000
2020,North Carolina,Granville County,37077,16647,53,14565,46,100.0,2020-11-24T14:01:12.130000+0000
2020,North Carolina,Greene County,37079,4874,56,3832,44,100.0,2020-11-24T14:01:12.213000+0000
2020,North Carolina,Guilford County,37081,107294,38,173086,61,100.0,2020-11-24T14:01:12.290000+0000
2020,North Carolina,Halifax County,37083,10080,39,15545,60,100.0,2020-11-24T14:01:12.343000+0000
2020,North Carolina,Harnett County,37085,35177,60,22093,38,100.0,2020-11-24T14:01:12.423000+0000
2020,North Carolina,Haywood County,37087,22834,63,13144,36,100.0,2020-11-24T14:01:12.540000+0000
2020,North Carolina,Henderson County,37089,40032,59,27211,40,100.0,2020-11-24T14:01:12.600000+0000
2020,North Carolina,Hertford County,37091,3479,33,7097,67,100.0,2020-11-24T14:01:12.667000+0000
2020,North Carolina,Hoke County,37093,9453,44,11804,55,100.0,2020-11-24T14:01:12.733000+0000
2020,North Carolina,Hyde County,37095,1418,57,1046,42,100.0,2020-11-24T14:01:12.810000+0000
2020,North Carolina,Iredell County,37097,67010,66,33888,33,100.0,2020-11-24T14:01:12.890000+0000
2020,North Carolina,Jackson County,37099,11356,53,9591,45,100.0,2020-11-24T14:01:12.930000+0000
2020,North Carolina,Johnston County,37101,68353,61,41257,37,100.0,2020-11-29T14:59:27.637000+0000
