electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,North Dakota,Adams County,38001,981,77,258,20,100.0,2020-11-24T13:58:35.210000+0000
2020,North Dakota,Barnes County,38003,3568,64,1820,33,100.0,2020-11-24T13:58:35.263000+0000
2020,North Dakota,Benson County,38005,1094,56,822,42,100.0,2020-11-24T13:58:35.307000+0000
2020,North Dakota,Billings County,38007,541,85,72,11,100.0,2020-11-24T13:58:35.347000+0000
2020,North Dakota,Bottineau County,38009,2575,74,821,24,100.0,2020-11-24T13:58:35.367000+0000
2020,North Dakota,Bowman County,38011,1395,84,228,14,100.0,2020-11-24T13:58:35.407000+0000
2020,North Dakota,Burke County,38013,994,86,137,12,100.0,2020-11-24T13:58:35.443000+0000
2020,North Dakota,Burleigh County,38015,34744,69,14348,28,100.0,2020-11-24T13:58:35.460000+0000
2020,North Dakota,Cass County,38017,42619,50,40311,47,100.0,2020-11-24T13:57:52.373000+0000
2020,North Dakota,Cavalier County,38019,1499,74,474,24,100.0,2020-11-24T13:43:31.700000+0000
2020,North Dakota,Dickey County,38021,1742,72,608,25,100.0,2020-11-24T13:43:32.370000+0000
2020,North Dakota,Divide County,38023,904,75,265,22,100.0,2020-11-24T13:43:32.860000+0000
2020,North Dakota,Dunn County,38025,1951,83,342,15,100.0,2020-11-24T13:43:33.013000+0000
2020,North Dakota,Eddy County,38027,854,68,383,30,100.0,2020-11-24T13:43:33.193000+0000
2020,North Dakota,Emmons County,38029,1738,87,237,12,100.0,2020-11-24T13:43:33.370000+0000
2020,North Dakota,Foster County,38031,1362,77,373,21,100.0,2020-11-24T13:43:33.490000+0000
2020,North Dakota,Golden Valley County,38033,871,85,137,13,100.0,2020-11-24T13:43:33.520000+0000
2020,North Dakota,Grand Forks County,38035,16987,55,12880,42,100.0,2020-11-24T13:43:33.647000+0000
2020,North Dakota,Grant County,38037,1145,83,207,15,100.0,2020-11-24T13:43:34.173000+0000
2020,North Dakota,Griggs County,38039,907,73,308,25,100.0,2020-11-24T13:43:34.433000+0000
2020,North Dakota,Hettinger County,38041,1091,83,196,15,100.0,2020-11-24T13:43:34.510000+0000
2020,North Dakota,Kidder County,38043,1215,83,221,15,100.0,2020-11-24T13:43:34.600000+0000
2020,North Dakota,LaMoure County,38045,1645,74,527,24,100.0,2020-11-24T13:43:34.730000+0000
2020,North Dakota,Logan County,38047,930,86,128,12,100.0,2020-11-24T13:43:34.830000+0000
2020,North Dakota,McHenry County,38049,2364,79,564,19,100.0,2020-11-24T13:43:35.103000+0000
2020,North Dakota,McIntosh County,38051,1153,79,261,18,100.0,2020-11-24T13:43:35.167000+0000
2020,North Dakota,McKenzie County,38053,4482,83,814,15,100.0,2020-11-24T13:43:35.290000+0000
2020,North Dakota,McLean County,38055,4198,76,1230,22,100.0,2020-11-24T13:43:35.460000+0000
2020,North Dakota,Mercer County,38057,3856,83,704,15,100.0,2020-11-24T13:43:35.567000+0000
2020,North Dakota,Morton County,38059,12243,74,3872,23,100.0,2020-11-24T13:43:35.663000+0000
2020,North Dakota,Mountrail County,38061,2824,68,1256,30,100.0,2020-11-24T13:43:35.780000+0000
2020,North Dakota,Nelson County,38063,1141,64,586,33,100.0,2020-11-24T13:43:35.877000+0000
2020,North Dakota,Oliver County,38065,918,86,129,12,100.0,2020-11-24T13:43:36.103000+0000
2020,North Dakota,Pembina County,38067,2460,74,786,24,100.0,2020-11-24T13:43:36.180000+0000
2020,North Dakota,Pierce County,38069,1585,75,497,23,100.0,2020-11-24T13:43:36.277000+0000
2020,North Dakota,Ramsey County,38071,3577,67,1639,31,100.0,2020-11-24T13:43:36.483000+0000
2020,North Dakota,Ransom County,38073,1418,58,945,39,100.0,2020-11-24T13:43:36.713000+0000
2020,North Dakota,Renville County,38075,1065,81,220,17,100.0,2020-11-24T13:43:36.817000+0000
2020,North Dakota,Richland County,38077,5072,65,2510,32,100.0,2020-11-24T13:43:37.020000+0000
2020,North Dakota,Rolette County,38079,1257,33,2482,65,100.0,2020-11-24T13:43:37.183000+0000
2020,North Dakota,Sargent County,38081,1266,61,738,36,100.0,2020-11-24T13:43:37.300000+0000
2020,North Dakota,Sheridan County,38083,688,85,104,13,100.0,2020-11-24T13:43:37.493000+0000
2020,North Dakota,Sioux County,38085,258,22,804,68,100.0,2020-11-24T13:43:37.543000+0000
2020,North Dakota,Slope County,38087,380,89,44,10,100.0,2020-11-24T13:43:37.710000+0000
2020,North Dakota,Stark County,38089,12110,81,2499,17,100.0,2020-11-24T13:43:37.907000+0000
2020,North Dakota,Steele County,38091,652,60,392,36,100.0,2020-11-24T13:43:38.160000+0000
2020,North Dakota,Stutsman County,38093,6994,70,2676,27,100.0,2020-11-24T13:43:38.373000+0000
2020,North Dakota,Towner County,38095,830,71,317,27,100.0,2020-11-24T13:43:38.490000+0000
2020,North Dakota,Traill County,38097,2522,61,1493,36,100.0,2020-11-24T13:43:38.667000+0000
2020,North Dakota,Walsh County,38099,3324,70,1333,28,100.0,2020-11-24T13:43:38.927000+0000
2020,North Dakota,Ward County,38101,19974,71,7293,26,100.0,2020-11-24T13:43:38.990000+0000
2020,North Dakota,Wells County,38103,1893,80,442,19,100.0,2020-11-24T13:43:39.037000+0000
2020,North Dakota,Williams County,38105,11739,82,2169,15,100.0,2020-11-24T13:43:39.167000+0000
