electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Nebraska,Adams County,31001,10085,69,4213,29,100.0,2020-12-17T18:16:51.443000+0000
2020,Nebraska,Antelope County,31003,3093,86,452,13,100.0,2020-12-17T18:16:51.520000+0000
2020,Nebraska,Arthur County,31005,260,91,21,7,100.0,2020-12-17T18:16:51.630000+0000
2020,Nebraska,Banner County,31007,362,88,43,11,100.0,2020-12-17T18:16:51.717000+0000
2020,Nebraska,Blaine County,31009,280,88,35,11,100.0,2020-12-17T18:16:51.807000+0000
2020,Nebraska,Boone County,31011,2653,82,499,16,100.0,2020-12-17T18:16:51.910000+0000
2020,Nebraska,Box Butte County,31013,4002,77,1051,20,100.0,2020-12-17T18:16:52.000000+0000
2020,Nebraska,Boyd County,31015,1010,87,135,12,100.0,2020-12-17T18:16:52.083000+0000
2020,Nebraska,Brown County,31017,1470,87,191,11,100.0,2020-12-17T18:16:52.160000+0000
2020,Nebraska,Buffalo County,31019,16640,70,6350,27,100.0,2020-12-17T18:16:52.253000+0000
2020,Nebraska,Burt County,31021,2580,69,1063,28,100.0,2020-12-17T18:16:52.337000+0000
2020,Nebraska,Butler County,31023,3542,78,873,19,100.0,2020-12-17T18:16:52.420000+0000
2020,Nebraska,Cass County,31025,10121,66,4737,31,100.0,2020-12-17T18:16:52.513000+0000
2020,Nebraska,Cedar County,31027,4174,83,725,15,100.0,2020-12-17T18:16:52.600000+0000
2020,Nebraska,Chase County,31029,1740,87,226,11,100.0,2020-12-17T18:16:52.683000+0000
2020,Nebraska,Cherry County,31031,2844,87,373,11,100.0,2020-12-17T18:16:52.777000+0000
2020,Nebraska,Cheyenne County,31033,3813,80,855,18,100.0,2020-12-17T18:16:52.867000+0000
2020,Nebraska,Clay County,31035,2848,80,632,18,100.0,2020-12-17T18:16:52.960000+0000
2020,Nebraska,Colfax County,31037,2636,71,1025,28,100.0,2020-12-17T18:16:53.037000+0000
2020,Nebraska,Cuming County,31039,3507,79,870,20,100.0,2020-12-17T18:16:53.157000+0000
2020,Nebraska,Custer County,31041,5090,85,786,13,100.0,2020-12-17T18:16:53.253000+0000
2020,Nebraska,Dakota County,31043,3926,58,2744,40,100.0,2020-12-17T18:16:53.350000+0000
2020,Nebraska,Dawes County,31045,2931,71,1082,26,100.0,2020-12-17T18:16:53.443000+0000
2020,Nebraska,Dawson County,31047,6524,71,2497,27,100.0,2020-12-17T18:16:53.537000+0000
2020,Nebraska,Deuel County,31049,871,84,141,14,100.0,2020-12-17T18:16:53.630000+0000
2020,Nebraska,Dixon County,31051,2335,76,651,21,100.0,2020-12-17T18:16:53.700000+0000
2020,Nebraska,Dodge County,31053,10984,65,5544,33,100.0,2020-12-17T18:16:53.860000+0000
2020,Nebraska,Douglas County,31055,119159,43,150350,54,100.0,2020-12-17T18:16:53.957000+0000
2020,Nebraska,Dundy County,31057,883,88,105,11,100.0,2020-12-17T18:16:54.043000+0000
2020,Nebraska,Fillmore County,31059,2359,75,693,22,100.0,2020-12-17T18:16:54.130000+0000
2020,Nebraska,Franklin County,31061,1437,83,276,16,100.0,2020-12-17T18:16:54.223000+0000
2020,Nebraska,Frontier County,31063,1229,85,189,13,100.0,2020-12-17T18:16:54.310000+0000
2020,Nebraska,Furnas County,31065,2163,83,399,15,100.0,2020-12-17T18:16:54.400000+0000
2020,Nebraska,Gage County,31067,7445,67,3385,30,100.0,2020-12-17T18:16:54.487000+0000
2020,Nebraska,Garden County,31069,1016,85,161,13,100.0,2020-12-17T18:16:54.577000+0000
2020,Nebraska,Garfield County,31071,933,87,133,12,100.0,2020-12-17T18:16:54.663000+0000
2020,Nebraska,Gosper County,31073,893,80,215,19,100.0,2020-12-17T18:16:54.747000+0000
2020,Nebraska,Grant County,31075,375,93,20,5,100.0,2020-12-17T18:16:54.820000+0000
2020,Nebraska,Greeley County,31077,1016,81,229,18,100.0,2020-12-17T18:16:54.920000+0000
2020,Nebraska,Hall County,31079,16189,66,7681,31,100.0,2020-12-17T18:16:55.003000+0000
2020,Nebraska,Hamilton County,31081,4309,77,1118,20,100.0,2020-12-17T18:16:55.097000+0000
2020,Nebraska,Harlan County,31083,1615,84,282,15,100.0,2020-12-17T18:16:55.190000+0000
2020,Nebraska,Hayes County,31085,494,92,34,6,100.0,2020-12-17T18:16:55.277000+0000
