electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,New Jersey,Atlantic County,34001,64176,51,59293,47,90.0,2024-11-06T05:28:00.110000+0000
2024,New Jersey,Bergen County,34003,210870,47,224863,51,93.0,2024-11-06T06:19:35.100000+0000
2024,New Jersey,Burlington County,34005,90050,41,125504,57,82.0,2024-11-06T10:45:05.127000+0000
2024,New Jersey,Camden County,34007,82527,36,145686,63,90.0,2024-11-06T05:13:20.253000+0000
2024,New Jersey,Cape May County,34009,31127,59,20687,39,79.0,2024-11-06T02:51:55.093000+0000
2024,New Jersey,Cumberland County,34011,27965,52,25666,47,95.0,2024-11-06T06:10:20.167000+0000
2024,New Jersey,Essex County,34013,80231,27,209968,71,95.0,2024-11-06T20:47:40.133000+0000
2024,New Jersey,Gloucester County,34015,81788,51,77251,48,93.0,2024-11-06T21:43:10.137000+0000
2024,New Jersey,Hudson County,34017,74353,35,134580,62,95.0,2024-11-06T19:58:45.130000+0000
2024,New Jersey,Hunterdon County,34019,41670,52,36009,45,81.0,2024-11-06T02:54:45.203000+0000
2024,New Jersey,Mercer County,34021,48608,32,98445,66,86.0,2024-11-06T05:17:00.090000+0000
2024,New Jersey,Middlesex County,34023,151813,45,177291,52,95.0,2024-11-06T04:10:25.230000+0000
2024,New Jersey,Monmouth County,34025,191478,55,148386,43,84.0,2024-11-06T04:36:40.163000+0000
2024,New Jersey,Morris County,34027,138611,51,127545,47,85.0,2024-11-06T04:30:50.217000+0000
2024,New Jersey,Ocean County,34029,222762,67,103700,31,89.0,2024-11-06T21:43:15.143000+0000
2024,New Jersey,Passaic County,34031,95620,50,89086,47,95.0,2024-11-06T05:28:00.133000+0000
2024,New Jersey,Salem County,34033,17894,59,11813,39,89.0,2024-11-06T03:24:25.270000+0000
2024,New Jersey,Somerset County,34035,70130,43,88926,54,84.0,2024-11-06T22:28:50.107000+0000
2024,New Jersey,Sussex County,34037,51371,62,30104,36,89.0,2024-11-06T04:17:00.253000+0000
2024,New Jersey,Union County,34039,85282,37,139817,61,98.0,2024-11-06T21:34:05.100000+0000
2024,New Jersey,Warren County,34041,34349,60,21459,38,90.0,2024-11-06T03:07:25.130000+0000
