electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Nevada,Churchill County,32001,9651,74,3064,23,93.0,2024-11-06T22:12:15.100000+0000
2024,Nevada,Clark County,32003,455892,49,466129,50,95.0,2024-11-06T20:46:50.113000+0000
2024,Nevada,Douglas County,32005,20808,67,9854,32,75.0,2024-11-06T06:47:10.110000+0000
2024,Nevada,Elko County,32007,16155,78,4134,20,90.0,2024-11-06T06:54:20.107000+0000
2024,Nevada,Esmeralda County,32009,371,82,69,15,70.0,2024-11-06T06:02:15.260000+0000
2024,Nevada,Eureka County,32011,860,88,97,10,88.0,2024-11-06T07:00:15.213000+0000
2024,Nevada,Humboldt County,32013,5664,77,1547,21,85.0,2024-11-06T06:11:45.120000+0000
2024,Nevada,Lander County,32015,2144,80,469,18,85.0,2024-11-06T06:09:15.243000+0000
2024,Nevada,Lincoln County,32017,2005,85,295,13,77.0,2024-11-06T06:24:50.123000+0000
2024,Nevada,Lyon County,32019,22506,71,8399,27,94.0,2024-11-06T06:49:05.237000+0000
2024,Nevada,Mineral County,32021,1518,67,709,31,85.0,2024-11-06T22:00:10.153000+0000
2024,Nevada,Nye County,32023,12501,76,3757,23,56.0,2024-11-07T01:01:15.167000+0000
2024,Nevada,Pershing County,32027,1718,77,478,21,89.0,2024-11-06T06:24:00.170000+0000
2024,Nevada,Storey County,32029,1983,68,865,30,80.0,2024-11-06T06:02:15.360000+0000
2024,Nevada,Washoe County,32031,108897,50,105718,48,79.0,2024-11-07T01:01:15.290000+0000
2024,Nevada,White Pine County,32033,3272,77,865,20,86.0,2024-11-06T05:59:20.147000+0000
2024,Nevada,Carson City,32510,14536,56,10888,42,77.0,2024-11-06T18:50:15.147000+0000
