electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,New York,Albany County,36001,52532,37,87849,62,96.0,2024-11-06T04:02:40.197000+0000
2024,New York,Allegany County,36003,13102,72,5058,28,91.0,2024-11-06T04:21:20.577000+0000
2024,New York,Bronx County,36005,91542,27,244385,73,95.0,2024-11-06T04:37:00.340000+0000
2024,New York,Broome County,36007,42644,50,42093,49,95.0,2024-11-06T05:23:15.110000+0000
2024,New York,Cattaraugus County,36009,21936,67,10914,33,95.0,2024-11-06T04:53:15.220000+0000
2024,New York,Cayuga County,36011,19959,56,15278,43,99.0,2024-11-06T04:08:55.283000+0000
2024,New York,Chautauqua County,36013,33580,61,21274,39,95.0,2024-11-06T15:29:10.130000+0000
2024,New York,Chemung County,36015,21330,58,15032,41,95.0,2024-11-06T05:04:45.107000+0000
2024,New York,Chenango County,36017,13947,63,7948,36,95.0,2024-11-06T04:59:00.120000+0000
2024,New York,Clinton County,36019,17741,51,16930,49,95.0,2024-11-06T04:09:05.150000+0000
2024,New York,Columbia County,36021,14690,42,19472,56,99.0,2024-11-06T04:49:15.113000+0000
2024,New York,Cortland County,36023,11230,53,9842,47,95.0,2024-11-06T04:17:25.240000+0000
2024,New York,Delaware County,36025,13345,60,8845,40,95.0,2024-11-06T04:02:10.110000+0000
2024,New York,Dutchess County,36027,69307,47,75795,52,95.0,2024-11-06T04:04:35.120000+0000
2024,New York,Erie County,36029,199313,45,239712,54,95.0,2024-11-06T05:55:55.240000+0000
2024,New York,Essex County,36031,9294,50,9222,50,95.0,2024-11-06T04:39:15.120000+0000
2024,New York,Franklin County,36033,10291,54,8555,45,95.0,2024-11-06T05:19:15.113000+0000
2024,New York,Fulton County,36035,15872,68,7453,32,95.0,2024-11-06T03:43:20.560000+0000
2024,New York,Genesee County,36037,18580,67,9098,33,95.0,2024-11-06T05:31:20.343000+0000
2024,New York,Greene County,36039,14127,58,9872,41,99.0,2024-11-06T04:05:00.117000+0000
2024,New York,Hamilton County,36041,2190,65,1157,35,95.0,2024-11-06T04:17:25.223000+0000
2024,New York,Herkimer County,36043,17760,69,8144,31,92.0,2024-11-06T04:01:20.130000+0000
2024,New York,Jefferson County,36045,25215,62,15450,38,95.0,2024-11-06T06:18:20.120000+0000
2024,New York,Kings County,36047,219335,28,551633,72,95.0,2024-11-06T05:17:15.120000+0000
2024,New York,Lewis County,36049,8786,74,3105,26,95.0,2024-11-06T03:13:30.387000+0000
2024,New York,Livingston County,36051,18482,61,11894,39,95.0,2024-11-06T04:09:15.197000+0000
2024,New York,Madison County,36053,18326,56,13853,43,95.0,2024-11-06T04:11:05.117000+0000
2024,New York,Monroe County,36055,141763,40,205120,59,95.0,2024-11-06T05:00:55.160000+0000
2024,New York,Montgomery County,36057,12929,65,7049,35,95.0,2024-11-06T04:53:15.267000+0000
2024,New York,Nassau County,36059,355276,52,322131,47,95.0,2024-11-06T05:35:55.127000+0000
2024,New York,New York County,36061,102534,17,480178,81,99.0,2024-11-06T04:29:05.203000+0000
2024,New York,Niagara County,36063,57156,58,41825,42,95.0,2024-11-06T03:06:30.283000+0000
2024,New York,Oneida County,36065,58783,61,37640,39,95.0,2024-11-06T03:33:50.223000+0000
2024,New York,Onondaga County,36067,89582,41,124841,58,95.0,2024-11-06T05:02:20.270000+0000
2024,New York,Ontario County,36069,29415,51,28576,49,95.0,2024-11-06T04:09:15.257000+0000
2024,New York,Orange County,36071,90529,55,74869,45,95.0,2024-11-06T21:52:10.093000+0000
2024,New York,Orleans County,36073,12432,70,5227,29,95.0,2024-11-06T03:34:40.113000+0000
2024,New York,Oswego County,36075,32740,62,19973,38,95.0,2024-11-06T21:33:40.110000+0000
2024,New York,Otsego County,36077,13799,56,10580,43,91.0,2024-11-06T03:40:26.280000+0000
2024,New York,Putnam County,36079,30654,57,22859,43,95.0,2024-11-06T03:29:50.143000+0000
2024,New York,Queens County,36081,248024,38,404126,62,95.0,2024-11-06T05:27:15.117000+0000
2024,New York,Rensselaer County,36083,37772,49,38525,50,99.0,2024-11-06T04:13:25.130000+0000
2024,New York,Richmond County,36085,124265,65,65872,35,91.0,2024-11-06T04:52:10.357000+0000
2024,New York,Rockland County,36087,80025,55,63064,44,95.0,2024-11-06T04:33:50.137000+0000
2024,New York,St. Lawrence County,36089,25210,59,17502,41,95.0,2024-11-06T04:23:05.280000+0000
2024,New York,Saratoga County,36091,62278,49,63852,51,95.0,2024-11-06T21:23:15.130000+0000
2024,New York,Schenectady County,36093,31086,45,38064,55,95.0,2024-11-06T04:07:15.290000+0000
2024,New York,Schoharie County,36095,10106,66,5315,35,95.0,2024-11-06T04:05:15.330000+0000
2024,New York,Schuyler County,36097,5583,61,3598,39,95.0,2024-11-06T03:23:15.310000+0000
2024,New York,Seneca County,36099,8226,56,6396,44,95.0,2024-11-06T03:35:30.270000+0000
2024,New York,Steuben County,36101,29159,66,14938,34,95.0,2024-11-06T04:37:15.183000+0000
2024,New York,Suffolk County,36103,402924,55,323473,44,95.0,2024-11-06T06:05:55.110000+0000
2024,New York,Sullivan County,36105,19256,58,13696,41,95.0,2024-11-06T03:42:10.093000+0000
2024,New York,Tioga County,36107,14365,62,8909,38,95.0,2024-11-06T03:47:25.323000+0000
2024,New York,Tompkins County,36109,10934,25,32181,73,95.0,2024-11-06T04:29:25.107000+0000
2024,New York,Ulster County,36111,38513,40,55349,58,95.0,2024-11-06T04:35:55.187000+0000
2024,New York,Warren County,36113,18080,52,16585,48,95.0,2024-11-06T03:21:36.227000+0000
2024,New York,Washington County,36115,16897,61,10985,39,95.0,2024-11-06T03:57:20.157000+0000
2024,New York,Wayne County,36117,26761,62,16570,38,95.0,2024-11-06T04:48:15.157000+0000
2024,New York,Westchester County,36119,160138,37,273472,63,95.0,2024-11-06T07:39:15.117000+0000
2024,New York,Wyoming County,36121,13181,74,4679,26,95.0,2024-11-06T03:55:15.243000+0000
2024,New York,Yates County,36123,5966,59,4234,42,95.0,2024-11-06T03:51:26.007000+0000
