electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Ohio,Adams County,39001,9870,81,2156,18,100.0,2020-11-27T21:36:45.073000+0000
2020,Ohio,Allen County,39003,33116,69,14149,30,100.0,2020-11-27T22:35:00.597000+0000
2020,Ohio,Ashland County,39005,19407,74,6541,25,100.0,2020-11-27T21:37:45.230000+0000
2020,Ohio,Ashtabula County,39007,26890,61,16497,37,100.0,2020-11-27T21:38:11.253000+0000
2020,Ohio,Athens County,39009,10862,42,14772,57,100.0,2020-11-27T22:46:52.113000+0000
2020,Ohio,Auglaize County,39011,20798,81,4651,18,100.0,2020-11-27T21:39:07.397000+0000
2020,Ohio,Belmont County,39013,23560,71,9138,28,100.0,2020-11-27T21:39:27.387000+0000
2020,Ohio,Brown County,39015,16480,78,4380,21,100.0,2020-11-27T22:31:40.223000+0000
2020,Ohio,Butler County,39017,114392,61,69613,37,100.0,2020-11-27T22:39:41.223000+0000
2020,Ohio,Carroll County,39019,10745,76,3251,23,100.0,2020-11-27T22:56:07.010000+0000
2020,Ohio,Champaign County,39021,14589,73,5062,25,100.0,2020-11-27T22:35:04.620000+0000
2020,Ohio,Clark County,39023,39032,61,24076,38,100.0,2020-11-27T22:40:03.263000+0000
2020,Ohio,Clermont County,39025,74570,68,34092,31,100.0,2020-11-27T22:31:50.260000+0000
2020,Ohio,Clinton County,39027,15488,76,4697,23,100.0,2020-11-27T22:47:04.153000+0000
2020,Ohio,Columbiana County,39029,35726,72,13359,27,100.0,2020-11-27T21:42:35.730000+0000
2020,Ohio,Coshocton County,39031,12325,74,4125,25,100.0,2020-11-27T21:42:51.787000+0000
2020,Ohio,Crawford County,39033,15436,75,4916,24,100.0,2020-11-27T21:43:11.857000+0000
2020,Ohio,Cuyahoga County,39035,202699,32,416176,67,100.0,2020-11-27T22:51:06.577000+0000
2020,Ohio,Darke County,39037,22004,81,4731,17,100.0,2020-11-27T22:40:23.250000+0000
2020,Ohio,Defiance County,39039,13038,67,5981,31,100.0,2020-11-27T21:44:37.973000+0000
2020,Ohio,Delaware County,39041,66356,53,57735,46,100.0,2020-11-27T21:44:57.983000+0000
2020,Ohio,Erie County,39043,22160,55,17493,43,100.0,2020-11-27T22:42:03.450000+0000
2020,Ohio,Fairfield County,39045,50797,61,31224,38,100.0,2020-11-27T22:47:28.147000+0000
2020,Ohio,Fayette County,39047,9473,75,2975,24,100.0,2020-11-27T22:47:40.210000+0000
2020,Ohio,Franklin County,39049,211237,34,409144,65,100.0,2020-11-27T22:47:56.187000+0000
2020,Ohio,Fulton County,39051,15731,69,6664,29,100.0,2020-11-27T22:36:40.860000+0000
2020,Ohio,Gallia County,39053,10645,77,2990,22,100.0,2020-11-27T22:56:11.003000+0000
2020,Ohio,Geauga County,39055,34143,61,21201,38,100.0,2020-11-27T21:48:00.267000+0000
2020,Ohio,Greene County,39057,52072,59,34798,39,100.0,2020-11-27T22:43:01.633000+0000
2020,Ohio,Guernsey County,39059,13407,74,4577,25,100.0,2020-11-27T22:56:15.027000+0000
2020,Ohio,Hamilton County,39061,177886,41,246266,57,100.0,2020-11-27T22:30:44.120000+0000
2020,Ohio,Hancock County,39063,26310,68,11757,30,100.0,2020-11-27T21:49:16.480000+0000
2020,Ohio,Hardin County,39065,9949,75,3062,23,100.0,2020-11-27T22:37:00.920000+0000
2020,Ohio,Harrison County,39067,5792,76,1768,23,100.0,2020-11-27T22:56:19.057000+0000
2020,Ohio,Henry County,39069,10479,71,4062,28,100.0,2020-11-27T22:36:50.930000+0000
2020,Ohio,Highland County,39071,15678,80,3799,19,100.0,2020-11-27T21:57:41.027000+0000
2020,Ohio,Hocking County,39073,9737,70,3880,28,100.0,2020-11-27T22:48:12.287000+0000
2020,Ohio,Holmes County,39075,10796,83,1994,15,100.0,2020-11-27T21:58:19.100000+0000
2020,Ohio,Huron County,39077,18956,70,7759,29,100.0,2020-11-27T22:35:10.667000+0000
2020,Ohio,Jackson County,39079,11309,76,3311,22,100.0,2020-11-27T21:58:55.173000+0000
2020,Ohio,Jefferson County,39081,22828,68,10018,30,100.0,2020-11-27T22:56:23.070000+0000
2020,Ohio,Knox County,39083,22340,71,8589,27,100.0,2020-11-27T22:38:39.063000+0000
