electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Oklahoma,Adair County,40001,5585,79,1387,20,100.0,2020-11-24T13:51:19.907000+0000
2020,Oklahoma,Alfalfa County,40003,1978,87,232,10,100.0,2020-11-24T13:51:21.000000+0000
2020,Oklahoma,Atoka County,40005,4557,85,765,14,100.0,2020-11-24T13:51:21.630000+0000
2020,Oklahoma,Beaver County,40007,1968,90,190,9,100.0,2020-11-24T13:51:22.497000+0000
2020,Oklahoma,Beckham County,40009,6767,85,1048,13,100.0,2020-11-24T13:51:23.140000+0000
2020,Oklahoma,Blaine County,40011,3136,80,688,18,100.0,2020-11-24T13:51:23.573000+0000
2020,Oklahoma,Bryan County,40013,12344,77,3323,21,100.0,2020-11-24T13:51:24.030000+0000
2020,Oklahoma,Caddo County,40015,7013,71,2670,27,100.0,2020-11-24T13:51:24.530000+0000
2020,Oklahoma,Canadian County,40017,43550,70,16742,27,100.0,2020-11-24T13:51:25.523000+0000
2020,Oklahoma,Carter County,40019,14699,76,4470,23,100.0,2020-11-24T13:51:26.227000+0000
2020,Oklahoma,Cherokee County,40021,11223,63,6027,34,100.0,2020-11-24T13:51:26.867000+0000
2020,Oklahoma,Choctaw County,40023,4698,81,1082,19,100.0,2020-11-24T13:51:27.433000+0000
2020,Oklahoma,Cimarron County,40025,970,92,70,7,100.0,2020-11-24T13:51:27.923000+0000
2020,Oklahoma,Cleveland County,40027,66677,56,49827,42,100.0,2020-11-24T13:51:28.523000+0000
2020,Oklahoma,Coal County,40029,2091,83,374,15,100.0,2020-11-24T13:51:28.997000+0000
2020,Oklahoma,Comanche County,40031,20905,59,13747,39,100.0,2020-11-24T13:51:29.477000+0000
2020,Oklahoma,Cotton County,40033,2117,82,393,15,100.0,2020-11-24T13:51:29.963000+0000
2020,Oklahoma,Craig County,40035,4686,78,1217,20,100.0,2020-11-24T13:51:30.670000+0000
2020,Oklahoma,Creek County,40037,23294,76,6577,22,100.0,2020-11-24T13:51:31.273000+0000
