electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Oregon,Baker County,41001,7352,74,2346,24,100.0,2020-11-24T13:46:10.710000+0000
2020,Oregon,Benton County,41003,14878,28,35827,68,100.0,2020-12-06T01:43:43.337000+0000
2020,Oregon,Clackamas County,41005,110509,43,139043,54,100.0,2020-12-06T01:39:34.970000+0000
2020,Oregon,Clatsop County,41007,10218,43,12916,54,100.0,2020-12-06T01:39:47.020000+0000
2020,Oregon,Columbia County,41009,17150,53,13835,43,100.0,2020-11-24T13:46:11.617000+0000
2020,Oregon,Coos County,41011,21829,59,14243,38,100.0,2020-11-24T13:46:11.647000+0000
2020,Oregon,Crook County,41013,11287,73,3801,25,100.0,2020-12-06T01:39:58.977000+0000
2020,Oregon,Curry County,41015,8484,57,6058,41,100.0,2020-11-26T13:23:28.867000+0000
2020,Oregon,Deschutes County,41017,55646,44,65962,53,100.0,2020-11-24T13:46:11.700000+0000
2020,Oregon,Douglas County,41019,43298,67,19160,30,100.0,2020-11-24T13:46:11.727000+0000
2020,Oregon,Gilliam County,41021,834,71,324,28,100.0,2020-11-24T13:46:11.790000+0000
2020,Oregon,Grant County,41023,3545,77,929,20,100.0,2020-11-24T13:46:11.800000+0000
2020,Oregon,Harney County,41025,3475,78,894,20,100.0,2020-11-24T13:46:11.823000+0000
2020,Oregon,Hood River County,41027,3955,30,8764,67,100.0,2020-11-24T13:46:11.847000+0000
2020,Oregon,Jackson County,41029,63869,50,59478,47,100.0,2020-12-06T01:40:10.990000+0000
2020,Oregon,Jefferson County,41031,7189,60,4393,37,100.0,2020-11-24T13:46:11.903000+0000
2020,Oregon,Josephine County,41033,31751,62,18451,36,100.0,2020-12-06T01:38:50.857000+0000
2020,Oregon,Klamath County,41035,25308,69,10388,28,100.0,2020-12-06T01:33:14.163000+0000
2020,Oregon,Lake County,41037,3470,80,792,18,100.0,2020-12-06T01:44:01.330000+0000
2020,Oregon,Lane County,41039,80336,36,134366,61,100.0,2020-12-06T01:38:44.850000+0000
2020,Oregon,Lincoln County,41041,12460,41,17385,57,100.0,2020-12-06T01:40:35.060000+0000
2020,Oregon,Linn County,41043,43486,60,26512,37,100.0,2020-11-24T13:46:12.067000+0000
2020,Oregon,Malheur County,41045,8187,69,3260,28,100.0,2020-12-06T01:38:58.900000+0000
2020,Oregon,Marion County,41047,79002,48,80872,49,100.0,2020-11-24T13:46:12.107000+0000
2020,Oregon,Morrow County,41049,3586,70,1371,27,100.0,2020-11-24T13:46:12.127000+0000
2020,Oregon,Multnomah County,41051,82995,18,367249,79,100.0,2020-12-06T01:40:51.143000+0000
2020,Oregon,Polk County,41053,23732,49,22917,48,100.0,2020-11-24T13:46:12.170000+0000
2020,Oregon,Sherman County,41055,921,76,260,22,100.0,2020-11-24T13:46:12.200000+0000
2020,Oregon,Tillamook County,41057,8354,50,8066,48,100.0,2020-11-24T13:46:12.267000+0000
2020,Oregon,Umatilla County,41059,21270,64,10707,32,100.0,2020-12-01T02:01:11.147000+0000
2020,Oregon,Union County,41061,10298,69,4254,29,100.0,2020-11-24T13:46:12.377000+0000
2020,Oregon,Wallowa County,41063,3404,66,1625,32,100.0,2020-12-06T01:41:03.110000+0000
2020,Oregon,Wasco County,41065,7035,50,6604,47,100.0,2020-11-24T13:46:12.410000+0000
2020,Oregon,Washington County,41067,99073,31,209940,66,100.0,2020-12-06T01:41:17.123000+0000
2020,Oregon,Wheeler County,41069,711,74,217,23,100.0,2020-11-24T13:46:12.450000+0000
2020,Oregon,Yamhill County,41071,29551,50,27174,46,100.0,2020-11-24T13:46:12.503000+0000
