electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Pennsylvania,Adams County,42001,40021,66,19623,33,99.0,2024-11-06T05:17:00.093000+0000
2024,Pennsylvania,Allegheny County,42003,279292,39,419051,59,99.0,2024-11-06T05:51:20.103000+0000
2024,Pennsylvania,Armstrong County,42005,28141,76,8480,23,95.0,2024-11-06T16:45:35.127000+0000
2024,Pennsylvania,Beaver County,42007,56502,60,36795,39,95.0,2024-11-06T06:38:10.130000+0000
2024,Pennsylvania,Bedford County,42009,23545,84,4316,15,97.0,2024-11-06T04:48:40.243000+0000
2024,Pennsylvania,Berks County,42011,115676,56,89764,43,99.0,2024-11-06T17:05:45.097000+0000
2024,Pennsylvania,Blair County,42013,45901,71,17852,28,95.0,2024-11-06T21:15:40.273000+0000
2024,Pennsylvania,Bradford County,42015,22658,74,7816,25,95.0,2024-11-06T04:45:10.177000+0000
2024,Pennsylvania,Bucks County,42017,195147,50,194635,50,95.0,2024-11-06T10:13:45.140000+0000
2024,Pennsylvania,Butler County,42019,79147,66,40046,33,99.0,2024-11-06T04:20:45.667000+0000
2024,Pennsylvania,Cambria County,42021,17950,62,10835,37,40.0,2024-11-07T00:01:10.177000+0000
2024,Pennsylvania,Cameron County,42023,2467,76,745,23,95.0,2024-11-06T18:05:40.127000+0000
2024,Pennsylvania,Carbon County,42025,23505,67,11244,32,95.0,2024-11-06T14:15:45.117000+0000
2024,Pennsylvania,Centre County,42027,38545,48,40321,50,95.0,2024-11-06T21:55:40.100000+0000
2024,Pennsylvania,Chester County,42029,136088,42,181075,56,95.0,2024-11-06T21:20:45.100000+0000
2024,Pennsylvania,Clarion County,42031,14972,76,4529,23,98.0,2024-11-06T04:10:50.360000+0000
2024,Pennsylvania,Clearfield County,42033,30363,75,9565,24,95.0,2024-11-06T04:20:45.740000+0000
2024,Pennsylvania,Clinton County,42035,12908,70,5366,29,95.0,2024-11-06T02:55:55.977000+0000
2024,Pennsylvania,Columbia County,42037,20800,65,10783,34,95.0,2024-11-06T06:35:40.273000+0000
2024,Pennsylvania,Crawford County,42039,29462,69,12645,30,95.0,2024-11-06T20:25:40.073000+0000
2024,Pennsylvania,Cumberland County,42041,79784,54,65506,45,95.0,2024-11-06T04:10:50.563000+0000
2024,Pennsylvania,Dauphin County,42043,68706,47,76899,52,95.0,2024-11-06T06:35:40.357000+0000
2024,Pennsylvania,Delaware County,42045,122026,38,197404,61,95.0,2024-11-06T20:28:45.090000+0000
2024,Pennsylvania,Elk County,42047,12506,73,4464,26,95.0,2024-11-06T04:55:45.680000+0000
2024,Pennsylvania,Erie County,42049,67399,50,65464,49,98.0,2024-11-06T05:36:55.097000+0000
2024,Pennsylvania,Fayette County,42051,43076,69,19238,31,99.0,2024-11-06T05:11:25.097000+0000
2024,Pennsylvania,Forest County,42053,1897,72,719,27,93.0,2024-11-06T03:40:25.477000+0000
2024,Pennsylvania,Franklin County,42055,59339,71,23262,28,95.0,2024-11-06T21:15:40.293000+0000
2024,Pennsylvania,Fulton County,42057,6984,86,1082,13,99.0,2024-11-06T04:40:40.260000+0000
2024,Pennsylvania,Greene County,42059,12258,72,4554,27,99.0,2024-11-06T03:15:50.990000+0000
2024,Pennsylvania,Huntingdon County,42061,17561,76,5332,23,97.0,2024-11-06T04:09:45.140000+0000
2024,Pennsylvania,Indiana County,42063,29112,69,12610,30,95.0,2024-11-06T18:20:35.120000+0000
