electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,South Carolina,Abbeville County,45001,8215,66,4101,33,100.0,2020-11-24T13:48:45.270000+0000
2020,South Carolina,Aiken County,45003,51589,61,32275,38,100.0,2020-11-24T13:48:45.640000+0000
2020,South Carolina,Allendale County,45005,835,23,2718,76,100.0,2020-11-24T13:48:45.893000+0000
2020,South Carolina,Anderson County,45007,67565,70,27169,28,100.0,2020-11-24T13:48:46.317000+0000
2020,South Carolina,Bamberg County,45009,2417,37,4010,62,100.0,2020-11-24T13:48:46.477000+0000
2020,South Carolina,Barnwell County,45011,5492,53,4720,46,100.0,2020-11-24T13:48:46.793000+0000
2020,South Carolina,Beaufort County,45013,53194,54,43419,44,100.0,2020-11-24T13:48:47.090000+0000
2020,South Carolina,Berkeley County,45015,57397,55,45223,43,100.0,2020-11-24T13:48:47.407000+0000
2020,South Carolina,Calhoun County,45017,4305,52,3905,47,100.0,2020-11-24T13:48:47.660000+0000
2020,South Carolina,Charleston County,45019,93297,43,121485,56,100.0,2020-11-24T13:48:47.907000+0000
2020,South Carolina,Cherokee County,45021,18043,71,6983,28,100.0,2020-11-24T13:48:48.047000+0000
2020,South Carolina,Chester County,45023,8660,55,6941,44,100.0,2020-11-24T13:48:48.430000+0000
2020,South Carolina,Chesterfield County,45025,11297,60,7431,39,100.0,2020-11-24T13:48:48.603000+0000
2020,South Carolina,Clarendon County,45027,8361,50,8250,49,100.0,2020-11-24T13:48:48.943000+0000
2020,South Carolina,Colleton County,45029,10440,54,8602,45,100.0,2020-11-24T13:48:49.270000+0000
2020,South Carolina,Darlington County,45031,16832,52,15220,47,100.0,2020-11-24T13:48:49.610000+0000
2020,South Carolina,Dillon County,45033,6582,50,6436,49,100.0,2020-11-24T13:48:49.877000+0000
2020,South Carolina,Dorchester County,45035,41913,54,33824,44,100.0,2020-11-24T13:48:50.190000+0000
2020,South Carolina,Edgefield County,45037,8184,62,4953,37,100.0,2020-11-24T13:48:50.290000+0000
2020,South Carolina,Fairfield County,45039,4625,38,7382,61,100.0,2020-11-24T13:48:50.490000+0000
2020,South Carolina,Florence County,45041,32615,51,31153,48,100.0,2020-11-24T13:48:50.710000+0000
2020,South Carolina,Georgetown County,45043,20487,56,15822,43,100.0,2020-11-24T13:48:50.920000+0000
2020,South Carolina,Greenville County,45045,150021,58,103030,40,100.0,2020-11-24T13:48:51.100000+0000
2020,South Carolina,Greenwood County,45047,19431,61,12145,38,100.0,2020-11-24T13:48:51.500000+0000
2020,South Carolina,Hampton County,45049,3906,42,5323,57,100.0,2020-11-24T13:48:51.813000+0000
2020,South Carolina,Horry County,45051,118821,66,59180,33,100.0,2020-11-24T13:48:52.007000+0000
2020,South Carolina,Jasper County,45053,7078,49,7185,50,100.0,2020-11-24T13:48:52.220000+0000
2020,South Carolina,Kershaw County,45055,20471,61,12699,38,100.0,2020-11-24T13:48:52.473000+0000
2020,South Carolina,Lancaster County,45057,30312,61,18937,38,100.0,2020-11-24T13:48:52.677000+0000
2020,South Carolina,Laurens County,45059,20004,66,10159,33,100.0,2020-11-24T13:48:52.810000+0000
2020,South Carolina,Lee County,45061,3008,36,5329,63,100.0,2020-11-24T13:48:52.843000+0000
2020,South Carolina,Lexington County,45063,92817,64,49301,34,100.0,2020-11-24T13:48:52.880000+0000
2020,South Carolina,McCormick County,45065,2958,52,2687,47,100.0,2020-11-24T13:48:52.917000+0000
2020,South Carolina,Marion County,45067,5711,39,8872,60,100.0,2020-11-24T13:48:52.933000+0000
2020,South Carolina,Marlboro County,45069,5044,44,6290,55,100.0,2020-11-24T13:48:50.080000+0000
2020,South Carolina,Newberry County,45071,11443,61,6958,37,100.0,2020-11-24T13:48:50.277000+0000
2020,South Carolina,Oconee County,45073,29698,73,10414,26,100.0,2020-11-24T13:48:50.480000+0000
2020,South Carolina,Orangeburg County,45075,13603,33,27295,66,100.0,2020-11-24T13:48:52.783000+0000
2020,South Carolina,Pickens County,45077,42907,75,13645,24,100.0,2020-11-24T13:48:41.283000+0000
2020,South Carolina,Richland County,45079,58313,30,132570,68,100.0,2020-11-24T13:48:41.397000+0000
2020,South Carolina,Saluda County,45081,6210,67,2963,32,100.0,2020-11-24T13:48:41.687000+0000
2020,South Carolina,Spartanburg County,45083,93560,63,52926,36,100.0,2020-11-24T13:48:41.937000+0000
2020,South Carolina,Sumter County,45085,21000,43,27379,56,100.0,2020-11-24T13:48:42.270000+0000
2020,South Carolina,Union County,45087,8183,62,4935,37,100.0,2020-11-24T13:48:42.487000+0000
2020,South Carolina,Williamsburg County,45089,5532,35,10289,64,100.0,2020-11-24T13:48:42.553000+0000
2020,South Carolina,York County,45091,82727,57,59008,41,100.0,2020-11-24T13:48:43.093000+0000
