electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,South Dakota,Aurora County,46003,1056,76,302,22,95.0,2024-11-06T04:05:45.763000+0000
2024,South Dakota,Beadle County,46005,4826,69,2017,29,95.0,2024-11-06T08:00:40.210000+0000
2024,South Dakota,Bennett County,46007,676,62,389,36,93.0,2024-11-06T07:16:20.117000+0000
2024,South Dakota,Bon Homme County,46009,2236,75,697,23,95.0,2024-11-06T04:41:00.220000+0000
2024,South Dakota,Brookings County,46011,12801,67,5870,31,99.0,2024-11-06T05:23:05.177000+0000
2024,South Dakota,Brown County,46013,10642,63,6075,36,95.0,2024-11-06T09:40:35.207000+0000
2024,South Dakota,Brule County,46015,1694,70,666,28,95.0,2024-11-06T03:01:30.287000+0000
2024,South Dakota,Buffalo County,46017,164,35,291,62,85.0,2024-11-06T05:05:45.213000+0000
2024,South Dakota,Butte County,46019,3980,79,935,19,95.0,2024-11-06T09:46:15.233000+0000
2024,South Dakota,Campbell County,46021,706,84,120,14,95.0,2024-11-06T04:05:45.567000+0000
2024,South Dakota,Charles Mix County,46023,2547,71,998,28,95.0,2024-11-06T05:41:20.137000+0000
2024,South Dakota,Clark County,46025,1382,75,415,23,95.0,2024-11-06T06:05:45.453000+0000
2024,South Dakota,Clay County,46027,2574,46,2943,52,95.0,2024-11-06T08:32:20.337000+0000
2024,South Dakota,Codington County,46029,9349,69,3840,28,95.0,2024-11-06T05:00:40.547000+0000
2024,South Dakota,Corson County,46031,630,55,495,43,89.0,2024-11-06T05:16:05.713000+0000
2024,South Dakota,Custer County,46033,4313,72,1567,26,95.0,2024-11-06T22:51:15.093000+0000
2024,South Dakota,Davison County,46035,6208,68,2743,30,95.0,2024-11-06T04:35:15.360000+0000
2024,South Dakota,Day County,46037,1876,64,1000,34,95.0,2024-11-06T05:45:40.353000+0000
2024,South Dakota,Deuel County,46039,1717,75,528,23,95.0,2024-11-06T04:36:35.987000+0000
2024,South Dakota,Dewey County,46041,793,42,1032,55,95.0,2024-11-06T06:41:20.167000+0000
