electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Tennessee,Anderson County,47001,24537,67,11510,32,95.0,2024-11-06T05:08:15.103000+0000
2024,Tennessee,Bedford County,47003,15752,79,4119,21,95.0,2024-11-06T02:40:30.203000+0000
2024,Tennessee,Benton County,47005,5880,81,1315,18,95.0,2024-11-06T02:59:15.210000+0000
2024,Tennessee,Bledsoe County,47007,5254,85,891,14,95.0,2024-11-06T02:27:20.193000+0000
2024,Tennessee,Blount County,47009,50646,73,17642,26,99.0,2024-11-06T02:39:30.300000+0000
2024,Tennessee,Bradley County,47011,38818,79,9852,20,95.0,2024-11-06T04:21:20.313000+0000
2024,Tennessee,Campbell County,47013,13111,85,2305,15,95.0,2024-11-06T02:58:15.180000+0000
2024,Tennessee,Cannon County,47015,5682,83,1132,17,95.0,2024-11-06T01:39:35.213000+0000
2024,Tennessee,Carroll County,47017,9535,80,2232,19,95.0,2024-11-06T03:04:15.403000+0000
2024,Tennessee,Carter County,47019,23083,81,5355,19,99.0,2024-11-06T03:07:00.197000+0000
2024,Tennessee,Cheatham County,47021,14977,72,5459,26,99.0,2024-11-06T02:55:20.203000+0000
2024,Tennessee,Chester County,47023,6203,82,1285,17,98.0,2024-11-06T02:19:25.160000+0000
2024,Tennessee,Claiborne County,47025,11462,85,1971,15,99.0,2024-11-06T02:50:25.290000+0000
2024,Tennessee,Clay County,47027,3113,83,614,16,95.0,2024-11-06T02:27:15.150000+0000
2024,Tennessee,Cocke County,47029,13068,84,2414,15,95.0,2024-11-06T02:09:25.160000+0000
2024,Tennessee,Coffee County,47031,19165,77,5437,22,95.0,2024-11-06T02:35:15.523000+0000
2024,Tennessee,Crockett County,47033,4673,79,1196,20,95.0,2024-11-06T02:42:25.217000+0000
2024,Tennessee,Cumberland County,47035,27393,79,6995,20,99.0,2024-11-06T02:42:05.450000+0000
2024,Tennessee,Davidson County,47037,101899,35,181364,62,93.0,2024-11-06T04:23:05.353000+0000
2024,Tennessee,Decatur County,47039,4596,84,819,15,95.0,2024-11-06T02:00:35.340000+0000
2024,Tennessee,DeKalb County,47041,7599,81,1706,18,95.0,2024-11-06T03:08:20.157000+0000
2024,Tennessee,Dickson County,47043,18997,75,5912,23,99.0,2024-11-06T03:09:30.087000+0000
2024,Tennessee,Dyer County,47045,11600,81,2704,19,94.0,2024-11-06T02:50:25.180000+0000
2024,Tennessee,Fayette County,47047,16741,71,6716,28,95.0,2024-11-06T02:47:45.237000+0000
2024,Tennessee,Fentress County,47049,8543,88,1147,12,95.0,2024-11-06T02:06:30.393000+0000
2024,Tennessee,Franklin County,47051,15003,76,4524,23,95.0,2024-11-06T02:57:20.363000+0000
2024,Tennessee,Gibson County,47053,16346,75,5100,24,96.0,2024-11-06T02:38:20.143000+0000
2024,Tennessee,Giles County,47055,10394,77,2974,22,95.0,2024-11-06T02:48:30.237000+0000
2024,Tennessee,Grainger County,47057,9624,87,1432,13,95.0,2024-11-06T02:49:30.277000+0000
2024,Tennessee,Greene County,47059,25524,82,5140,17,99.0,2024-11-06T02:46:25.120000+0000
2024,Tennessee,Grundy County,47061,5323,84,948,15,95.0,2024-11-06T02:26:20.360000+0000
2024,Tennessee,Hamblen County,47063,20130,79,5127,20,95.0,2024-11-06T02:30:25.237000+0000
2024,Tennessee,Hamilton County,47065,97051,55,74349,42,95.0,2024-11-06T04:42:55.120000+0000
2024,Tennessee,Hancock County,47067,2558,88,334,12,95.0,2024-11-06T02:06:30.173000+0000
2024,Tennessee,Hardeman County,47069,5792,62,3526,38,92.0,2024-11-06T02:36:20.163000+0000
2024,Tennessee,Hardin County,47071,10283,85,1703,14,95.0,2024-11-06T04:17:25.257000+0000
2024,Tennessee,Hawkins County,47073,22044,84,3986,15,95.0,2024-11-06T02:45:25.240000+0000
2024,Tennessee,Haywood County,47075,3285,49,3310,50,88.0,2024-11-06T02:21:30.160000+0000
2024,Tennessee,Henderson County,47077,10081,84,1902,16,95.0,2024-11-06T02:58:15.290000+0000
2024,Tennessee,Henry County,47079,11625,77,3285,22,95.0,2024-11-06T03:35:30.230000+0000
2024,Tennessee,Hickman County,47081,8265,80,1968,19,95.0,2024-11-06T05:04:15.133000+0000
2024,Tennessee,Houston County,47083,2986,78,773,20,95.0,2024-11-06T01:58:30.293000+0000
2024,Tennessee,Humphreys County,47085,6387,77,1765,21,95.0,2024-11-06T03:56:25.870000+0000
2024,Tennessee,Jackson County,47087,4577,81,1038,18,95.0,2024-11-06T02:15:25.280000+0000
2024,Tennessee,Jefferson County,47089,21041,82,4499,17,95.0,2024-11-06T02:26:20.327000+0000
2024,Tennessee,Johnson County,47091,6822,84,1211,15,95.0,2024-11-06T02:22:25.510000+0000
2024,Tennessee,Knox County,47093,130134,59,87287,40,95.0,2024-11-06T04:14:15.140000+0000
2024,Tennessee,Lake County,47095,1491,77,429,22,94.0,2024-11-06T02:01:30.243000+0000
2024,Tennessee,Lauderdale County,47097,5633,68,2571,31,91.0,2024-11-06T02:18:25.300000+0000
2024,Tennessee,Lawrence County,47099,16428,84,2939,15,99.0,2024-11-06T02:51:35.150000+0000
2024,Tennessee,Lewis County,47101,4835,82,990,17,95.0,2024-11-06T02:35:15.643000+0000
2024,Tennessee,Lincoln County,47103,13190,82,2779,17,95.0,2024-11-06T02:41:20.247000+0000
2024,Tennessee,Loudon County,47105,25209,76,7623,23,95.0,2024-11-06T02:47:15.117000+0000
2024,Tennessee,McMinn County,47107,19649,82,4202,18,95.0,2024-11-06T03:22:25.197000+0000
2024,Tennessee,McNairy County,47109,9433,84,1726,15,95.0,2024-11-06T02:29:25.197000+0000
2024,Tennessee,Macon County,47111,8958,87,1277,12,99.0,2024-11-06T02:30:05.283000+0000
2024,Tennessee,Madison County,47113,23385,58,16114,40,92.0,2024-11-06T02:52:55.230000+0000
2024,Tennessee,Marion County,47115,10770,77,3022,22,95.0,2024-11-06T03:20:20.150000+0000
2024,Tennessee,Marshall County,47117,12414,78,3389,21,95.0,2024-11-06T02:30:25.530000+0000
2024,Tennessee,Maury County,47119,37348,71,14135,27,99.0,2024-11-06T02:54:05.277000+0000
2024,Tennessee,Meigs County,47121,5082,83,968,16,95.0,2024-11-06T02:18:25.410000+0000
2024,Tennessee,Monroe County,47123,18508,83,3606,16,99.0,2024-11-06T02:47:15.183000+0000
2024,Tennessee,Montgomery County,47125,47785,58,32723,40,95.0,2024-11-06T05:34:15.183000+0000
2024,Tennessee,Moore County,47127,3060,84,542,15,95.0,2024-11-06T02:02:30.177000+0000
2024,Tennessee,Morgan County,47129,7407,87,1052,12,95.0,2024-11-06T03:25:25.200000+0000
2024,Tennessee,Obion County,47131,10595,82,2221,17,94.0,2024-11-06T02:27:15.227000+0000
2024,Tennessee,Overton County,47133,9035,82,1929,17,95.0,2024-11-06T02:41:20.553000+0000
2024,Tennessee,Perry County,47135,3139,85,558,15,95.0,2024-11-06T02:04:20.430000+0000
2024,Tennessee,Pickett County,47137,2437,83,485,17,95.0,2024-11-06T02:01:30.343000+0000
2024,Tennessee,Polk County,47139,7302,84,1356,16,95.0,2024-11-06T02:21:30.323000+0000
2024,Tennessee,Putnam County,47141,25530,73,8985,26,99.0,2024-11-06T02:52:55.183000+0000
2024,Tennessee,Rhea County,47143,11958,83,2308,16,99.0,2024-11-06T02:35:15.563000+0000
2024,Tennessee,Roane County,47145,20996,76,6071,22,99.0,2024-11-06T03:05:05.193000+0000
2024,Tennessee,Robertson County,47147,26260,75,8428,24,95.0,2024-11-06T02:44:15.203000+0000
2024,Tennessee,Rutherford County,47149,88748,60,56600,38,95.0,2024-11-06T03:07:25.177000+0000
2024,Tennessee,Scott County,47151,8608,90,942,10,95.0,2024-11-06T02:15:25.110000+0000
2024,Tennessee,Sequatchie County,47153,6511,79,1291,16,95.0,2024-11-06T02:03:25.257000+0000
2024,Tennessee,Sevier County,47155,35189,80,8316,19,99.0,2024-11-06T02:28:00.170000+0000
2024,Tennessee,Shelby County,47157,118847,36,201634,62,84.0,2024-11-06T12:40:15.183000+0000
2024,Tennessee,Smith County,47159,7645,82,1594,17,95.0,2024-11-06T02:23:25.303000+0000
2024,Tennessee,Stewart County,47161,5378,81,1160,18,95.0,2024-11-06T04:31:25.160000+0000
2024,Tennessee,Sullivan County,47163,58081,77,16608,22,95.0,2024-11-06T03:49:10.130000+0000
2024,Tennessee,Sumner County,47165,68758,70,27899,28,95.0,2024-11-06T05:07:40.133000+0000
2024,Tennessee,Tipton County,47167,20302,76,6176,23,95.0,2024-11-06T04:51:15.413000+0000
2024,Tennessee,Trousdale County,47169,3358,79,856,20,95.0,2024-11-06T03:38:25.200000+0000
2024,Tennessee,Unicoi County,47171,6868,81,1575,19,95.0,2024-11-06T01:59:15.297000+0000
2024,Tennessee,Union County,47173,7380,85,1216,14,95.0,2024-11-06T03:22:25.177000+0000
2024,Tennessee,Van Buren County,47175,2712,83,524,16,95.0,2024-11-06T02:20:20.223000+0000
2024,Tennessee,Warren County,47177,13185,78,3646,21,95.0,2024-11-06T03:57:20.140000+0000
2024,Tennessee,Washington County,47179,42242,69,18099,30,95.0,2024-11-06T03:03:20.137000+0000
2024,Tennessee,Wayne County,47181,6016,88,762,11,95.0,2024-11-06T02:09:25.183000+0000
2024,Tennessee,Weakley County,47183,10528,79,2719,20,95.0,2024-11-06T02:18:25.453000+0000
2024,Tennessee,White County,47185,10698,83,2102,16,95.0,2024-11-06T02:30:25.563000+0000
2024,Tennessee,Williamson County,47187,93997,65,47103,33,95.0,2024-11-06T03:17:20.230000+0000
2024,Tennessee,Wilson County,47189,56338,70,23804,29,95.0,2024-11-06T02:45:25.190000+0000
