electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Texas,Anderson County,48001,15110,79,3955,21,100.0,2020-11-28T14:39:11.613000+0000
2020,Texas,Andrews County,48003,4943,84,850,15,100.0,2020-11-27T13:44:05.337000+0000
2020,Texas,Angelina County,48005,25076,73,9143,26,100.0,2020-12-17T18:16:56.747000+0000
2020,Texas,Aransas County,48007,9239,75,2916,24,100.0,2020-11-29T04:27:44.510000+0000
2020,Texas,Archer County,48009,4300,90,446,9,100.0,2020-11-28T14:55:37.990000+0000
2020,Texas,Armstrong County,48011,1035,93,75,7,100.0,2020-12-17T18:16:54.297000+0000
2020,Texas,Atascosa County,48013,12039,66,5876,32,100.0,2020-12-17T18:16:54.330000+0000
2020,Texas,Austin County,48015,11447,79,2951,20,100.0,2020-12-17T18:16:54.400000+0000
2020,Texas,Bailey County,48017,1434,77,409,22,100.0,2020-11-29T04:13:00.163000+0000
2020,Texas,Bandera County,48019,10057,79,2505,20,100.0,2020-11-29T04:16:04.833000+0000
2020,Texas,Bastrop County,48021,20516,56,15474,42,100.0,2020-12-17T18:16:54.457000+0000
2020,Texas,Baylor County,48023,1494,88,183,11,100.0,2020-11-28T14:55:45.977000+0000
2020,Texas,Bee County,48025,6006,64,3288,35,100.0,2020-12-17T18:16:54.563000+0000
2020,Texas,Bell County,48027,67893,53,57014,45,100.0,2020-12-17T18:16:54.723000+0000
2020,Texas,Bexar County,48029,308618,40,448452,58,100.0,2020-12-17T18:16:54.800000+0000
2020,Texas,Blanco County,48031,5443,73,1911,26,100.0,2020-11-29T04:16:48.960000+0000
2020,Texas,Borden County,48033,397,95,16,4,100.0,2020-11-29T04:13:10.247000+0000
2020,Texas,Bosque County,48035,7469,82,1561,17,100.0,2020-12-17T18:16:54.960000+0000
2020,Texas,Bowie County,48037,27116,71,10747,28,100.0,2020-11-28T14:28:18.483000+0000
2020,Texas,Brazoria County,48039,90433,58,62228,40,100.0,2020-12-17T18:16:55.040000+0000
2020,Texas,Brazos County,48041,47530,56,35349,42,100.0,2020-12-17T18:16:55.133000+0000
2020,Texas,Brewster County,48043,2461,51,2258,47,100.0,2020-12-17T18:16:56.830000+0000
2020,Texas,Briscoe County,48045,639,88,78,11,100.0,2020-11-28T14:55:49.993000+0000
2020,Texas,Brooks County,48047,998,40,1470,59,100.0,2020-11-29T04:07:33.467000+0000
2020,Texas,Brown County,48049,13698,86,2107,13,100.0,2020-11-28T14:48:58.983000+0000
2020,Texas,Burleson County,48051,6743,78,1788,21,100.0,2020-11-29T04:08:23.607000+0000
2020,Texas,Burnet County,48053,18767,76,5639,23,100.0,2020-11-29T04:26:46.330000+0000
2020,Texas,Caldwell County,48055,8031,54,6672,45,100.0,2020-12-17T18:16:56.890000+0000
2020,Texas,Calhoun County,48057,5641,72,2148,27,100.0,2020-11-29T04:27:52.577000+0000
2020,Texas,Callahan County,48059,6012,88,734,11,100.0,2020-11-28T14:49:03.003000+0000
2020,Texas,Cameron County,48061,49032,43,64063,56,100.0,2020-12-17T18:16:56.990000+0000
2020,Texas,Camp County,48063,3626,72,1394,28,100.0,2020-12-17T18:16:57.077000+0000
2020,Texas,Carson County,48065,2779,89,297,10,100.0,2020-12-17T18:16:57.133000+0000
2020,Texas,Cass County,48067,11033,79,2795,20,100.0,2020-11-28T14:29:20.653000+0000
2020,Texas,Castro County,48069,1602,77,466,22,100.0,2020-11-29T04:13:14.260000+0000
2020,Texas,Chambers County,48071,17353,80,3997,19,100.0,2020-12-17T18:16:55.197000+0000
2020,Texas,Cherokee County,48073,15101,77,4210,22,100.0,2020-11-28T14:39:15.657000+0000
2020,Texas,Childress County,48075,1943,85,310,14,100.0,2020-11-28T14:55:58.057000+0000
2020,Texas,Clay County,48077,5069,88,614,11,100.0,2020-12-17T18:16:55.260000+0000
2020,Texas,Cochran County,48079,809,81,177,18,100.0,2020-11-29T04:13:18.257000+0000
2020,Texas,Coke County,48081,1586,89,178,10,100.0,2020-11-27T14:19:14.253000+0000
2020,Texas,Coleman County,48083,3641,88,451,11,100.0,2020-11-28T14:49:09.073000+0000
2020,Texas,Collin County,48085,252318,51,230945,47,100.0,2020-12-17T18:16:57.207000+0000
2020,Texas,Collingsworth County,48087,1048,86,155,13,100.0,2020-11-28T14:56:06.113000+0000
2020,Texas,Colorado County,48089,7472,75,2420,24,100.0,2020-12-17T18:16:57.313000+0000
2020,Texas,Comal County,48091,62740,71,24826,28,100.0,2020-12-17T18:16:57.373000+0000
2020,Texas,Comanche County,48093,5177,85,853,14,100.0,2020-11-28T14:49:13.037000+0000
2020,Texas,Concho County,48095,1058,83,197,16,100.0,2020-11-28T14:49:19.123000+0000
2020,Texas,Cooke County,48097,15596,82,3210,17,100.0,2020-11-28T14:56:10.130000+0000
2020,Texas,Coryell County,48099,15438,66,7565,32,100.0,2020-12-17T18:16:57.460000+0000
2020,Texas,Cottle County,48101,540,82,113,17,100.0,2020-11-28T14:56:14.127000+0000
2020,Texas,Crane County,48103,1247,83,241,16,100.0,2020-11-29T04:23:51.717000+0000
2020,Texas,Crockett County,48105,1220,78,344,22,100.0,2020-11-29T04:23:55.730000+0000
2020,Texas,Crosby County,48107,1396,72,527,27,100.0,2020-11-29T04:13:22.300000+0000
2020,Texas,Culberson County,48109,415,48,438,51,100.0,2020-11-29T04:24:01.697000+0000
2020,Texas,Dallam County,48111,1389,86,197,12,100.0,2020-11-28T14:56:20.210000+0000
2020,Texas,Dallas County,48113,307076,33,598576,65,100.0,2020-12-17T18:16:57.527000+0000
2020,Texas,Dawson County,48115,2951,78,808,21,100.0,2020-11-28T14:49:23.093000+0000
2020,Texas,Deaf Smith County,48117,3294,72,1264,27,100.0,2020-11-28T14:56:24.203000+0000
2020,Texas,Delta County,48119,2162,83,403,16,100.0,2020-11-28T14:38:37.560000+0000
2020,Texas,Denton County,48121,222480,53,188695,45,100.0,2020-11-24T14:05:22.610000+0000
2020,Texas,DeWitt County,48123,6567,81,1494,18,100.0,2020-11-29T04:32:33.360000+0000
2020,Texas,Dickens County,48125,853,86,130,13,100.0,2020-11-28T14:56:28.223000+0000
2020,Texas,Dimmit County,48127,1384,38,2264,62,100.0,2020-11-29T04:24:03.730000+0000
2020,Texas,Donley County,48129,1438,87,198,12,100.0,2020-11-28T14:56:34.253000+0000
2020,Texas,Duval County,48131,2443,48,2575,51,100.0,2020-11-29T04:07:39.477000+0000
2020,Texas,Eastland County,48133,7237,87,983,12,100.0,2020-12-17T18:16:57.670000+0000
2020,Texas,Ector County,48135,32697,73,11367,26,100.0,2020-11-28T14:49:33.160000+0000
2020,Texas,Edwards County,48137,893,84,168,16,100.0,2020-12-17T18:16:55.337000+0000
2020,Texas,Ellis County,48139,56717,66,27565,32,100.0,2020-12-17T18:16:57.713000+0000
2020,Texas,El Paso County,48141,84331,32,178126,67,100.0,2020-12-17T18:16:57.810000+0000
2020,Texas,Erath County,48143,13684,81,2916,17,100.0,2020-11-29T04:26:50.350000+0000
2020,Texas,Falls County,48145,4177,68,1899,31,100.0,2020-11-29T04:08:27.670000+0000
