electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Utah,Beaver County,49001,2590,86,371,12,93.0,2024-11-06T05:15:26.290000+0000
2024,Utah,Box Elder County,49003,18161,79,4221,18,82.0,2024-11-06T22:04:50.153000+0000
2024,Utah,Cache County,49005,28466,66,13462,31,72.0,2024-11-06T23:20:10.100000+0000
2024,Utah,Carbon County,49007,6217,71,2363,27,90.0,2024-11-06T06:20:15.220000+0000
2024,Utah,Daggett County,49009,414,80,98,19,80.0,2024-11-06T05:37:30.220000+0000
2024,Utah,Davis County,49011,73562,60,44395,36,70.0,2024-11-06T05:59:20.323000+0000
2024,Utah,Duchesne County,49013,6250,88,777,11,80.0,2024-11-06T23:13:30.130000+0000
2024,Utah,Emery County,49015,4226,87,594,12,95.0,2024-11-06T20:27:30.137000+0000
2024,Utah,Garfield County,49017,2182,79,527,19,95.0,2024-11-06T05:15:25.417000+0000
2024,Utah,Grand County,49019,2298,44,2794,53,95.0,2024-11-06T08:10:10.180000+0000
2024,Utah,Iron County,49021,18355,78,4853,21,91.0,2024-11-06T05:45:30.187000+0000
2024,Utah,Juab County,49023,5351,87,696,11,99.0,2024-11-06T05:39:00.093000+0000
2024,Utah,Kane County,49025,3194,73,1104,25,95.0,2024-11-06T22:53:10.133000+0000
2024,Utah,Millard County,49027,3623,87,462,11,65.0,2024-11-06T05:15:25.380000+0000
2024,Utah,Morgan County,49029,5064,79,1191,19,95.0,2024-11-06T07:27:55.127000+0000
2024,Utah,Piute County,49031,851,89,94,10,95.0,2024-11-06T05:15:25.967000+0000
2024,Utah,Rich County,49033,1180,84,203,15,95.0,2024-11-06T05:16:05.640000+0000
2024,Utah,Salt Lake County,49035,162129,43,202712,54,66.0,2024-11-07T02:40:20.067000+0000
2024,Utah,San Juan County,49037,3229,57,2313,41,79.0,2024-11-06T23:20:15.193000+0000
2024,Utah,Sanpete County,49039,6159,82,1191,16,57.0,2024-11-06T23:00:10.143000+0000
2024,Utah,Sevier County,49041,7778,88,997,11,82.0,2024-11-06T07:53:15.120000+0000
2024,Utah,Summit County,49043,4983,39,7733,60,47.0,2024-11-06T22:45:10.150000+0000
2024,Utah,Tooele County,49045,20423,68,8696,29,91.0,2024-11-07T01:03:25.127000+0000
2024,Utah,Uintah County,49047,12839,86,1815,12,94.0,2024-11-06T07:27:55.107000+0000
2024,Utah,Utah County,49049,150675,75,46519,23,68.0,2024-11-06T05:37:15.120000+0000
2024,Utah,Wasatch County,49051,6553,61,3919,37,58.0,2024-11-06T06:20:15.393000+0000
2024,Utah,Washington County,49053,53081,75,16837,24,75.0,2024-11-07T00:00:15.130000+0000
2024,Utah,Wayne County,49055,1204,75,372,23,95.0,2024-11-06T05:37:30.093000+0000
2024,Utah,Weber County,49057,42515,58,28556,39,63.0,2024-11-06T05:24:20.123000+0000
