electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Virginia,Accomack County,51001,9172,54,7578,45,100.0,2020-12-05T22:36:28.773000+0000
2020,Virginia,Albemarle County,51003,20804,32,42466,66,100.0,2020-11-24T13:58:29.467000+0000
2020,Virginia,Alleghany County,51005,5859,71,2243,27,100.0,2020-11-24T13:47:39.970000+0000
2020,Virginia,Amelia County,51007,5390,68,2411,31,100.0,2020-11-24T13:56:31.427000+0000
2020,Virginia,Amherst County,51009,11041,65,5672,33,100.0,2020-11-24T13:56:32.870000+0000
2020,Virginia,Appomattox County,51011,6702,72,2418,26,100.0,2020-11-24T13:56:34.077000+0000
2020,Virginia,Arlington County,51013,22318,17,105344,81,100.0,2020-11-24T13:56:35.643000+0000
2020,Virginia,Augusta County,51015,30714,73,10840,26,100.0,2020-11-24T13:58:35.943000+0000
2020,Virginia,Bath County,51017,1834,73,646,26,100.0,2020-11-24T13:58:36.657000+0000
2020,Virginia,Bedford County,51019,35600,73,12176,25,100.0,2020-11-24T13:58:37.440000+0000
2020,Virginia,Bland County,51021,2903,83,532,15,100.0,2020-11-24T13:58:38.210000+0000
2020,Virginia,Botetourt County,51023,15099,72,5700,27,100.0,2020-11-24T13:59:33.623000+0000
2020,Virginia,Brunswick County,51025,3357,42,4552,57,100.0,2020-11-24T13:58:39.227000+0000
2020,Virginia,Buchanan County,51027,8311,84,1587,16,100.0,2020-11-24T13:58:39.780000+0000
2020,Virginia,Buckingham County,51029,4544,56,3471,43,100.0,2020-11-24T13:58:40.490000+0000
2020,Virginia,Campbell County,51031,21245,71,8070,27,100.0,2020-11-24T13:59:33.830000+0000
2020,Virginia,Caroline County,51033,8336,51,7657,47,100.0,2020-11-24T13:59:16.063000+0000
2020,Virginia,Carroll County,51035,12659,81,2842,18,100.0,2020-11-24T13:59:34.210000+0000
2020,Virginia,Charles City County,51036,1761,40,2624,59,100.0,2020-11-24T13:59:34.720000+0000
2020,Virginia,Charlotte County,51037,3815,62,2317,37,100.0,2020-11-24T13:59:41.540000+0000
2020,Virginia,Chesterfield County,51041,93326,46,106935,52,100.0,2020-11-24T13:59:41.643000+0000
2020,Virginia,Clarke County,51043,5192,56,3920,42,100.0,2020-11-24T13:59:41.703000+0000
2020,Virginia,Craig County,51045,2536,80,587,19,100.0,2020-11-24T13:59:41.777000+0000
2020,Virginia,Culpeper County,51047,16012,59,10617,39,100.0,2020-11-24T13:59:41.883000+0000
2020,Virginia,Cumberland County,51049,3019,57,2227,42,100.0,2020-11-24T13:59:41.923000+0000
2020,Virginia,Dickenson County,51051,5748,79,1503,21,100.0,2020-11-24T13:59:41.950000+0000
2020,Virginia,Dinwiddie County,51053,8695,58,6224,41,100.0,2020-11-24T13:59:42.127000+0000
2020,Virginia,Essex County,51057,3075,50,3038,49,100.0,2020-11-24T13:59:42.230000+0000
2020,Virginia,Fairfax County,51059,168401,28,419943,70,100.0,2020-11-24T13:59:42.430000+0000
2020,Virginia,Fauquier County,51061,25106,58,17565,40,100.0,2020-11-24T13:59:42.620000+0000
2020,Virginia,Floyd County,51063,6225,66,3004,32,100.0,2020-11-24T13:59:42.710000+0000
2020,Virginia,Fluvanna County,51065,8155,52,7414,47,100.0,2020-11-24T13:59:42.897000+0000
2020,Virginia,Franklin County,51067,20895,70,8381,28,100.0,2020-11-24T13:59:15.520000+0000
2020,Virginia,Frederick County,51069,30558,63,17207,35,100.0,2020-11-24T13:59:20.803000+0000
2020,Virginia,Giles County,51071,6876,75,2156,24,100.0,2020-11-24T13:59:21.097000+0000
2020,Virginia,Gloucester County,51073,14875,67,6964,31,100.0,2020-11-24T14:00:29.543000+0000
2020,Virginia,Goochland County,51075,9966,59,6685,39,100.0,2020-11-24T14:00:29.640000+0000
2020,Virginia,Grayson County,51077,6529,80,1535,19,100.0,2020-11-24T14:00:29.757000+0000
2020,Virginia,Greene County,51079,6866,61,4163,37,100.0,2020-11-24T14:00:29.817000+0000
2020,Virginia,Greensville County,51081,1914,42,2627,57,100.0,2020-11-24T14:00:29.883000+0000
2020,Virginia,Halifax County,51083,10418,57,7666,42,100.0,2020-11-24T14:00:30.007000+0000
2020,Virginia,Hanover County,51085,44318,62,25307,36,100.0,2020-11-24T14:00:30.057000+0000
2020,Virginia,Henrico County,51087,63440,35,116572,64,100.0,2020-11-24T14:00:30.220000+0000
2020,Virginia,Henry County,51089,16725,64,9127,35,100.0,2020-11-24T14:00:30.313000+0000
2020,Virginia,Highland County,51091,1092,71,417,27,100.0,2020-11-24T14:00:30.383000+0000
2020,Virginia,Isle of Wight County,51093,13707,58,9399,40,100.0,2020-11-24T14:00:30.430000+0000
2020,Virginia,James City County,51095,23153,47,25553,52,100.0,2020-11-24T14:00:30.497000+0000
2020,Virginia,King and Queen County,51097,2450,60,1590,39,100.0,2020-11-24T14:00:30.550000+0000
2020,Virginia,King George County,51099,8446,59,5404,38,100.0,2020-11-24T14:00:30.617000+0000
2020,Virginia,King William County,51101,7320,68,3260,30,100.0,2020-11-24T14:00:30.687000+0000
2020,Virginia,Lancaster County,51103,3697,52,3368,47,100.0,2020-11-24T14:00:30.810000+0000
2020,Virginia,Lee County,51105,8365,84,1489,15,100.0,2020-11-24T14:00:30.917000+0000
2020,Virginia,Loudoun County,51107,82088,37,138372,62,100.0,2020-11-24T14:00:30.967000+0000
2020,Virginia,Louisa County,51109,13294,61,8269,38,100.0,2020-11-24T14:00:31.200000+0000
2020,Virginia,Lunenburg County,51111,3537,59,2418,40,100.0,2020-11-24T14:00:31.333000+0000
2020,Virginia,Madison County,51113,5300,65,2698,33,100.0,2020-11-24T14:00:31.507000+0000
2020,Virginia,Mathews County,51115,3901,67,1825,31,100.0,2020-11-24T14:00:57.210000+0000
2020,Virginia,Mecklenburg County,51117,9266,57,6803,42,100.0,2020-11-24T14:00:57.320000+0000
2020,Virginia,Middlesex County,51119,4196,62,2491,37,100.0,2020-11-24T14:00:57.410000+0000
2020,Virginia,Montgomery County,51121,20629,46,23218,52,100.0,2020-11-24T14:00:57.543000+0000
2020,Virginia,Nelson County,51125,4812,52,4327,46,100.0,2020-11-24T14:00:57.793000+0000
2020,Virginia,New Kent County,51127,9631,67,4621,32,100.0,2020-11-24T14:00:57.940000+0000
2020,Virginia,Northampton County,51131,2955,44,3667,55,100.0,2020-11-24T14:00:58.217000+0000
2020,Virginia,Northumberland County,51133,4485,57,3252,42,100.0,2020-11-24T14:00:58.303000+0000
2020,Virginia,Nottoway County,51135,4027,57,2971,42,100.0,2020-11-24T14:00:58.350000+0000
2020,Virginia,Orange County,51137,12426,60,7995,39,100.0,2020-11-24T14:00:58.427000+0000
2020,Virginia,Page County,51139,9345,75,3007,24,100.0,2020-11-24T14:00:58.497000+0000
2020,Virginia,Patrick County,51141,7485,79,1954,21,100.0,2020-11-24T14:00:58.597000+0000
2020,Virginia,Pittsylvania County,51143,23751,69,10115,30,100.0,2020-11-24T14:00:58.717000+0000
