electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Vermont,Addison County,50001,6841,31,14879,69,98.0,2024-11-06T05:26:25.270000+0000
2024,Vermont,Bennington County,50003,7698,38,12326,62,97.0,2024-11-06T05:33:20.177000+0000
2024,Vermont,Caledonia County,50005,6927,44,8977,56,98.0,2024-11-06T06:26:15.243000+0000
2024,Vermont,Chittenden County,50007,20917,22,72589,78,94.0,2024-11-06T05:03:15.203000+0000
2024,Vermont,Essex County,50009,1890,58,1344,42,97.0,2024-11-06T04:48:15.520000+0000
2024,Vermont,Franklin County,50011,12488,48,13270,52,99.0,2024-11-06T16:53:15.100000+0000
2024,Vermont,Grand Isle County,50013,1893,39,2940,61,99.0,2024-11-06T02:01:30.517000+0000
2024,Vermont,Lamoille County,50015,4505,32,9788,68,95.0,2024-11-06T06:19:20.180000+0000
2024,Vermont,Orange County,50017,6683,40,10220,60,98.0,2024-11-06T19:25:15.107000+0000
2024,Vermont,Orleans County,50019,7232,51,7006,49,99.0,2024-11-06T05:33:20.193000+0000
2024,Vermont,Rutland County,50021,15586,47,17375,53,96.0,2024-11-06T21:30:15.203000+0000
2024,Vermont,Washington County,50023,9325,28,24527,72,95.0,2024-11-06T18:53:15.090000+0000
2024,Vermont,Windham County,50025,6925,28,17895,72,95.0,2024-11-06T06:19:20.073000+0000
2024,Vermont,Windsor County,50027,10456,32,22569,68,95.0,2024-11-06T06:11:20.343000+0000
