electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Washington,Adams County,53001,3907,67,1814,31,100.0,2020-12-08T16:05:20.180000+0000
2020,Washington,Asotin County,53003,7319,61,4250,36,100.0,2020-12-08T16:05:26.167000+0000
2020,Washington,Benton County,53005,60365,59,38706,38,100.0,2020-12-08T16:05:36.210000+0000
2020,Washington,Chelan County,53007,22746,53,19349,45,100.0,2020-12-08T16:05:42.287000+0000
2020,Washington,Clallam County,53009,23062,47,24721,50,100.0,2020-12-08T16:05:52.260000+0000
2020,Washington,Clark County,53011,126303,46,140324,51,100.0,2020-12-08T16:05:58.280000+0000
2020,Washington,Columbia County,53013,1754,70,668,27,100.0,2020-12-08T16:06:08.290000+0000
2020,Washington,Cowlitz County,53015,34424,57,23938,40,100.0,2020-12-08T16:06:16.343000+0000
2020,Washington,Douglas County,53017,12955,61,7811,37,100.0,2020-12-08T16:06:26.347000+0000
2020,Washington,Ferry County,53019,2771,64,1486,34,100.0,2020-12-08T16:06:30.330000+0000
2020,Washington,Franklin County,53021,18039,56,13340,41,100.0,2020-12-08T16:06:40.377000+0000
2020,Washington,Garfield County,53023,1069,72,366,25,100.0,2020-12-08T16:06:46.427000+0000
2020,Washington,Grant County,53025,24764,66,11819,31,100.0,2020-12-08T16:06:56.423000+0000
2020,Washington,Grays Harbor County,53027,19877,52,17354,45,100.0,2020-12-08T16:07:02.427000+0000
2020,Washington,Island County,53029,22746,42,29213,54,100.0,2020-12-08T16:07:16.500000+0000
2020,Washington,Jefferson County,53031,6931,28,17204,69,100.0,2020-12-08T16:07:22.500000+0000
2020,Washington,King County,53033,269167,22,907310,75,100.0,2020-12-08T16:07:34.570000+0000
2020,Washington,Kitsap County,53035,61563,39,90277,57,100.0,2020-12-08T16:07:40.590000+0000
2020,Washington,Kittitas County,53037,14105,54,11421,43,100.0,2020-12-08T16:07:48.583000+0000
2020,Washington,Klickitat County,53039,7237,53,5959,44,100.0,2020-12-08T16:08:00.723000+0000
2020,Washington,Lewis County,53041,29391,65,14520,32,100.0,2020-12-08T16:08:10.663000+0000
2020,Washington,Lincoln County,53043,5150,73,1713,24,100.0,2020-12-08T16:08:20.677000+0000
2020,Washington,Mason County,53045,18710,50,17269,46,100.0,2020-12-08T16:08:34.710000+0000
2020,Washington,Okanogan County,53047,11840,56,8900,42,100.0,2020-12-08T16:08:42.763000+0000
2020,Washington,Pacific County,53049,6953,49,6794,48,100.0,2020-12-08T16:08:56.827000+0000
2020,Washington,Pend Oreille County,53051,5728,67,2593,30,100.0,2020-12-08T16:09:02.843000+0000
2020,Washington,Pierce County,53053,197730,43,249506,54,100.0,2020-12-08T16:09:14.920000+0000
2020,Washington,San Juan County,53055,3057,23,9725,74,100.0,2020-12-08T16:09:24.983000+0000
2020,Washington,Skagit County,53057,32762,45,38252,52,100.0,2020-12-08T16:09:34.997000+0000
2020,Washington,Skamania County,53059,3885,53,3192,44,100.0,2020-12-08T16:09:41.063000+0000
2020,Washington,Snohomish County,53061,166428,38,256728,59,100.0,2020-12-08T16:09:53.130000+0000
2020,Washington,Spokane County,53063,148576,50,135765,46,100.0,2020-12-08T16:10:01.087000+0000
2020,Washington,Stevens County,53065,19808,70,7839,28,100.0,2020-12-08T16:10:11.137000+0000
2020,Washington,Thurston County,53067,65277,39,96608,58,100.0,2020-12-08T16:10:17.160000+0000
2020,Washington,Wahkiakum County,53069,1741,58,1165,39,100.0,2020-12-08T16:10:27.160000+0000
2020,Washington,Walla Walla County,53071,16400,53,13690,44,100.0,2020-12-08T16:10:35.190000+0000
2020,Washington,Whatcom County,53073,50489,36,83660,60,100.0,2020-12-08T16:10:41.270000+0000
2020,Washington,Whitman County,53075,9067,43,11184,53,100.0,2020-12-08T16:10:49.293000+0000
2020,Washington,Yakima County,53077,50555,53,43179,45,100.0,2020-12-08T16:11:01.293000+0000
