electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Wisconsin,Adams County,55001,7763,60,4445,35,95.0,2024-11-06T05:13:50.210000+0000
2024,Wisconsin,Ashland County,55003,4190,47,4612,52,95.0,2024-11-06T05:54:50.123000+0000
2024,Wisconsin,Barron County,55005,16744,62,8941,33,95.0,2024-11-06T06:07:00.097000+0000
2024,Wisconsin,Bayfield County,55007,4860,43,6107,55,95.0,2024-11-06T05:27:15.107000+0000
2024,Wisconsin,Brown County,55009,79115,53,67910,46,95.0,2024-11-06T08:48:20.090000+0000
2024,Wisconsin,Buffalo County,55011,5213,64,2765,34,95.0,2024-11-06T04:12:50.243000+0000
2024,Wisconsin,Burnett County,55013,7005,65,3676,34,95.0,2024-11-06T06:29:20.090000+0000
2024,Wisconsin,Calumet County,55015,19474,59,12922,39,95.0,2024-11-06T09:37:55.090000+0000
2024,Wisconsin,Chippewa County,55017,23414,61,14575,38,95.0,2024-11-06T05:35:30.087000+0000
2024,Wisconsin,Clark County,55019,10485,69,4509,29,95.0,2024-11-06T04:54:15.110000+0000
2024,Wisconsin,Columbia County,55021,17757,50,17142,48,95.0,2024-11-06T05:37:10.120000+0000
2024,Wisconsin,Crawford County,55023,5081,56,3850,43,95.0,2024-11-06T05:07:20.100000+0000
2024,Wisconsin,Dane County,55025,85449,23,273954,75,99.0,2024-11-06T07:47:50.110000+0000
2024,Wisconsin,Dodge County,55027,33071,66,16520,33,95.0,2024-11-06T07:59:25.113000+0000
2024,Wisconsin,Door County,55029,10098,48,10564,50,95.0,2024-11-06T04:00:55.680000+0000
2024,Wisconsin,Douglas County,55031,11729,47,13072,52,95.0,2024-11-06T06:44:20.100000+0000
2024,Wisconsin,Dunn County,55033,14727,57,10637,41,95.0,2024-11-06T09:03:05.100000+0000
