electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Wyoming,Albany County,56001,8579,46,9092,49,100.0,2020-11-24T13:52:43.023000+0000
2020,Wyoming,Big Horn County,56003,4806,84,788,14,100.0,2020-11-24T13:52:43.040000+0000
2020,Wyoming,Campbell County,56005,16975,87,1935,10,100.0,2020-11-24T13:52:43.063000+0000
2020,Wyoming,Carbon County,56007,5014,75,1427,21,100.0,2020-11-24T13:52:43.070000+0000
2020,Wyoming,Converse County,56009,5917,85,861,12,100.0,2020-11-24T13:52:43.090000+0000
2020,Wyoming,Crook County,56011,3651,89,378,9,100.0,2020-11-24T13:52:43.110000+0000
2020,Wyoming,Fremont County,56013,12007,66,5519,31,100.0,2020-11-24T13:52:43.123000+0000
2020,Wyoming,Goshen County,56015,4878,78,1203,19,100.0,2020-11-24T13:52:43.150000+0000
2020,Wyoming,Hot Springs County,56017,1999,78,482,19,100.0,2020-11-24T13:52:43.157000+0000
2020,Wyoming,Johnson County,56019,3881,79,897,18,100.0,2020-11-24T13:52:43.223000+0000
2020,Wyoming,Laramie County,56021,27891,62,15217,34,100.0,2020-11-24T13:34:32.583000+0000
2020,Wyoming,Lincoln County,56023,8643,83,1509,14,100.0,2020-11-24T13:34:32.630000+0000
2020,Wyoming,Natrona County,56025,25271,72,8530,24,100.0,2020-11-24T13:34:32.683000+0000
2020,Wyoming,Niobrara County,56027,1118,86,155,12,100.0,2020-11-24T13:34:32.707000+0000
2020,Wyoming,Park County,56029,12813,77,3410,20,100.0,2020-11-24T13:34:32.823000+0000
2020,Wyoming,Platte County,56031,3898,79,890,18,100.0,2020-11-24T13:34:32.947000+0000
2020,Wyoming,Sheridan County,56033,11843,72,4043,25,100.0,2020-11-24T13:34:32.980000+0000
2020,Wyoming,Sublette County,56035,3957,80,882,18,100.0,2020-11-24T13:34:33.033000+0000
2020,Wyoming,Sweetwater County,56037,12229,74,3823,23,100.0,2020-11-24T13:34:33.153000+0000
2020,Wyoming,Teton County,56039,4341,30,9848,67,100.0,2020-11-24T13:34:33.230000+0000
2020,Wyoming,Uinta County,56041,7496,80,1591,17,100.0,2020-11-24T13:34:33.380000+0000
2020,Wyoming,Washakie County,56043,3245,81,651,16,100.0,2020-11-24T13:35:06.717000+0000
2020,Wyoming,Weston County,56045,3107,88,360,10,100.0,2020-11-24T13:35:06.777000+0000
