electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Alabama,Autauga County,01001,19838,71,7503,27,100.0,2020-12-10T01:14:45.333000+0000
2020,Alabama,Baldwin County,01003,83544,76,24578,22,100.0,2020-12-10T01:36:44.057000+0000
2020,Alabama,Barbour County,01005,5622,54,4816,46,100.0,2020-12-10T01:16:37.473000+0000
2020,Alabama,Bibb County,01007,7525,78,1986,21,100.0,2020-12-10T01:16:57.570000+0000
2020,Alabama,Blount County,01009,24711,90,2640,10,100.0,2020-12-10T01:17:27.590000+0000
2020,Alabama,Bullock County,01011,1146,25,3446,75,100.0,2020-12-10T01:17:41.613000+0000
2020,Alabama,Butler County,01013,5458,58,3965,42,100.0,2020-12-10T01:17:55.663000+0000
2020,Alabama,Calhoun County,01015,35101,69,15216,30,100.0,2020-12-10T01:18:11.710000+0000
2020,Alabama,Chambers County,01017,8753,57,6365,42,100.0,2020-12-10T01:18:23.700000+0000
2020,Alabama,Cherokee County,01019,10583,86,1624,13,100.0,2020-12-10T01:18:41.790000+0000
2020,Alabama,Chilton County,01021,16085,83,3073,16,100.0,2020-12-10T01:18:57.873000+0000
2020,Alabama,Choctaw County,01023,4296,58,3127,42,100.0,2020-12-10T01:19:15.833000+0000
2020,Alabama,Clarke County,01025,7324,56,5755,44,100.0,2020-12-10T01:19:31.873000+0000
2020,Alabama,Clay County,01027,5601,81,1267,18,100.0,2020-12-10T01:19:45.897000+0000
2020,Alabama,Cleburne County,01029,6484,90,675,9,100.0,2020-12-10T01:19:59.977000+0000
2020,Alabama,Coffee County,01031,16899,76,5076,23,100.0,2020-12-10T01:20:12.023000+0000
2020,Alabama,Colbert County,01033,19203,69,8343,30,100.0,2020-12-10T01:20:32.023000+0000
2020,Alabama,Conecuh County,01035,3442,53,2966,46,100.0,2020-12-10T01:20:44.043000+0000
2020,Alabama,Coosa County,01037,3631,66,1796,33,100.0,2020-12-10T01:20:58.087000+0000
2020,Alabama,Covington County,01039,14586,84,2721,16,100.0,2020-12-10T01:21:12.127000+0000
2020,Alabama,Crenshaw County,01041,4864,74,1700,26,100.0,2020-12-10T01:21:22.183000+0000
2020,Alabama,Cullman County,01043,36880,88,4478,11,100.0,2020-12-10T01:21:38.207000+0000
2020,Alabama,Dale County,01045,14303,73,5170,26,100.0,2020-12-10T01:22:00.253000+0000
2020,Alabama,Dallas County,01047,5524,31,12230,69,100.0,2020-12-10T01:22:12.277000+0000
2020,Alabama,DeKalb County,01049,24767,84,4281,15,100.0,2020-12-10T01:22:30.287000+0000
2020,Alabama,Elmore County,01051,30164,74,10367,25,100.0,2020-12-10T01:22:56.317000+0000
2020,Alabama,Escambia County,01053,10869,68,4918,31,100.0,2020-12-10T01:23:14.340000+0000
2020,Alabama,Etowah County,01055,35528,74,11567,24,100.0,2020-12-10T01:23:28.383000+0000
2020,Alabama,Fayette County,01057,7300,83,1395,16,100.0,2020-12-10T01:23:42.467000+0000
2020,Alabama,Franklin County,01059,10376,83,2086,17,100.0,2020-12-10T01:23:56.460000+0000
2020,Alabama,Geneva County,01061,10848,87,1595,13,100.0,2020-12-10T01:24:10.537000+0000
2020,Alabama,Greene County,01063,875,18,3884,81,100.0,2020-12-10T01:24:24.587000+0000
2020,Alabama,Hale County,01065,3190,40,4687,59,100.0,2020-12-10T01:24:38.590000+0000
2020,Alabama,Henry County,01067,6607,71,2606,28,100.0,2020-12-10T01:24:56.647000+0000
2020,Alabama,Houston County,01069,32618,71,12917,28,100.0,2020-12-10T01:25:14.640000+0000
2020,Alabama,Jackson County,01071,19670,83,3717,16,100.0,2020-12-10T01:25:30.743000+0000
2020,Alabama,Jefferson County,01073,138843,43,181688,56,100.0,2020-12-10T01:25:48.757000+0000
2020,Alabama,Lamar County,01075,6174,86,978,14,100.0,2020-12-10T01:26:02.843000+0000
2020,Alabama,Lauderdale County,01077,31721,72,11915,27,100.0,2020-12-10T01:26:20.837000+0000
2020,Alabama,Lawrence County,01079,12322,77,3562,22,100.0,2020-12-10T01:26:34.907000+0000
2020,Alabama,Lee County,01081,42221,59,27860,39,100.0,2020-12-10T01:26:54.933000+0000
2020,Alabama,Limestone County,01083,34640,70,13672,28,100.0,2020-12-10T01:27:12.973000+0000
2020,Alabama,Lowndes County,01085,1836,27,4972,73,100.0,2020-12-10T01:27:26.953000+0000
2020,Alabama,Macon County,01087,1541,18,7108,82,100.0,2020-12-10T01:27:43.033000+0000
2020,Alabama,Madison County,01089,102780,53,87286,45,100.0,2020-12-10T01:28:05.063000+0000
2020,Alabama,Marengo County,01091,5343,49,5488,50,100.0,2020-12-10T01:28:19.053000+0000
2020,Alabama,Marion County,01093,12205,88,1463,11,100.0,2020-12-10T01:28:39.097000+0000
2020,Alabama,Marshall County,01095,33191,84,5943,15,100.0,2020-12-10T01:29:01.163000+0000
2020,Alabama,Mobile County,01097,101243,55,79474,43,100.0,2020-12-10T01:29:21.227000+0000
2020,Alabama,Monroe County,01099,6147,58,4455,42,100.0,2020-12-10T01:29:35.230000+0000
2020,Alabama,Montgomery County,01101,33311,34,64529,65,100.0,2020-12-10T01:29:51.260000+0000
2020,Alabama,Morgan County,01103,39664,74,13234,25,100.0,2020-12-10T01:30:05.267000+0000
2020,Alabama,Perry County,01105,1339,26,3860,74,100.0,2020-12-10T01:30:19.280000+0000
2020,Alabama,Pickens County,01107,5594,58,4022,42,100.0,2020-12-10T01:30:35.317000+0000
2020,Alabama,Pike County,01109,8042,58,5636,41,100.0,2020-12-10T01:36:28.070000+0000
2020,Alabama,Randolph County,01111,8559,79,2203,20,100.0,2020-12-10T01:31:37.447000+0000
2020,Alabama,Russell County,01113,9864,46,11228,53,100.0,2020-12-10T01:31:13.437000+0000
2020,Alabama,St. Clair County,01115,36166,81,7744,17,100.0,2020-12-10T01:32:03.557000+0000
2020,Alabama,Shelby County,01117,79700,69,33268,29,100.0,2020-12-10T01:32:23.597000+0000
2020,Alabama,Sumter County,01119,1598,25,4648,74,100.0,2020-12-10T01:32:37.617000+0000
2020,Alabama,Talladega County,01121,22235,62,13138,37,100.0,2020-12-10T01:32:51.633000+0000
2020,Alabama,Tallapoosa County,01123,14963,71,5859,28,100.0,2020-12-10T01:33:11.667000+0000
2020,Alabama,Tuscaloosa County,01125,51117,57,37765,42,100.0,2020-12-10T01:33:37.737000+0000
2020,Alabama,Walker County,01127,26002,83,4834,16,100.0,2020-12-10T01:33:55.777000+0000
2020,Alabama,Washington County,01129,6564,74,2258,25,100.0,2020-12-10T01:34:51.933000+0000
2020,Alabama,Wilcox County,01131,1833,31,4048,69,100.0,2020-12-10T01:34:51.877000+0000
2020,Alabama,Winston County,01133,10195,90,974,9,100.0,2020-12-10T01:34:47.890000+0000
