electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Arkansas,Arkansas County,05001,3948,71,1501,27,88.0,2024-11-06T03:37:45.183000+0000
2024,Arkansas,Ashley County,05003,5145,73,1774,25,89.0,2024-11-08T19:35:20.120000+0000
2024,Arkansas,Baxter County,05005,16235,78,4334,21,95.0,2024-11-06T03:15:30.353000+0000
2024,Arkansas,Benton County,05007,79798,62,45150,35,99.0,2024-11-07T14:46:40.263000+0000
2024,Arkansas,Boone County,05009,13959,82,2850,17,99.0,2024-11-06T03:08:05.163000+0000
2024,Arkansas,Bradley County,05011,2210,69,958,30,88.0,2024-11-06T03:05:35.193000+0000
2024,Arkansas,Calhoun County,05013,1668,80,378,18,95.0,2024-11-06T02:37:45.123000+0000
2024,Arkansas,Carroll County,05015,7438,65,3791,33,95.0,2024-11-06T03:49:30.160000+0000
2024,Arkansas,Chicot County,05017,1654,48,1788,51,85.0,2024-11-06T03:54:30.210000+0000
2024,Arkansas,Clark County,05019,4511,59,2938,39,91.0,2024-11-06T05:11:40.093000+0000
2024,Arkansas,Clay County,05021,3968,80,907,18,95.0,2024-11-08T17:45:20.130000+0000
2024,Arkansas,Cleburne County,05023,10592,83,1940,15,95.0,2024-11-07T14:46:40.427000+0000
2024,Arkansas,Cleveland County,05025,2803,83,524,16,94.0,2024-11-06T03:36:40.133000+0000
2024,Arkansas,Columbia County,05027,5362,68,2460,31,92.0,2024-11-06T03:10:55.400000+0000
2024,Arkansas,Conway County,05029,5873,69,2444,29,95.0,2024-11-06T04:02:40.180000+0000
2024,Arkansas,Craighead County,05031,25117,68,11190,30,95.0,2024-11-06T03:28:00.300000+0000
2024,Arkansas,Crawford County,05033,18596,78,4749,20,95.0,2024-11-06T03:28:00.227000+0000
2024,Arkansas,Crittenden County,05035,7011,48,7342,50,89.0,2024-11-06T03:43:50.143000+0000
2024,Arkansas,Cross County,05037,4736,73,1630,25,94.0,2024-11-06T03:05:45.260000+0000
