electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Arizona,Apache County,04001,11442,33,23293,66,100.0,2020-11-30T21:17:16.710000+0000
2020,Arizona,Cochise County,04003,35557,59,23732,39,100.0,2020-11-30T21:18:34.793000+0000
2020,Arizona,Coconino County,04005,27052,37,44698,61,100.0,2020-11-30T21:16:56.687000+0000
2020,Arizona,Gila County,04007,18377,66,8943,32,100.0,2020-11-30T21:19:32.923000+0000
2020,Arizona,Graham County,04009,10749,72,4034,27,100.0,2020-11-30T21:16:40.620000+0000
2020,Arizona,Greenlee County,04011,2433,66,1182,32,100.0,2020-11-30T21:16:32.587000+0000
2020,Arizona,La Paz County,04012,5129,69,2236,30,100.0,2020-11-30T21:49:43.437000+0000
2020,Arizona,Maricopa County,04013,995665,48,1040774,50,100.0,2020-11-30T21:24:19.630000+0000
2020,Arizona,Mohave County,04015,78535,75,24831,24,100.0,2020-11-30T21:20:11.123000+0000
2020,Arizona,Navajo County,04017,27657,53,23383,45,100.0,2020-11-30T21:15:56.437000+0000
2020,Arizona,Pima County,04019,207758,40,304981,59,100.0,2020-11-30T21:18:40.863000+0000
2020,Arizona,Pinal County,04021,107077,58,75106,41,100.0,2020-11-30T21:20:19.120000+0000
2020,Arizona,Santa Cruz County,04023,6194,32,13138,67,100.0,2020-11-30T21:14:58.330000+0000
2020,Arizona,Yavapai County,04025,91527,64,49602,35,100.0,2020-11-30T21:20:31.247000+0000
2020,Arizona,Yuma County,04027,36534,52,32210,46,100.0,2020-11-30T21:20:37.300000+0000
