electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,California,Alameda County,06001,136309,18,617659,80,100.0,2020-12-05T21:31:34.253000+0000
2020,California,Alpine County,06003,244,33,476,64,100.0,2020-12-05T21:02:23.467000+0000
2020,California,Amador County,06005,13585,61,8153,36,100.0,2020-11-28T03:40:01.110000+0000
2020,California,Butte County,06007,48730,48,50426,49,100.0,2020-12-05T20:55:22.613000+0000
2020,California,Calaveras County,06009,16518,61,10046,37,100.0,2020-12-01T17:40:53.353000+0000
2020,California,Colusa County,06011,4554,57,3234,41,100.0,2020-11-26T03:48:51.443000+0000
2020,California,Contra Costa County,06013,152877,26,416386,72,100.0,2020-12-05T21:07:00.450000+0000
2020,California,Del Norte County,06015,6461,56,4677,41,100.0,2020-12-01T20:41:06.197000+0000
2020,California,El Dorado County,06017,61838,53,51621,44,100.0,2020-11-28T03:40:37.093000+0000
2020,California,Fresno County,06019,164464,45,193025,53,100.0,2020-11-30T17:41:00.853000+0000
2020,California,Glenn County,06021,7063,63,3995,35,100.0,2020-12-05T20:56:48.750000+0000
2020,California,Humboldt County,06023,21770,32,44768,65,100.0,2020-12-05T21:25:59.633000+0000
2020,California,Imperial County,06025,20847,37,34678,61,100.0,2020-12-02T08:41:04.587000+0000
2020,California,Inyo County,06027,4620,49,4634,49,100.0,2020-12-01T20:41:06.183000+0000
2020,California,Kern County,06029,164484,54,133366,44,100.0,2020-12-01T02:41:07.810000+0000
2020,California,Kings County,06031,24072,55,18699,43,100.0,2020-12-01T02:41:07.767000+0000
2020,California,Lake County,06033,13123,46,14941,52,100.0,2020-12-05T21:25:53.587000+0000
2020,California,Lassen County,06035,8970,75,2799,23,100.0,2020-12-05T20:54:28.183000+0000
2020,California,Los Angeles County,06037,1145530,27,3028885,71,100.0,2020-12-05T21:21:16.780000+0000
2020,California,Madera County,06039,29378,55,23168,43,100.0,2020-11-28T03:46:25.570000+0000
2020,California,Marin County,06041,24612,16,128288,82,100.0,2020-12-05T20:55:12.597000+0000
2020,California,Mariposa County,06043,5950,58,4088,40,100.0,2020-11-24T13:36:28.720000+0000
2020,California,Mendocino County,06045,13267,31,28782,66,100.0,2020-12-05T21:25:31.267000+0000
2020,California,Merced County,06047,39397,44,48991,54,100.0,2020-11-24T13:36:29.363000+0000
2020,California,Modoc County,06049,3109,72,1150,27,100.0,2020-11-24T13:36:29.620000+0000
2020,California,Mono County,06051,2513,37,4013,60,100.0,2020-11-28T03:43:33.407000+0000
2020,California,Monterey County,06053,46299,28,113953,70,100.0,2020-11-25T02:40:55.453000+0000
2020,California,Napa County,06055,20676,29,49817,69,100.0,2020-11-26T03:48:51.290000+0000
