electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Florida,Alachua County,12001,52873,39,81454,59,95.0,2024-11-06T03:15:30.270000+0000
2024,Florida,Baker County,12003,12925,86,1982,13,99.0,2024-11-06T01:32:35.113000+0000
2024,Florida,Bay County,12005,71409,73,25149,26,99.0,2024-11-08T04:38:00.097000+0000
2024,Florida,Bradford County,12007,10918,78,2946,21,99.0,2024-11-06T05:03:25.090000+0000
2024,Florida,Brevard County,12009,216502,60,141166,39,99.0,2024-11-08T21:33:10.187000+0000
2024,Florida,Broward County,12011,358497,41,506294,58,99.0,2024-11-08T04:38:20.093000+0000
2024,Florida,Calhoun County,12013,5358,84,1017,16,99.0,2024-11-06T01:19:15.247000+0000
2024,Florida,Charlotte County,12015,82039,67,40301,33,99.0,2024-11-08T04:39:00.100000+0000
2024,Florida,Citrus County,12017,71345,73,26267,27,99.0,2024-11-08T16:33:10.223000+0000
2024,Florida,Clay County,12019,87649,69,37846,30,99.0,2024-11-08T04:47:40.110000+0000
2024,Florida,Collier County,12021,143244,66,71673,33,95.0,2024-11-08T15:13:10.240000+0000
2024,Florida,Columbia County,12023,25086,75,8244,25,99.0,2024-11-08T04:48:30.177000+0000
2024,Florida,DeSoto County,12027,8879,71,3520,28,99.0,2024-11-06T01:28:00.503000+0000
2024,Florida,Dixie County,12029,6918,85,1181,15,95.0,2024-11-06T04:40:30.120000+0000
2024,Florida,Duval County,12031,236244,50,229249,49,99.0,2024-11-08T17:05:20.167000+0000
2024,Florida,Escambia County,12033,96252,59,64475,40,95.0,2024-11-06T06:57:40.110000+0000
2024,Florida,Flagler County,12035,51009,64,28420,35,99.0,2024-11-08T21:13:10.217000+0000
2024,Florida,Franklin County,12037,4831,72,1870,28,99.0,2024-11-07T20:49:05.100000+0000
2024,Florida,Gadsden County,12039,7490,34,14176,65,99.0,2024-11-06T01:23:15.117000+0000
2024,Florida,Gilchrist County,12041,8928,83,1660,16,99.0,2024-11-06T01:40:25.100000+0000
2024,Florida,Glades County,12043,4033,76,1221,23,99.0,2024-11-07T15:40:36.523000+0000
2024,Florida,Gulf County,12045,6675,77,1969,23,99.0,2024-11-06T01:13:55.160000+0000
2024,Florida,Hamilton County,12047,3964,69,1722,30,95.0,2024-11-07T15:40:37.690000+0000
2024,Florida,Hardee County,12049,6325,78,1746,21,99.0,2024-11-06T01:44:20.220000+0000
2024,Florida,Hendry County,12051,9252,69,4095,30,99.0,2024-11-08T20:15:20.177000+0000
2024,Florida,Hernando County,12053,75304,68,34308,31,99.0,2024-11-06T01:33:05.163000+0000
2024,Florida,Highlands County,12055,36352,70,15204,29,99.0,2024-11-06T00:52:55.063000+0000
2024,Florida,Hillsborough County,12057,341323,51,320663,48,99.0,2024-11-07T20:49:55.090000+0000
2024,Florida,Holmes County,12059,8193,90,882,10,99.0,2024-11-06T02:13:50.373000+0000
2024,Florida,Indian River County,12061,62667,63,35614,36,99.0,2024-11-08T04:44:10.097000+0000
2024,Florida,Jackson County,12063,16061,73,5885,27,99.0,2024-11-07T15:40:39.023000+0000
2024,Florida,Jefferson County,12065,5006,59,3423,40,99.0,2024-11-06T02:29:40.183000+0000
2024,Florida,Lafayette County,12067,3290,88,439,12,99.0,2024-11-06T01:05:40.250000+0000
2024,Florida,Lake County,12069,140393,62,84408,37,99.0,2024-11-06T05:03:15.260000+0000
2024,Florida,Lee County,12071,250522,64,139084,35,99.0,2024-11-06T04:46:25.213000+0000
2024,Florida,Leon County,12073,60388,38,94474,60,95.0,2024-11-08T22:09:30.170000+0000
2024,Florida,Levy County,12075,18234,75,5987,25,99.0,2024-11-08T04:41:45.110000+0000
2024,Florida,Liberty County,12077,2896,83,563,16,99.0,2024-11-06T01:47:05.167000+0000
2024,Florida,Madison County,12079,5867,64,3230,35,99.0,2024-11-06T01:05:40.107000+0000
2024,Florida,Manatee County,12081,140132,61,86121,38,95.0,2024-11-07T15:40:37.467000+0000
2024,Florida,Marion County,12083,140097,66,72378,34,99.0,2024-11-08T04:42:30.090000+0000
2024,Florida,Martin County,12085,64088,65,33518,34,99.0,2024-11-07T14:28:00.093000+0000
2024,Florida,Miami-Dade County,12086,605497,55,480156,44,95.0,2024-11-08T21:43:20.160000+0000
2024,Florida,Monroe County,12087,26063,59,17923,40,99.0,2024-11-09T00:09:35.180000+0000
2024,Florida,Nassau County,12089,47881,73,17101,26,99.0,2024-11-06T02:28:55.133000+0000
2024,Florida,Okaloosa County,12091,80214,70,31998,28,99.0,2024-11-06T05:03:35.117000+0000
2024,Florida,Okeechobee County,12093,12307,77,3665,23,99.0,2024-11-06T02:54:05.837000+0000
2024,Florida,Orange County,12095,258254,43,340726,56,99.0,2024-11-09T01:19:35.213000+0000
2024,Florida,Osceola County,12097,86684,50,84161,49,95.0,2024-11-08T22:19:40.147000+0000
2024,Florida,Palm Beach County,12099,366521,49,372032,50,95.0,2024-11-08T04:42:50.097000+0000
2024,Florida,Pasco County,12101,197767,62,117424,37,99.0,2024-11-08T17:03:10.260000+0000
2024,Florida,Pinellas County,12103,269272,52,242229,47,99.0,2024-11-07T21:02:45.093000+0000
2024,Florida,Polk County,12105,208777,60,136629,39,99.0,2024-11-06T02:48:30.253000+0000
2024,Florida,Putnam County,12107,26699,74,9349,26,99.0,2024-11-08T23:19:35.187000+0000
2024,Florida,St. Johns County,12109,128728,65,66828,34,99.0,2024-11-08T17:53:15.100000+0000
2024,Florida,St. Lucie County,12111,100208,54,83428,45,99.0,2024-11-06T04:36:55.127000+0000
2024,Florida,Santa Rosa County,12113,84286,75,27004,24,99.0,2024-11-08T17:45:20.180000+0000
2024,Florida,Sarasota County,12115,163037,59,112496,41,99.0,2024-11-07T21:04:55.103000+0000
2024,Florida,Seminole County,12117,129531,51,120364,48,99.0,2024-11-07T21:12:45.110000+0000
2024,Florida,Sumter County,12119,72113,68,32532,31,99.0,2024-11-06T00:56:40.117000+0000
2024,Florida,Suwannee County,12121,17548,80,4215,19,99.0,2024-11-06T01:45:35.187000+0000
2024,Florida,Taylor County,12123,7953,80,1990,20,99.0,2024-11-08T21:25:20.247000+0000
2024,Florida,Union County,12125,5223,84,971,16,99.0,2024-11-06T00:45:50.307000+0000
2024,Florida,Volusia County,12127,187484,61,119917,39,99.0,2024-11-08T04:45:00.110000+0000
2024,Florida,Wakulla County,12129,14235,72,5438,27,99.0,2024-11-06T00:54:00.097000+0000
2024,Florida,Walton County,12131,38944,78,10277,21,99.0,2024-11-06T02:27:40.280000+0000
2024,Florida,Washington County,12133,10369,82,2140,17,99.0,2024-11-07T21:05:30.117000+0000
