electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Iowa,Adair County,19001,2916,72,1085,27,99.0,2024-11-06T03:43:50.633000+0000
2024,Iowa,Adams County,19003,1517,71,576,27,99.0,2024-11-06T03:30:50.257000+0000
2024,Iowa,Allamakee County,19005,4857,67,2350,32,95.0,2024-11-06T04:37:35.297000+0000
2024,Iowa,Appanoose County,19007,4704,73,1690,26,95.0,2024-11-06T03:25:00.233000+0000
2024,Iowa,Audubon County,19009,2214,68,970,30,95.0,2024-11-06T03:21:55.490000+0000
2024,Iowa,Benton County,19011,9544,66,4738,33,99.0,2024-11-06T04:35:40.147000+0000
2024,Iowa,Black Hawk County,19013,30558,49,31272,50,97.0,2024-11-06T04:11:55.337000+0000
2024,Iowa,Boone County,19015,9194,60,5894,38,95.0,2024-11-06T04:12:50.203000+0000
2024,Iowa,Bremer County,19017,8772,60,5552,38,99.0,2024-11-06T03:45:20.307000+0000
2024,Iowa,Buchanan County,19019,6763,63,3758,35,99.0,2024-11-06T03:48:20.363000+0000
2024,Iowa,Buena Vista County,19021,4962,66,2460,33,94.0,2024-11-06T03:42:00.330000+0000
2024,Iowa,Butler County,19023,5783,72,2143,27,95.0,2024-11-08T18:15:25.097000+0000
2024,Iowa,Calhoun County,19025,3708,73,1327,26,95.0,2024-11-06T04:37:35.210000+0000
2024,Iowa,Carroll County,19027,7812,70,3153,28,95.0,2024-11-08T18:15:25.153000+0000
2024,Iowa,Cass County,19029,5006,70,2074,29,95.0,2024-11-06T08:45:40.110000+0000
2024,Iowa,Cedar County,19031,6388,60,4075,38,95.0,2024-11-06T03:21:55.310000+0000
2024,Iowa,Cerro Gordo County,19033,12604,55,9949,43,95.0,2024-11-06T04:16:00.550000+0000
2024,Iowa,Cherokee County,19035,4398,72,1611,27,95.0,2024-11-06T03:58:40.117000+0000
2024,Iowa,Chickasaw County,19037,4232,68,1918,31,95.0,2024-11-06T04:11:55.353000+0000
2024,Iowa,Clarke County,19039,3137,70,1264,28,95.0,2024-11-06T04:00:55.363000+0000
2024,Iowa,Clay County,19041,6044,71,2366,28,95.0,2024-11-06T04:45:55.200000+0000
2024,Iowa,Clayton County,19043,6245,67,3015,32,95.0,2024-11-06T03:42:00.213000+0000
2024,Iowa,Clinton County,19045,13960,59,9471,40,95.0,2024-11-08T04:52:30.110000+0000
2024,Iowa,Crawford County,19047,4648,71,1811,28,93.0,2024-11-06T03:23:40.173000+0000
2024,Iowa,Dallas County,19049,32329,51,29353,47,99.0,2024-11-06T05:00:20.130000+0000
2024,Iowa,Davis County,19051,3027,77,878,22,95.0,2024-11-06T03:58:35.110000+0000
2024,Iowa,Decatur County,19053,2711,73,957,26,95.0,2024-11-06T06:44:40.120000+0000
2024,Iowa,Delaware County,19055,6976,69,2975,30,95.0,2024-11-06T03:37:45.673000+0000
2024,Iowa,Des Moines County,19057,10776,57,7931,42,95.0,2024-11-06T04:27:35.113000+0000
2024,Iowa,Dickinson County,19059,7770,70,3291,29,95.0,2024-11-06T03:42:00.300000+0000
2024,Iowa,Dubuque County,19061,28223,54,23697,45,95.0,2024-11-06T03:22:40.170000+0000
2024,Iowa,Emmet County,19063,3422,72,1315,28,95.0,2024-11-06T04:25:45.180000+0000
2024,Iowa,Fayette County,19065,6325,64,3334,34,99.0,2024-11-08T15:15:20.120000+0000
2024,Iowa,Floyd County,19067,4731,62,2781,37,95.0,2024-11-06T05:37:40.093000+0000
2024,Iowa,Franklin County,19069,3420,70,1393,29,95.0,2024-11-06T04:08:55.237000+0000
2024,Iowa,Fremont County,19071,2711,72,1023,27,95.0,2024-11-06T02:57:40.167000+0000
2024,Iowa,Greene County,19073,3210,66,1599,33,99.0,2024-11-06T04:00:55.340000+0000
2024,Iowa,Grundy County,19075,4996,70,2016,28,95.0,2024-11-06T03:37:45.213000+0000
2024,Iowa,Guthrie County,19077,4445,68,1973,30,99.0,2024-11-06T05:16:05.217000+0000
2024,Iowa,Hamilton County,19079,5002,66,2480,33,95.0,2024-11-06T04:35:15.423000+0000
2024,Iowa,Hancock County,19081,4335,73,1523,26,95.0,2024-11-06T04:04:20.170000+0000
2024,Iowa,Hardin County,19083,5785,69,2547,30,95.0,2024-11-08T00:15:25.120000+0000
2024,Iowa,Harrison County,19085,5566,70,2245,28,95.0,2024-11-06T07:42:35.100000+0000
2024,Iowa,Henry County,19087,6439,67,2994,31,98.0,2024-11-06T03:52:50.123000+0000
2024,Iowa,Howard County,19089,3157,65,1619,34,95.0,2024-11-08T20:50:30.147000+0000
2024,Iowa,Humboldt County,19091,3762,74,1232,24,95.0,2024-11-06T05:42:40.113000+0000
2024,Iowa,Ida County,19093,2769,76,826,23,95.0,2024-11-06T03:37:45.280000+0000
2024,Iowa,Iowa County,19095,6067,63,3400,35,99.0,2024-11-08T15:05:45.100000+0000
2024,Iowa,Jackson County,19097,7074,66,3565,33,95.0,2024-11-06T03:50:50.217000+0000
2024,Iowa,Jasper County,19099,12701,63,7140,35,95.0,2024-11-06T05:00:40.140000+0000
2024,Iowa,Jefferson County,19101,4350,52,3774,46,95.0,2024-11-06T04:38:35.273000+0000
2024,Iowa,Johnson County,19103,26069,30,58772,68,95.0,2024-11-06T04:27:55.087000+0000
2024,Iowa,Jones County,19105,6818,62,3939,36,99.0,2024-11-06T04:02:45.150000+0000
2024,Iowa,Keokuk County,19107,3869,75,1219,24,95.0,2024-11-06T03:48:20.460000+0000
2024,Iowa,Kossuth County,19109,5973,71,2280,27,94.0,2024-11-06T03:37:45.367000+0000
2024,Iowa,Lee County,19111,10148,63,5653,35,99.0,2024-11-08T04:53:50.093000+0000
2024,Iowa,Linn County,19113,54213,44,66296,54,99.0,2024-11-06T06:54:40.100000+0000
2024,Iowa,Louisa County,19115,3582,70,1480,29,95.0,2024-11-06T03:56:35.130000+0000
2024,Iowa,Lucas County,19117,3399,73,1169,25,95.0,2024-11-06T04:49:50.210000+0000
2024,Iowa,Lyon County,19119,5896,85,1020,15,95.0,2024-11-06T04:38:35.150000+0000
2024,Iowa,Madison County,19121,6851,68,3005,30,95.0,2024-11-06T04:38:35.240000+0000
2024,Iowa,Mahaska County,19123,8018,75,2530,24,95.0,2024-11-06T04:27:40.190000+0000
2024,Iowa,Marion County,19125,13289,68,5928,30,99.0,2024-11-06T03:56:50.127000+0000
2024,Iowa,Marshall County,19127,9812,57,7134,41,95.0,2024-11-06T04:49:50.233000+0000
2024,Iowa,Mills County,19129,5647,69,2448,30,95.0,2024-11-06T03:52:40.110000+0000
2024,Iowa,Mitchell County,19131,3736,65,1943,34,95.0,2024-11-08T20:05:30.113000+0000
2024,Iowa,Monona County,19133,3331,72,1235,27,95.0,2024-11-06T03:37:45.690000+0000
2024,Iowa,Monroe County,19135,3104,75,1002,24,99.0,2024-11-06T03:22:50.100000+0000
2024,Iowa,Montgomery County,19137,3482,69,1507,30,97.0,2024-11-06T05:29:50.130000+0000
2024,Iowa,Muscatine County,19139,11139,57,8199,42,95.0,2024-11-08T18:15:25.167000+0000
2024,Iowa,O'Brien County,19141,5995,80,1427,19,95.0,2024-11-06T03:46:05.287000+0000
2024,Iowa,Osceola County,19143,2621,82,555,17,95.0,2024-11-06T03:30:50.363000+0000
2024,Iowa,Page County,19145,5153,71,2060,28,99.0,2024-11-06T03:47:00.213000+0000
2024,Iowa,Palo Alto County,19147,3576,72,1338,27,95.0,2024-11-06T03:03:35.100000+0000
2024,Iowa,Plymouth County,19149,10654,77,3102,22,95.0,2024-11-06T03:25:00.253000+0000
2024,Iowa,Pocahontas County,19151,2727,76,794,22,95.0,2024-11-06T03:30:50.167000+0000
2024,Iowa,Polk County,19153,112181,44,139963,55,95.0,2024-11-06T04:17:40.317000+0000
2024,Iowa,Pottawattamie County,19155,26335,59,17464,39,95.0,2024-11-07T22:35:20.233000+0000
2024,Iowa,Poweshiek County,19157,5745,58,4048,41,95.0,2024-11-06T04:12:50.347000+0000
2024,Iowa,Ringgold County,19159,2014,75,638,24,99.0,2024-11-06T03:22:50.197000+0000
2024,Iowa,Sac County,19161,4100,75,1288,24,95.0,2024-11-06T03:43:50.480000+0000
2024,Iowa,Scott County,19163,45947,51,42448,47,95.0,2024-11-06T03:52:40.167000+0000
2024,Iowa,Shelby County,19165,4599,71,1811,28,95.0,2024-11-08T21:59:35.133000+0000
2024,Iowa,Sioux County,19167,16022,85,2617,14,95.0,2024-11-06T03:21:55.290000+0000
2024,Iowa,Story County,19169,21567,44,26702,55,95.0,2024-11-06T22:45:20.130000+0000
2024,Iowa,Tama County,19171,5379,63,3069,36,95.0,2024-11-06T04:12:50.267000+0000
2024,Iowa,Taylor County,19173,2381,77,667,22,95.0,2024-11-06T04:27:35.180000+0000
2024,Iowa,Union County,19175,4038,67,1871,31,95.0,2024-11-06T04:27:35.160000+0000
2024,Iowa,Van Buren County,19177,2785,77,778,22,95.0,2024-11-06T03:08:40.380000+0000
2024,Iowa,Wapello County,19179,9470,65,4892,34,95.0,2024-11-06T04:11:55.463000+0000
2024,Iowa,Warren County,19181,19459,60,12662,39,99.0,2024-11-06T03:52:40.260000+0000
2024,Iowa,Washington County,19183,7118,62,4296,37,95.0,2024-11-06T18:36:40.113000+0000
2024,Iowa,Wayne County,19185,2426,78,643,21,99.0,2024-11-06T03:42:40.220000+0000
2024,Iowa,Webster County,19187,10838,65,5632,34,95.0,2024-11-06T04:14:55.203000+0000
2024,Iowa,Winnebago County,19189,3636,65,1906,34,97.0,2024-11-06T04:05:45.180000+0000
2024,Iowa,Winneshiek County,19191,6426,54,5319,44,95.0,2024-11-06T03:54:35.173000+0000
2024,Iowa,Woodbury County,19193,25923,61,16116,38,96.0,2024-11-06T06:06:50.100000+0000
2024,Iowa,Worth County,19195,2714,64,1508,35,95.0,2024-11-06T04:19:55.360000+0000
2024,Iowa,Wright County,19197,3853,68,1770,31,93.0,2024-11-06T03:00:50.227000+0000
