electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Illinois,Adams County,17001,24220,72,8633,26,95.0,2020-12-08T15:56:54.387000+0000
2020,Illinois,Alexander County,17003,1486,57,1114,43,87.0,2020-12-17T18:17:53.213000+0000
2020,Illinois,Bond County,17005,5625,69,2288,28,99.0,2020-12-04T17:41:26.757000+0000
2020,Illinois,Boone County,17007,13883,56,10542,42,95.0,2020-12-08T17:43:33.497000+0000
2020,Illinois,Brown County,17009,1931,77,486,19,95.0,2020-12-04T19:30:51.290000+0000
2020,Illinois,Bureau County,17011,10411,60,6669,38,95.0,2020-12-08T15:58:34.660000+0000
2020,Illinois,Calhoun County,17013,2046,74,677,24,95.0,2020-12-08T16:24:50.847000+0000
2020,Illinois,Carroll County,17015,5105,64,2748,34,99.0,2020-12-08T15:59:38.947000+0000
2020,Illinois,Cass County,17017,3625,68,1615,30,95.0,2020-12-08T16:01:13.307000+0000
2020,Illinois,Champaign County,17019,35285,37,57067,60,94.0,2020-12-08T16:57:09.280000+0000
2020,Illinois,Christian County,17021,11563,71,4335,27,95.0,2020-12-08T16:25:51.007000+0000
2020,Illinois,Clark County,17023,6226,75,1993,24,95.0,2020-12-08T16:57:27.330000+0000
2020,Illinois,Clay County,17025,5629,82,1129,16,95.0,2020-12-08T16:57:39.510000+0000
2020,Illinois,Clinton County,17027,14304,74,4493,23,95.0,2020-12-08T16:58:17.490000+0000
2020,Illinois,Coles County,17029,14037,62,8067,36,95.0,2020-12-08T16:58:43.593000+0000
2020,Illinois,Cook County,17031,558269,24,1725973,74,95.0,2020-11-24T15:09:33.017000+0000
2020,Illinois,Crawford County,17033,7043,75,2202,23,95.0,2020-12-08T16:58:57.677000+0000
2020,Illinois,Cumberland County,17035,4601,79,1142,20,95.0,2020-12-08T16:59:07.680000+0000
2020,Illinois,DeKalb County,17037,21905,46,24643,51,95.0,2020-12-08T17:44:07.530000+0000
2020,Illinois,De Witt County,17039,5632,70,2191,27,95.0,2020-12-08T16:26:07.047000+0000
2020,Illinois,Douglas County,17041,6227,71,2335,27,95.0,2020-12-08T16:59:19.700000+0000
2020,Illinois,DuPage County,17043,193611,40,281222,58,95.0,2020-12-04T18:28:16.343000+0000
