electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Kansas,Allen County,20001,3987,72,1434,26,94.0,2024-11-08T04:59:30.097000+0000
2024,Kansas,Anderson County,20003,2955,79,720,19,95.0,2024-11-07T17:06:40.097000+0000
2024,Kansas,Atchison County,20005,4866,68,2177,30,95.0,2024-11-08T17:06:35.217000+0000
2024,Kansas,Barber County,20007,1805,85,283,13,90.0,2024-11-08T22:23:25.143000+0000
2024,Kansas,Barton County,20009,8082,77,2184,21,93.0,2024-11-08T17:06:35.130000+0000
2024,Kansas,Bourbon County,20011,4915,76,1425,22,97.0,2024-11-06T02:43:00.300000+0000
2024,Kansas,Brown County,20013,3052,73,1051,25,93.0,2024-11-07T16:56:40.153000+0000
2024,Kansas,Butler County,20015,21915,70,8840,28,95.0,2024-11-06T02:44:00.297000+0000
2024,Kansas,Chase County,20017,1090,75,345,24,97.0,2024-11-06T18:22:25.107000+0000
2024,Kansas,Chautauqua County,20019,1287,85,210,14,92.0,2024-11-06T03:42:20.650000+0000
2024,Kansas,Cherokee County,20021,6413,76,1926,23,93.0,2024-11-06T05:10:25.147000+0000
2024,Kansas,Cheyenne County,20023,1166,83,201,14,95.0,2024-11-06T03:35:30.337000+0000
2024,Kansas,Clark County,20025,855,85,128,13,93.0,2024-11-08T20:16:40.180000+0000
2024,Kansas,Clay County,20027,3062,77,844,21,95.0,2024-11-07T16:56:40.137000+0000
2024,Kansas,Cloud County,20029,3166,80,757,19,93.0,2024-11-07T20:36:35.133000+0000
2024,Kansas,Coffey County,20031,3323,77,927,21,95.0,2024-11-06T03:09:25.187000+0000
2024,Kansas,Comanche County,20033,701,83,127,15,92.0,2024-11-06T02:52:35.173000+0000
2024,Kansas,Cowley County,20035,9171,69,3853,29,93.0,2024-11-08T16:56:40.150000+0000
2024,Kansas,Crawford County,20037,9823,62,5832,37,95.0,2024-11-07T21:36:40.177000+0000
2024,Kansas,Decatur County,20039,1177,85,197,14,92.0,2024-11-06T04:01:25.127000+0000
2024,Kansas,Dickinson County,20041,6857,77,1953,22,95.0,2024-11-08T04:59:50.093000+0000
2024,Kansas,Doniphan County,20043,2886,81,621,17,95.0,2024-11-08T22:23:20.200000+0000
2024,Kansas,Douglas County,20045,16994,30,38504,68,94.0,2024-11-08T20:46:40.137000+0000
2024,Kansas,Edwards County,20047,1027,82,210,17,87.0,2024-11-06T03:31:35.490000+0000
2024,Kansas,Elk County,20049,1112,84,191,14,95.0,2024-11-08T18:56:40.103000+0000
2024,Kansas,Ellis County,20051,9587,72,3442,26,95.0,2024-11-07T20:46:40.130000+0000
2024,Kansas,Ellsworth County,20053,2019,75,631,23,94.0,2024-11-08T19:06:35.107000+0000
2024,Kansas,Finney County,20055,6875,67,3257,32,87.0,2024-11-06T03:16:35.263000+0000
2024,Kansas,Ford County,20057,5475,69,2381,30,89.0,2024-11-07T20:56:40.117000+0000
2024,Kansas,Franklin County,20059,8592,69,3626,29,95.0,2024-11-08T17:56:35.137000+0000
2024,Kansas,Geary County,20061,5099,58,3529,40,91.0,2024-11-06T05:32:25.110000+0000
2024,Kansas,Gove County,20063,1211,88,147,11,93.0,2024-11-06T03:42:30.153000+0000
2024,Kansas,Graham County,20065,983,82,192,16,89.0,2024-11-07T22:06:35.147000+0000
2024,Kansas,Grant County,20067,1752,81,384,18,86.0,2024-11-08T05:02:35.103000+0000
2024,Kansas,Gray County,20069,1799,84,319,15,94.0,2024-11-06T18:10:30.163000+0000
2024,Kansas,Greeley County,20071,509,86,75,13,92.0,2024-11-06T02:45:25.197000+0000
2024,Kansas,Greenwood County,20073,2287,80,537,19,93.0,2024-11-06T03:41:20.123000+0000
2024,Kansas,Hamilton County,20075,657,82,128,16,92.0,2024-11-06T18:59:21.590000+0000
2024,Kansas,Harper County,20077,2017,81,431,17,93.0,2024-11-06T03:15:30.377000+0000
2024,Kansas,Harvey County,20079,9405,60,6100,39,91.0,2024-11-06T22:46:35.130000+0000
2024,Kansas,Haskell County,20081,1021,82,220,18,88.0,2024-11-06T03:31:35.470000+0000
