electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Louisiana,Acadia Parish,22001,21783,82,4695,18,99.0,2024-11-06T03:12:30.610000+0000
2024,Louisiana,Allen Parish,22003,7003,80,1661,19,99.0,2024-11-06T03:56:25.263000+0000
2024,Louisiana,Ascension Parish,22005,41310,66,20105,32,99.0,2024-11-06T03:26:20.253000+0000
2024,Louisiana,Assumption Parish,22007,6963,67,3273,32,99.0,2024-11-06T03:08:20.790000+0000
2024,Louisiana,Avoyelles Parish,22009,11378,71,4460,28,99.0,2024-11-06T03:48:21.787000+0000
2024,Louisiana,Beauregard Parish,22011,13504,85,2192,14,99.0,2024-11-06T03:16:15.377000+0000
2024,Louisiana,Bienville Parish,22013,3659,59,2531,41,99.0,2024-11-06T03:16:15.490000+0000
2024,Louisiana,Bossier Parish,22015,37092,71,14464,28,99.0,2024-11-06T03:34:15.407000+0000
2024,Louisiana,Caddo Parish,22017,44439,47,48835,52,99.0,2024-11-06T04:00:20.750000+0000
2024,Louisiana,Calcasieu Parish,22019,56046,69,23911,30,99.0,2024-11-06T04:10:50.170000+0000
2024,Louisiana,Caldwell Parish,22021,3724,86,580,13,99.0,2024-11-06T03:40:25.203000+0000
2024,Louisiana,Cameron Parish,22023,3119,93,219,7,99.0,2024-11-06T03:54:20.260000+0000
2024,Louisiana,Catahoula Parish,22025,3258,75,1060,24,99.0,2024-11-06T03:22:25.303000+0000
2024,Louisiana,Claiborne Parish,22027,3520,61,2239,39,99.0,2024-11-06T03:04:15.697000+0000
2024,Louisiana,Concordia Parish,22029,4974,64,2698,35,99.0,2024-11-06T03:24:25.320000+0000
2024,Louisiana,De Soto Parish,22031,9356,67,4426,32,99.0,2024-11-06T04:20:30.367000+0000
2024,Louisiana,East Baton Rouge Parish,22033,82707,43,103783,55,99.0,2024-11-06T04:34:10.120000+0000
2024,Louisiana,East Carroll Parish,22035,931,40,1338,58,99.0,2024-11-06T03:00:20.370000+0000
2024,Louisiana,East Feliciana Parish,22037,6020,61,3809,38,99.0,2024-11-06T03:08:20.607000+0000
2024,Louisiana,Evangeline Parish,22039,10483,74,3526,25,95.0,2024-11-06T03:34:15.267000+0000
2024,Louisiana,Franklin Parish,22041,6524,74,2196,25,99.0,2024-11-06T03:56:25.210000+0000
2024,Louisiana,Grant Parish,22043,7925,88,996,11,99.0,2024-11-06T03:32:15.323000+0000
2024,Louisiana,Iberia Parish,22045,19511,67,9503,32,99.0,2024-11-06T03:26:20.200000+0000
2024,Louisiana,Iberville Parish,22047,7616,50,7503,49,99.0,2024-11-06T03:24:25.447000+0000
