electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Massachusetts,Barnstable County,25001,55311,38,91994,62,98.0,2020-12-17T18:17:30.810000+0000
2020,Massachusetts,Berkshire County,25003,18064,26,51705,74,98.0,2020-12-17T18:17:37.777000+0000
2020,Massachusetts,Bristol County,25005,119872,44,153377,56,98.0,2020-12-17T18:17:37.950000+0000
2020,Massachusetts,Dukes County,25007,2631,21,9914,79,98.0,2020-12-17T18:17:29.440000+0000
2020,Massachusetts,Essex County,25009,144837,35,267198,65,98.0,2020-12-17T18:17:37.590000+0000
2020,Massachusetts,Franklin County,25011,11201,27,30030,73,97.0,2020-12-17T18:17:34.497000+0000
2020,Massachusetts,Hampden County,25013,87318,41,125948,59,98.0,2020-12-17T18:17:37.190000+0000
2020,Massachusetts,Hampshire County,25015,22281,26,63362,74,97.0,2020-12-17T18:17:36.480000+0000
2020,Massachusetts,Middlesex County,25017,226956,27,617196,73,98.0,2020-12-17T18:17:38.087000+0000
2020,Massachusetts,Nantucket County,25019,1914,26,5241,72,100.0,2020-12-08T13:46:04.080000+0000
2020,Massachusetts,Norfolk County,25021,125294,31,273312,69,98.0,2020-12-17T18:17:36.697000+0000
2020,Massachusetts,Plymouth County,25023,121227,41,173630,59,98.0,2020-12-17T18:17:35.337000+0000
2020,Massachusetts,Suffolk County,25025,58613,18,270522,82,98.0,2020-12-17T18:17:36.827000+0000
2020,Massachusetts,Worcester County,25027,171683,41,248773,59,97.0,2020-12-17T18:17:37.343000+0000
