electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Maryland,Allegany County,24001,21308,70,8524,28,99.0,2024-11-07T23:53:51.680000+0000
2024,Maryland,Anne Arundel County,24003,122784,42,161161,55,94.0,2024-11-09T01:08:30.143000+0000
2024,Maryland,Baltimore County,24005,138798,38,218960,59,88.0,2024-11-09T00:21:35.137000+0000
2024,Maryland,Calvert County,24009,28274,55,22185,43,95.0,2024-11-08T16:34:40.100000+0000
2024,Maryland,Caroline County,24011,10772,68,4684,30,95.0,2024-11-07T23:53:50.807000+0000
2024,Maryland,Carroll County,24013,60617,61,35215,36,95.0,2024-11-08T17:05:35.150000+0000
2024,Maryland,Cecil County,24015,31592,67,14952,32,95.0,2024-11-08T02:51:35.170000+0000
2024,Maryland,Charles County,24017,23849,30,54726,68,90.0,2024-11-08T17:05:35.290000+0000
2024,Maryland,Dorchester County,24019,8941,57,6344,41,95.0,2024-11-08T23:46:30.277000+0000
2024,Maryland,Frederick County,24021,64249,46,71474,51,95.0,2024-11-08T16:34:35.257000+0000
2024,Maryland,Garrett County,24023,11665,76,3320,22,95.0,2024-11-07T23:53:51.597000+0000
2024,Maryland,Harford County,24025,79995,56,57765,41,95.0,2024-11-07T23:53:50.820000+0000
2024,Maryland,Howard County,24027,46972,28,116075,68,92.0,2024-11-08T01:44:40.163000+0000
2024,Maryland,Kent County,24029,5336,51,4844,47,95.0,2024-11-07T23:53:51.610000+0000
2024,Maryland,Montgomery County,24031,96536,23,305018,73,77.0,2024-11-08T02:50:40.100000+0000
2024,Maryland,Prince George's County,24033,38151,11,288759,86,79.0,2024-11-09T01:01:35.103000+0000
2024,Maryland,Queen Anne's County,24035,19640,63,10837,35,95.0,2024-11-07T23:53:50.973000+0000
2024,Maryland,St. Mary's County,24037,32670,57,22623,40,95.0,2024-11-08T23:46:30.107000+0000
2024,Maryland,Somerset County,24039,5480,60,3316,37,89.0,2024-11-07T23:53:51.490000+0000
2024,Maryland,Talbot County,24041,10730,50,10297,48,95.0,2024-11-07T23:53:51.433000+0000
2024,Maryland,Washington County,24043,42545,61,25768,37,95.0,2024-11-07T23:53:51.500000+0000
2024,Maryland,Wicomico County,24045,23048,52,20057,45,95.0,2024-11-07T23:53:51.380000+0000
2024,Maryland,Worcester County,24047,18877,60,11761,38,95.0,2024-11-07T23:53:51.640000+0000
2024,Maryland,Baltimore city,24510,23569,12,162022,85,80.0,2024-11-08T23:46:30.090000+0000
