electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Maine,Androscoggin County,23001,30540,52,26983,46,99.0,2024-11-07T20:38:45.087000+0000
2024,Maine,Aroostook County,23003,20051,62,11970,37,90.0,2024-11-08T14:56:55.093000+0000
2024,Maine,Cumberland County,23005,61283,32,128191,66,99.0,2024-11-07T16:48:10.107000+0000
2024,Maine,Franklin County,23007,8448,53,7201,45,91.0,2024-11-08T21:15:25.153000+0000
2024,Maine,Hancock County,23009,14183,42,18875,56,95.0,2024-11-07T02:27:00.087000+0000
2024,Maine,Kennebec County,23011,37410,50,35798,48,99.0,2024-11-07T13:08:50.103000+0000
2024,Maine,Knox County,23013,10262,40,15076,58,99.0,2024-11-08T17:20:10.093000+0000
2024,Maine,Lincoln County,23015,10410,43,13110,55,99.0,2024-11-07T21:05:25.123000+0000
2024,Maine,Oxford County,23017,16171,56,12440,43,86.0,2024-11-07T20:41:45.213000+0000
2024,Maine,Penobscot County,23019,44413,54,36781,44,96.0,2024-11-08T20:19:00.090000+0000
2024,Maine,Piscataquis County,23021,5767,64,3104,34,91.0,2024-11-07T00:27:35.110000+0000
2024,Maine,Sagadahoc County,23023,9917,41,13982,57,99.0,2024-11-06T18:20:55.107000+0000
2024,Maine,Somerset County,23025,15821,62,9097,36,91.0,2024-11-07T15:05:00.120000+0000
2024,Maine,Waldo County,23027,10822,46,12081,51,96.0,2024-11-08T17:03:30.103000+0000
2024,Maine,Washington County,23029,8065,62,4807,37,75.0,2024-11-08T15:06:10.087000+0000
2024,Maine,York County,23031,60208,44,73687,53,99.0,2024-11-07T20:30:55.087000+0000
