electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,Michigan,Alcona County,26001,4848,69,2142,30,100.0,2020-11-29T18:43:04.213000+0000
2020,Michigan,Alger County,26003,3014,59,2053,40,100.0,2020-11-29T18:43:38.290000+0000
2020,Michigan,Allegan County,26005,41392,62,24449,36,100.0,2020-11-29T18:44:14.297000+0000
2020,Michigan,Alpena County,26007,10686,63,6000,35,100.0,2020-11-29T18:44:36.350000+0000
2020,Michigan,Antrim County,26009,9748,61,5960,37,100.0,2020-11-29T18:45:02.420000+0000
2020,Michigan,Arenac County,26011,5928,67,2774,31,100.0,2020-11-29T18:45:44.533000+0000
2020,Michigan,Baraga County,26013,2512,62,1478,37,100.0,2020-11-29T18:46:10.563000+0000
2020,Michigan,Barry County,26015,23471,65,11797,33,100.0,2020-11-29T18:46:36.613000+0000
2020,Michigan,Bay County,26017,33125,55,26151,43,100.0,2020-11-29T18:47:18.713000+0000
2020,Michigan,Benzie County,26019,6601,54,5480,45,100.0,2020-11-30T03:04:52.220000+0000
2020,Michigan,Berrien County,26021,43519,53,37438,45,100.0,2020-11-30T04:08:01.237000+0000
2020,Michigan,Branch County,26023,14064,69,6159,30,100.0,2020-11-30T03:05:52.383000+0000
2020,Michigan,Calhoun County,26025,36221,55,28877,44,100.0,2020-11-30T03:06:14.380000+0000
2020,Michigan,Cass County,26027,16699,64,9130,35,100.0,2020-11-30T03:06:38.487000+0000
2020,Michigan,Charlevoix County,26029,9841,58,6939,41,100.0,2020-11-30T03:07:00.473000+0000
2020,Michigan,Cheboygan County,26031,10186,64,5437,34,100.0,2020-11-30T03:07:18.537000+0000
2020,Michigan,Chippewa County,26033,10681,61,6648,38,100.0,2020-11-30T03:07:40.597000+0000
2020,Michigan,Clare County,26035,10861,67,5199,32,100.0,2020-11-30T03:07:54.620000+0000
2020,Michigan,Clinton County,26037,25098,52,21968,46,100.0,2020-11-30T03:08:22.660000+0000
2020,Michigan,Crawford County,26039,5087,65,2672,34,100.0,2020-11-30T03:08:34.717000+0000
2020,Michigan,Delta County,26041,13207,62,7606,36,100.0,2020-11-30T03:08:54.737000+0000
2020,Michigan,Dickinson County,26043,9617,66,4744,33,100.0,2020-11-30T03:09:08.793000+0000
2020,Michigan,Eaton County,26045,31798,49,31299,49,100.0,2020-11-30T03:09:30.817000+0000
2020,Michigan,Emmet County,26047,12135,55,9662,44,100.0,2020-11-30T03:09:46.820000+0000
2020,Michigan,Genesee County,26049,98714,45,119390,54,100.0,2020-11-30T04:07:15.063000+0000
2020,Michigan,Gladwin County,26051,9893,68,4524,31,100.0,2020-11-30T03:10:26.937000+0000
2020,Michigan,Gogebic County,26053,4600,56,3570,43,100.0,2020-11-30T03:10:46.933000+0000
2020,Michigan,Grand Traverse County,26055,30502,51,28683,48,100.0,2020-11-30T03:11:07.020000+0000
2020,Michigan,Gratiot County,26057,12102,63,6693,35,100.0,2020-11-30T04:05:48.770000+0000
2020,Michigan,Hillsdale County,26059,17037,73,5883,25,100.0,2020-11-30T03:11:45.043000+0000
2020,Michigan,Houghton County,26061,10378,56,7750,42,100.0,2020-11-30T03:12:03.103000+0000
2020,Michigan,Huron County,26063,12731,69,5490,30,100.0,2020-11-30T03:12:23.170000+0000
2020,Michigan,Ingham County,26065,47639,33,94212,65,100.0,2020-11-30T04:09:45.413000+0000
2020,Michigan,Ionia County,26067,20657,64,10901,34,100.0,2020-11-30T03:12:53.230000+0000
2020,Michigan,Iosco County,26069,9759,64,5373,35,100.0,2020-11-30T03:13:09.250000+0000
2020,Michigan,Iron County,26071,4216,62,2493,37,100.0,2020-11-30T03:13:27.293000+0000
2020,Michigan,Isabella County,26073,14815,50,14072,48,100.0,2020-11-30T03:13:43.317000+0000
2020,Michigan,Jackson County,26075,47372,59,31995,40,100.0,2020-11-30T04:08:51.317000+0000
2020,Michigan,Kalamazoo County,26077,56823,40,83686,58,100.0,2020-11-30T03:14:19.433000+0000
2020,Michigan,Kalkaska County,26079,7436,70,3002,28,100.0,2020-11-30T03:14:43.467000+0000
2020,Michigan,Kent County,26081,165741,46,187915,52,100.0,2020-11-30T04:05:02.700000+0000
2020,Michigan,Keweenaw County,26083,862,55,672,43,100.0,2020-11-30T03:15:29.557000+0000
2020,Michigan,Lake County,26085,3946,62,2288,36,100.0,2020-11-30T03:15:47.620000+0000
2020,Michigan,Lapeer County,26087,35482,67,16367,31,100.0,2020-11-30T03:16:03.697000+0000
2020,Michigan,Leelanau County,26089,7916,47,8795,52,100.0,2020-11-30T04:03:50.537000+0000
2020,Michigan,Lenawee County,26091,31541,59,20918,39,100.0,2020-11-30T03:16:51.760000+0000
2020,Michigan,Livingston County,26093,76982,61,48220,38,100.0,2020-11-30T03:17:03.767000+0000
2020,Michigan,Luce County,26095,2109,70,842,28,100.0,2020-11-30T03:17:27.820000+0000
2020,Michigan,Mackinac County,26097,4304,61,2632,38,100.0,2020-11-30T03:17:39.897000+0000
2020,Michigan,Macomb County,26099,263863,53,223952,45,100.0,2020-11-30T04:10:57.640000+0000
2020,Michigan,Manistee County,26101,8321,57,6107,42,100.0,2020-11-30T03:18:09.953000+0000
2020,Michigan,Marquette County,26103,16286,44,20465,55,100.0,2020-11-30T04:03:40.450000+0000
2020,Michigan,Mason County,26105,10207,59,6802,39,100.0,2020-11-30T03:18:51.993000+0000
2020,Michigan,Mecosta County,26107,13267,63,7375,35,100.0,2020-11-30T03:19:10.077000+0000
2020,Michigan,Menominee County,26109,8117,64,4316,34,100.0,2020-11-30T03:19:22.077000+0000
2020,Michigan,Midland County,26111,27675,56,20493,42,100.0,2020-11-30T03:19:38.167000+0000
2020,Michigan,Missaukee County,26113,6648,76,1967,23,100.0,2020-11-30T03:19:52.170000+0000
2020,Michigan,Monroe County,26115,52710,61,32975,38,100.0,2020-11-30T04:08:55.307000+0000
2020,Michigan,Montcalm County,26117,21815,68,9703,30,100.0,2020-11-30T03:20:22.213000+0000
2020,Michigan,Montmorency County,26119,4171,71,1628,28,100.0,2020-11-30T03:20:36.270000+0000
2020,Michigan,Muskegon County,26121,45133,49,45643,49,100.0,2020-11-30T03:20:48.293000+0000
2020,Michigan,Newaygo County,26123,18857,69,7873,29,100.0,2020-11-30T03:21:02.320000+0000
2020,Michigan,Oakland County,26125,325971,42,434148,56,100.0,2020-11-30T04:13:09.903000+0000
2020,Michigan,Oceana County,26127,8892,63,4944,35,100.0,2020-11-30T03:21:36.427000+0000
