electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Mississippi,Adams County,28001,3967,43,5153,56,70.0,2024-11-06T02:43:00.430000+0000
2024,Mississippi,Alcorn County,28003,10808,84,1927,15,86.0,2024-11-06T03:00:25.120000+0000
2024,Mississippi,Amite County,28005,4443,65,2230,33,95.0,2024-11-06T17:22:05.090000+0000
2024,Mississippi,Attala County,28007,4721,61,2923,38,92.0,2024-11-08T14:38:05.117000+0000
2024,Mississippi,Benton County,28009,2526,65,1314,34,95.0,2024-11-06T03:57:00.103000+0000
2024,Mississippi,Bolivar County,28011,3874,38,6343,62,79.0,2024-11-07T13:09:15.087000+0000
2024,Mississippi,Calhoun County,28013,4413,74,1530,26,96.0,2024-11-06T04:30:55.103000+0000
2024,Mississippi,Carroll County,28015,3056,72,1157,27,78.0,2024-11-06T03:03:20.430000+0000
2024,Mississippi,Chickasaw County,28017,4075,56,3088,43,93.0,2024-11-08T18:15:25.097000+0000
2024,Mississippi,Choctaw County,28019,2847,74,950,25,95.0,2024-11-06T19:11:45.107000+0000
2024,Mississippi,Claiborne County,28021,0,0,0,0,0.0,2024-11-05T04:36:39.167000+0000
2024,Mississippi,Clarke County,28023,5042,67,2403,32,95.0,2024-11-07T16:12:00.147000+0000
2024,Mississippi,Clay County,28025,3979,44,4924,55,93.0,2024-11-06T18:33:50.113000+0000
2024,Mississippi,Coahoma County,28027,2008,30,4711,69,84.0,2024-11-07T21:52:55.090000+0000
2024,Mississippi,Copiah County,28029,6076,53,5352,46,94.0,2024-11-06T16:28:25.093000+0000
2024,Mississippi,Covington County,28031,5790,66,2906,33,95.0,2024-11-06T17:07:20.097000+0000
2024,Mississippi,DeSoto County,28033,47656,61,28663,37,95.0,2024-11-07T12:58:00.193000+0000
2024,Mississippi,Forrest County,28035,16106,58,10973,40,91.0,2024-11-06T15:19:40.280000+0000
2024,Mississippi,Franklin County,28037,2780,69,1205,30,95.0,2024-11-08T16:38:55.117000+0000
2024,Mississippi,George County,28039,9712,89,1116,10,99.0,2024-11-06T03:44:40.157000+0000
2024,Mississippi,Greene County,28041,4769,84,833,15,95.0,2024-11-08T22:29:10.117000+0000
2024,Mississippi,Grenada County,28043,5564,58,3970,41,92.0,2024-11-06T04:53:05.120000+0000
2024,Mississippi,Hancock County,28045,16628,79,4247,20,95.0,2024-11-06T05:56:05.143000+0000
2024,Mississippi,Harrison County,28047,40715,65,20663,33,86.0,2024-11-08T20:41:20.103000+0000
2024,Mississippi,Hinds County,28049,18583,25,53953,73,78.0,2024-11-06T04:59:50.093000+0000
2024,Mississippi,Holmes County,28051,1090,19,4638,80,75.0,2024-11-08T14:35:20.110000+0000
2024,Mississippi,Humphreys County,28053,982,29,2426,70,86.0,2024-11-08T19:38:30.123000+0000
2024,Mississippi,Issaquena County,28055,296,48,287,46,95.0,2024-11-06T18:00:35.123000+0000
2024,Mississippi,Itawamba County,28057,9522,90,1027,10,95.0,2024-11-06T16:03:05.120000+0000
2024,Mississippi,Jackson County,28059,35739,69,15180,30,95.0,2024-11-08T22:31:15.120000+0000
