electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,North Carolina,Alamance County,37001,47629,54,40180,45,99.0,2024-11-06T05:37:00.087000+0000
2024,North Carolina,Alexander County,37003,16356,80,4043,20,99.0,2024-11-06T01:44:57.727000+0000
2024,North Carolina,Alleghany County,37005,4891,75,1532,24,99.0,2024-11-06T01:55:51.677000+0000
2024,North Carolina,Anson County,37007,5510,51,5232,48,99.0,2024-11-08T18:11:40.210000+0000
2024,North Carolina,Ashe County,37009,11548,72,4406,27,97.0,2024-11-08T19:32:00.580000+0000
2024,North Carolina,Avery County,37011,7087,76,2201,24,95.0,2024-11-07T17:28:33.653000+0000
2024,North Carolina,Beaufort County,37013,17208,65,8962,34,99.0,2024-11-06T02:42:05.890000+0000
2024,North Carolina,Bertie County,37015,3817,42,5212,57,97.0,2024-11-08T19:32:00.413000+0000
2024,North Carolina,Bladen County,37017,10009,60,6582,40,99.0,2024-11-07T17:28:33.770000+0000
2024,North Carolina,Brunswick County,37019,67301,62,40316,37,99.0,2024-11-06T03:21:00.130000+0000
2024,North Carolina,Buncombe County,37021,58544,37,97669,62,99.0,2024-11-07T17:28:32.937000+0000
2024,North Carolina,Burke County,37023,32006,70,13173,29,97.0,2024-11-06T04:06:50.383000+0000
2024,North Carolina,Cabarrus County,37025,63508,53,54212,45,99.0,2024-11-08T03:35:35.180000+0000
2024,North Carolina,Caldwell County,37027,32872,76,10083,23,99.0,2024-11-08T19:32:00.510000+0000
2024,North Carolina,Camden County,37029,4698,75,1513,24,99.0,2024-11-06T02:07:00.297000+0000
2024,North Carolina,Carteret County,37031,32254,71,12699,28,99.0,2024-11-06T05:46:40.240000+0000
2024,North Carolina,Caswell County,37033,7441,62,4486,37,95.0,2024-11-06T02:25:57.430000+0000
2024,North Carolina,Catawba County,37035,59370,68,26425,31,99.0,2024-11-08T19:32:00.430000+0000
2024,North Carolina,Chatham County,37037,22408,43,28818,55,99.0,2024-11-06T03:52:50.170000+0000
2024,North Carolina,Cherokee County,37039,13825,78,3665,21,99.0,2024-11-06T02:33:01.427000+0000
2024,North Carolina,Chowan County,37041,4581,61,2880,38,92.0,2024-11-06T02:47:10.143000+0000
2024,North Carolina,Clay County,37043,5742,75,1893,25,95.0,2024-11-06T02:20:01.407000+0000
2024,North Carolina,Cleveland County,37045,34451,67,16463,32,95.0,2024-11-06T03:19:55.080000+0000
2024,North Carolina,Columbus County,37047,17555,67,8602,33,95.0,2024-11-06T02:22:55.440000+0000
2024,North Carolina,Craven County,37049,33220,60,21747,39,95.0,2024-11-06T05:45:55.117000+0000
2024,North Carolina,Cumberland County,37051,59116,43,77254,56,90.0,2024-11-06T06:22:50.087000+0000
2024,North Carolina,Currituck County,37053,13138,74,4561,26,95.0,2024-11-06T03:48:21.360000+0000
2024,North Carolina,Dare County,37055,14719,59,10010,40,95.0,2024-11-07T17:28:33.610000+0000
2024,North Carolina,Davidson County,37057,67497,73,23841,26,95.0,2024-11-06T03:21:55.220000+0000
2024,North Carolina,Davie County,37059,19284,73,6931,26,95.0,2024-11-07T17:28:32.980000+0000
2024,North Carolina,Duplin County,37061,14622,64,8012,35,95.0,2024-11-06T03:54:20.293000+0000
2024,North Carolina,Durham County,37063,32507,18,142687,80,95.0,2024-11-06T04:06:51.793000+0000
2024,North Carolina,Edgecombe County,37065,9305,38,14824,61,95.0,2024-11-06T03:03:55.707000+0000
2024,North Carolina,Forsyth County,37067,86353,43,112038,56,95.0,2024-11-06T04:55:20.120000+0000
2024,North Carolina,Franklin County,37069,23827,56,18040,43,99.0,2024-11-06T03:15:52.763000+0000
2024,North Carolina,Gaston County,37071,73422,62,43716,37,95.0,2024-11-06T03:12:55.213000+0000
2024,North Carolina,Gates County,37073,3517,60,2251,39,95.0,2024-11-06T03:21:56.463000+0000
2024,North Carolina,Graham County,37075,3857,81,839,18,95.0,2024-11-06T01:08:50.390000+0000
2024,North Carolina,Granville County,37077,17279,54,14235,45,95.0,2024-11-06T02:36:05.327000+0000
2024,North Carolina,Greene County,37079,4931,59,3402,41,95.0,2024-11-06T02:23:50.330000+0000
2024,North Carolina,Guilford County,37081,108610,38,170034,60,95.0,2024-11-06T05:52:00.113000+0000
2024,North Carolina,Halifax County,37083,9727,41,13951,59,95.0,2024-11-06T03:25:00.330000+0000
2024,North Carolina,Harnett County,37085,39057,62,23103,37,95.0,2024-11-06T03:33:00.467000+0000
2024,North Carolina,Haywood County,37087,23280,62,13854,37,99.0,2024-11-06T03:40:25.397000+0000
2024,North Carolina,Henderson County,37089,39193,57,29094,42,99.0,2024-11-06T04:24:00.107000+0000
