electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Nebraska,Adams County,31001,9982,70,4070,29,95.0,2024-11-06T05:51:20.197000+0000
2024,Nebraska,Antelope County,31003,3017,88,396,12,95.0,2024-11-06T04:56:15.187000+0000
2024,Nebraska,Arthur County,31005,264,94,17,6,95.0,2024-11-06T03:21:35.343000+0000
2024,Nebraska,Banner County,31007,348,90,34,9,95.0,2024-11-06T03:45:20.803000+0000
2024,Nebraska,Blaine County,31009,250,86,37,13,95.0,2024-11-06T04:06:30.400000+0000
2024,Nebraska,Boone County,31011,2496,83,495,16,95.0,2024-11-06T04:11:20.380000+0000
2024,Nebraska,Box Butte County,31013,3781,78,1033,21,95.0,2024-11-06T04:29:25.090000+0000
2024,Nebraska,Boyd County,31015,938,87,132,12,95.0,2024-11-06T04:06:30.443000+0000
2024,Nebraska,Brown County,31017,1422,87,199,12,95.0,2024-11-06T03:00:20.510000+0000
2024,Nebraska,Buffalo County,31019,16882,72,6325,27,95.0,2024-11-06T06:21:20.280000+0000
2024,Nebraska,Burt County,31021,2618,72,982,27,95.0,2024-11-06T05:16:15.673000+0000
2024,Nebraska,Butler County,31023,3623,79,904,20,95.0,2024-11-06T06:36:10.147000+0000
2024,Nebraska,Cass County,31025,10468,68,4693,30,95.0,2024-11-06T06:56:20.337000+0000
2024,Nebraska,Cedar County,31027,4141,84,702,14,95.0,2024-11-06T05:11:25.140000+0000
2024,Nebraska,Chase County,31029,1637,88,200,11,95.0,2024-11-06T03:41:15.620000+0000
2024,Nebraska,Cherry County,31031,2676,88,349,11,99.0,2024-11-06T02:11:20.270000+0000
2024,Nebraska,Cheyenne County,31033,3655,82,778,17,99.0,2024-11-06T05:31:20.490000+0000
2024,Nebraska,Clay County,31035,2669,81,577,17,99.0,2024-11-06T04:12:50.177000+0000
2024,Nebraska,Colfax County,31037,2634,75,842,24,99.0,2024-11-06T05:36:25.223000+0000
2024,Nebraska,Cuming County,31039,3499,80,857,20,95.0,2024-11-06T07:21:15.190000+0000
2024,Nebraska,Custer County,31041,4996,86,783,13,99.0,2024-11-06T05:40:15.193000+0000
2024,Nebraska,Dakota County,31043,3891,64,2074,34,93.0,2024-11-06T06:05:15.183000+0000
2024,Nebraska,Dawes County,31045,2782,73,986,26,94.0,2024-11-06T07:51:10.090000+0000
2024,Nebraska,Dawson County,31047,6258,74,2090,25,95.0,2024-11-06T09:35:10.143000+0000
2024,Nebraska,Deuel County,31049,843,83,151,15,99.0,2024-11-06T04:31:25.220000+0000
2024,Nebraska,Dixon County,31051,2271,78,573,20,99.0,2024-11-06T03:41:15.463000+0000
2024,Nebraska,Dodge County,31053,10631,66,5367,33,95.0,2024-11-06T11:20:15.093000+0000
2024,Nebraska,Douglas County,31055,118228,44,144432,54,95.0,2024-11-08T23:03:20.143000+0000
2024,Nebraska,Dundy County,31057,828,89,96,10,99.0,2024-11-06T03:51:25.987000+0000
2024,Nebraska,Fillmore County,31059,2292,77,658,22,99.0,2024-11-06T04:51:15.360000+0000
2024,Nebraska,Franklin County,31061,1347,85,235,15,95.0,2024-11-06T05:45:10.113000+0000
2024,Nebraska,Frontier County,31063,1206,86,185,13,99.0,2024-11-06T03:45:20.570000+0000
2024,Nebraska,Furnas County,31065,2023,85,358,15,95.0,2024-11-06T05:16:15.727000+0000
2024,Nebraska,Gage County,31067,7488,69,3232,30,99.0,2024-11-06T05:21:15.420000+0000
2024,Nebraska,Garden County,31069,949,85,162,15,99.0,2024-11-06T02:11:20.403000+0000
2024,Nebraska,Garfield County,31071,891,88,115,11,99.0,2024-11-06T03:00:20.570000+0000
2024,Nebraska,Gosper County,31073,907,81,203,18,99.0,2024-11-08T23:03:20.437000+0000
2024,Nebraska,Grant County,31075,351,96,15,4,99.0,2024-11-06T04:01:20.157000+0000
