electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,New Hampshire,Belknap County,33001,22765,57,17469,43,99.0,2024-11-09T00:25:55.100000+0000
2024,New Hampshire,Carroll County,33003,17349,51,16769,49,99.0,2024-11-09T00:33:50.110000+0000
2024,New Hampshire,Cheshire County,33005,20162,45,24578,55,99.0,2024-11-09T00:37:30.103000+0000
2024,New Hampshire,Coos County,33007,9728,57,7353,43,99.0,2024-11-09T00:37:50.100000+0000
2024,New Hampshire,Grafton County,33009,21910,40,32995,60,99.0,2024-11-09T00:36:25.103000+0000
2024,New Hampshire,Hillsborough County,33011,112059,49,118777,51,98.0,2024-11-09T00:36:45.100000+0000
2024,New Hampshire,Merrimack County,33013,43365,47,48181,53,99.0,2024-11-09T00:38:05.097000+0000
2024,New Hampshire,Rockingham County,33015,102408,51,97470,49,98.0,2024-11-09T00:38:30.100000+0000
2024,New Hampshire,Strafford County,33017,33163,44,42374,56,99.0,2024-11-09T00:28:40.100000+0000
2024,New Hampshire,Sullivan County,33019,12484,50,12317,50,99.0,2024-11-09T00:35:45.097000+0000
