electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,New Jersey,Atlantic County,34001,64176,51,59293,47,90.0,2024-11-06T05:28:00.110000+0000
2024,New Jersey,Bergen County,34003,212317,47,227601,51,94.0,2024-11-08T14:45:15.113000+0000
2024,New Jersey,Burlington County,34005,91864,41,127444,57,83.0,2024-11-08T14:48:55.100000+0000
2024,New Jersey,Camden County,34007,83465,35,148405,63,92.0,2024-11-08T14:52:15.097000+0000
2024,New Jersey,Cape May County,34009,31342,59,20760,39,80.0,2024-11-08T14:55:00.140000+0000
2024,New Jersey,Cumberland County,34011,27965,52,25666,47,95.0,2024-11-08T15:08:30.127000+0000
2024,New Jersey,Essex County,34013,81009,27,214437,72,95.0,2024-11-08T21:01:05.157000+0000
2024,New Jersey,Gloucester County,34015,81788,50,77251,48,94.0,2024-11-08T15:21:55.110000+0000
2024,New Jersey,Hudson County,34017,76646,34,138896,62,95.0,2024-11-08T15:26:20.093000+0000
2024,New Jersey,Hunterdon County,34019,41875,52,36355,45,82.0,2024-11-08T15:30:10.107000+0000
2024,New Jersey,Mercer County,34021,49862,32,100832,66,88.0,2024-11-08T15:37:05.090000+0000
2024,New Jersey,Middlesex County,34023,153495,44,180795,52,95.0,2024-11-08T15:40:10.120000+0000
2024,New Jersey,Monmouth County,34025,193090,55,151428,43,85.0,2024-11-08T15:42:40.107000+0000
2024,New Jersey,Morris County,34027,138924,51,128766,47,86.0,2024-11-08T15:45:00.100000+0000
2024,New Jersey,Ocean County,34029,222812,67,103760,31,89.0,2024-11-08T15:47:30.130000+0000
2024,New Jersey,Passaic County,34031,95620,50,89086,47,95.0,2024-11-06T05:28:00.133000+0000
2024,New Jersey,Salem County,34033,18004,59,11972,39,90.0,2024-11-08T21:06:30.110000+0000
2024,New Jersey,Somerset County,34035,70130,43,88926,54,84.0,2024-11-06T22:28:50.107000+0000
2024,New Jersey,Sussex County,34037,51371,62,30104,36,89.0,2024-11-06T04:17:00.253000+0000
2024,New Jersey,Union County,34039,86323,37,142198,61,99.0,2024-11-08T20:34:05.140000+0000
2024,New Jersey,Warren County,34041,34691,60,22040,38,91.0,2024-11-08T15:58:55.100000+0000
