electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,New Mexico,Bernalillo County,35001,118155,38,183447,59,95.0,2024-11-09T00:13:15.147000+0000
2024,New Mexico,Catron County,35003,1752,74,571,24,99.0,2024-11-06T23:35:25.537000+0000
2024,New Mexico,Chaves County,35005,15894,72,5941,27,99.0,2024-11-08T02:45:30.433000+0000
2024,New Mexico,Cibola County,35006,4311,48,4450,50,99.0,2024-11-09T00:13:15.450000+0000
2024,New Mexico,Colfax County,35007,3252,56,2436,42,99.0,2024-11-06T05:03:35.120000+0000
2024,New Mexico,Curry County,35009,10712,70,4228,28,99.0,2024-11-09T00:13:15.100000+0000
2024,New Mexico,De Baca County,35011,649,75,206,24,99.0,2024-11-06T05:27:50.110000+0000
2024,New Mexico,Dona Ana County,35013,37445,44,45543,54,95.0,2024-11-09T00:13:15.483000+0000
2024,New Mexico,Eddy County,35015,18141,77,5032,21,99.0,2024-11-09T00:13:15.550000+0000
2024,New Mexico,Grant County,35017,6580,46,7301,51,99.0,2024-11-08T02:45:30.683000+0000
2024,New Mexico,Guadalupe County,35019,945,49,959,50,99.0,2024-11-06T05:24:30.090000+0000
2024,New Mexico,Harding County,35021,297,70,128,30,87.0,2024-11-08T06:15:00.140000+0000
2024,New Mexico,Hidalgo County,35023,1140,61,705,38,95.0,2024-11-08T02:45:30.160000+0000
2024,New Mexico,Lea County,35025,16998,80,3929,19,95.0,2024-11-06T23:35:25.170000+0000
2024,New Mexico,Lincoln County,35027,6942,68,3033,30,95.0,2024-11-08T02:45:30.660000+0000
2024,New Mexico,Los Alamos County,35028,4019,34,7575,63,95.0,2024-11-06T05:26:40.143000+0000
2024,New Mexico,Luna County,35029,4698,58,3176,39,99.0,2024-11-09T00:13:15.250000+0000
2024,New Mexico,McKinley County,35031,9346,36,15661,61,95.0,2024-11-09T00:13:15.287000+0000
2024,New Mexico,Mora County,35033,1007,41,1432,58,99.0,2024-11-06T04:26:40.180000+0000
2024,New Mexico,Otero County,35035,15117,62,8582,35,95.0,2024-11-09T00:13:15.700000+0000
2024,New Mexico,Quay County,35037,2570,70,1055,29,99.0,2024-11-06T23:35:35.187000+0000
2024,New Mexico,Rio Arriba County,35039,6268,39,9373,59,95.0,2024-11-08T02:45:30.183000+0000
2024,New Mexico,Roosevelt County,35041,4670,71,1803,27,99.0,2024-11-06T05:17:35.090000+0000
2024,New Mexico,Sandoval County,35043,36364,46,41009,52,95.0,2024-11-09T00:13:15.130000+0000
2024,New Mexico,San Juan County,35045,34264,65,17464,33,99.0,2024-11-09T00:13:15.350000+0000
2024,New Mexico,San Miguel County,35047,3873,35,6937,63,99.0,2024-11-06T05:06:35.130000+0000
2024,New Mexico,Santa Fe County,35049,20347,25,60234,73,95.0,2024-11-09T00:13:15.420000+0000
2024,New Mexico,Sierra County,35051,3473,58,2332,39,99.0,2024-11-06T23:35:25.123000+0000
2024,New Mexico,Socorro County,35053,3651,51,3384,47,95.0,2024-11-06T23:35:35.200000+0000
2024,New Mexico,Taos County,35055,4138,25,12038,72,99.0,2024-11-09T00:13:15.363000+0000
2024,New Mexico,Torrance County,35057,4879,68,2144,30,99.0,2024-11-06T23:35:25.143000+0000
2024,New Mexico,Union County,35059,1247,75,378,23,99.0,2024-11-06T23:35:25.590000+0000
2024,New Mexico,Valencia County,35061,19040,57,13602,41,95.0,2024-11-06T23:35:25.467000+0000
