electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Nevada,Churchill County,32001,9713,74,3108,24,95.0,2024-11-07T22:34:10.147000+0000
2024,Nevada,Clark County,32003,478805,48,504828,50,95.0,2024-11-08T05:14:50.107000+0000
2024,Nevada,Douglas County,32005,22845,65,11356,33,95.0,2024-11-08T05:40:10.170000+0000
2024,Nevada,Elko County,32007,16752,78,4406,20,95.0,2024-11-09T00:03:15.157000+0000
2024,Nevada,Esmeralda County,32009,371,82,69,15,70.0,2024-11-06T06:02:15.260000+0000
2024,Nevada,Eureka County,32011,860,88,97,10,88.0,2024-11-06T07:00:15.213000+0000
2024,Nevada,Humboldt County,32013,5893,76,1654,21,89.0,2024-11-08T22:40:20.137000+0000
2024,Nevada,Lander County,32015,2165,80,475,18,86.0,2024-11-09T00:07:10.127000+0000
2024,Nevada,Lincoln County,32017,2005,85,295,13,77.0,2024-11-06T06:24:50.123000+0000
2024,Nevada,Lyon County,32019,23167,71,8658,27,95.0,2024-11-08T05:34:20.127000+0000
2024,Nevada,Mineral County,32021,1518,67,709,31,85.0,2024-11-06T22:00:10.153000+0000
2024,Nevada,Nye County,32023,16914,71,6630,28,88.0,2024-11-08T00:39:10.130000+0000
2024,Nevada,Pershing County,32027,1718,77,478,21,89.0,2024-11-06T06:24:00.170000+0000
2024,Nevada,Storey County,32029,1983,68,865,30,80.0,2024-11-06T06:02:15.360000+0000
2024,Nevada,Washoe County,32031,116190,49,115127,49,91.0,2024-11-08T21:26:30.160000+0000
2024,Nevada,White Pine County,32033,3272,77,865,20,86.0,2024-11-06T05:59:20.147000+0000
2024,Nevada,Carson City,32510,15839,55,12330,43,91.0,2024-11-08T23:59:10.157000+0000
