electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,New York,Albany County,36001,51081,33,99474,65,100.0,2020-12-17T18:17:02.673000+0000
2020,New York,Allegany County,36003,14135,68,6048,29,100.0,2020-12-17T18:17:02.727000+0000
2020,New York,Bronx County,36005,67740,16,355374,83,100.0,2020-12-17T18:17:02.777000+0000
2020,New York,Broome County,36007,43800,47,47010,51,100.0,2020-12-04T16:53:28.667000+0000
2020,New York,Cattaraugus County,36009,22155,64,11879,34,100.0,2020-12-17T18:17:02.890000+0000
2020,New York,Cayuga County,36011,19512,54,16149,44,100.0,2020-12-04T16:37:18.983000+0000
2020,New York,Chautauqua County,36013,34853,59,23087,39,100.0,2020-12-17T18:17:02.920000+0000
2020,New York,Chemung County,36015,21922,56,16636,42,100.0,2020-12-04T16:34:20.683000+0000
2020,New York,Chenango County,36017,13482,61,8290,37,100.0,2020-12-04T16:55:32.997000+0000
2020,New York,Clinton County,36019,16514,47,18364,52,100.0,2020-12-04T16:22:31.560000+0000
2020,New York,Columbia County,36021,14464,41,20386,57,100.0,2020-12-04T16:09:34.517000+0000
2020,New York,Cortland County,36023,10789,50,10369,48,100.0,2020-12-03T23:35:22.787000+0000
2020,New York,Delaware County,36025,13387,58,9143,40,100.0,2020-12-17T18:17:02.967000+0000
2020,New York,Dutchess County,36027,66872,44,81443,54,100.0,2020-12-17T18:17:03.010000+0000
2020,New York,Erie County,36029,197527,42,267174,57,100.0,2020-12-04T16:41:03.380000+0000
2020,New York,Essex County,36031,8976,47,9947,52,100.0,2020-12-17T18:17:03.067000+0000
2020,New York,Franklin County,36033,9668,50,9253,48,100.0,2020-12-04T16:23:05.600000+0000
2020,New York,Fulton County,36035,15378,65,7931,33,100.0,2020-12-17T18:17:03.110000+0000
2020,New York,Genesee County,36037,18876,65,9625,33,100.0,2020-12-04T16:41:21.450000+0000
2020,New York,Greene County,36039,14271,57,10346,41,100.0,2020-12-17T18:17:03.150000+0000
2020,New York,Hamilton County,36041,2225,64,1178,34,100.0,2020-12-04T16:23:41.757000+0000
2020,New York,Herkimer County,36043,18870,64,9937,34,100.0,2020-12-07T14:55:14.730000+0000
2020,New York,Jefferson County,36045,25629,58,17307,40,100.0,2020-12-17T18:17:03.200000+0000
2020,New York,Kings County,36047,202772,22,703310,77,100.0,2020-12-17T18:17:03.230000+0000
