electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Ohio,Adams County,39001,10056,83,2073,17,99.0,2024-11-06T03:39:30.710000+0000
2024,Ohio,Allen County,39003,32679,72,12527,27,99.0,2024-11-06T02:01:52.253000+0000
2024,Ohio,Ashland County,39005,19444,74,6457,25,99.0,2024-11-06T02:09:50.717000+0000
2024,Ohio,Ashtabula County,39007,27167,64,15152,35,99.0,2024-11-06T03:49:30.140000+0000
2024,Ohio,Athens County,39009,10854,44,13399,55,95.0,2024-11-06T03:00:50.160000+0000
2024,Ohio,Auglaize County,39011,20714,82,4391,17,99.0,2024-11-06T01:52:45.390000+0000
2024,Ohio,Belmont County,39013,22449,73,7987,26,99.0,2024-11-06T03:27:20.233000+0000
2024,Ohio,Brown County,39015,16918,80,4012,19,99.0,2024-11-06T04:23:05.743000+0000
2024,Ohio,Butler County,39017,112440,63,65291,36,67.0,2024-11-06T07:03:15.083000+0000
2024,Ohio,Carroll County,39019,10447,77,3038,22,99.0,2024-11-06T03:21:35.330000+0000
2024,Ohio,Champaign County,39021,15132,75,4890,24,99.0,2024-11-06T02:37:45.927000+0000
2024,Ohio,Clark County,39023,39636,64,21494,35,95.0,2024-11-06T05:11:10.477000+0000
2024,Ohio,Clermont County,39025,75731,67,35593,32,99.0,2024-11-06T03:50:30.240000+0000
2024,Ohio,Clinton County,39027,15648,77,4562,22,99.0,2024-11-06T04:44:25.123000+0000
2024,Ohio,Columbiana County,39029,35100,74,11957,25,95.0,2024-11-06T02:46:10.207000+0000
2024,Ohio,Coshocton County,39031,12080,76,3782,24,99.0,2024-11-06T02:22:45.127000+0000
2024,Ohio,Crawford County,39033,15113,76,4617,23,99.0,2024-11-06T05:16:05.407000+0000
2024,Ohio,Cuyahoga County,39035,190258,34,365761,65,99.0,2024-11-06T07:48:40.113000+0000
2024,Ohio,Darke County,39037,21875,82,4544,17,99.0,2024-11-06T03:18:30.133000+0000
2024,Ohio,Defiance County,39039,13098,69,5602,30,99.0,2024-11-06T02:38:05.133000+0000
2024,Ohio,Delaware County,39041,69057,53,60410,46,99.0,2024-11-06T02:57:40.523000+0000
2024,Ohio,Erie County,39043,22114,57,16623,43,95.0,2024-11-06T02:41:01.010000+0000
2024,Ohio,Fairfield County,39045,50878,62,31053,38,92.0,2024-11-08T06:23:25.140000+0000
