electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Oklahoma,Adair County,40001,5860,81,1289,18,99.0,2024-11-08T23:53:36.953000+0000
2024,Oklahoma,Alfalfa County,40003,1891,88,236,11,99.0,2024-11-06T02:14:50.490000+0000
2024,Oklahoma,Atoka County,40005,4832,85,779,14,99.0,2024-11-08T23:53:35.640000+0000
2024,Oklahoma,Beaver County,40007,1938,91,158,7,99.0,2024-11-08T23:53:36.710000+0000
2024,Oklahoma,Beckham County,40009,6474,84,1093,14,99.0,2024-11-08T23:53:35.393000+0000
2024,Oklahoma,Blaine County,40011,3054,81,671,18,99.0,2024-11-06T02:22:35.103000+0000
2024,Oklahoma,Bryan County,40013,13999,79,3569,20,99.0,2024-11-08T23:53:37.000000+0000
2024,Oklahoma,Caddo County,40015,6886,73,2414,25,99.0,2024-11-08T23:53:35.953000+0000
2024,Oklahoma,Canadian County,40017,50551,69,21038,29,99.0,2024-11-08T23:53:36.627000+0000
2024,Oklahoma,Carter County,40019,14945,77,4277,22,99.0,2024-11-06T02:20:56.107000+0000
2024,Oklahoma,Cherokee County,40021,11637,65,5826,33,99.0,2024-11-08T23:53:36.227000+0000
2024,Oklahoma,Choctaw County,40023,4633,82,944,17,99.0,2024-11-08T23:53:36.430000+0000
2024,Oklahoma,Cimarron County,40025,860,92,66,7,99.0,2024-11-06T01:58:55.500000+0000
2024,Oklahoma,Cleveland County,40027,67225,56,49432,41,99.0,2024-11-08T23:53:36.540000+0000
2024,Oklahoma,Coal County,40029,2155,85,345,14,99.0,2024-11-08T23:53:36.263000+0000
2024,Oklahoma,Comanche County,40031,20823,61,12823,37,99.0,2024-11-08T23:53:35.653000+0000
2024,Oklahoma,Cotton County,40033,2067,83,392,16,99.0,2024-11-06T02:10:45.787000+0000
2024,Oklahoma,Craig County,40035,4740,78,1212,20,99.0,2024-11-08T23:53:35.353000+0000
2024,Oklahoma,Creek County,40037,24098,77,6643,21,99.0,2024-11-08T23:53:37.053000+0000
2024,Oklahoma,Custer County,40039,7693,76,2279,22,99.0,2024-11-08T23:53:36.083000+0000
2024,Oklahoma,Delaware County,40041,14407,80,3475,19,99.0,2024-11-08T23:53:30.153000+0000
2024,Oklahoma,Dewey County,40043,1984,90,209,9,99.0,2024-11-06T02:20:55.587000+0000
2024,Oklahoma,Ellis County,40045,1585,88,197,11,99.0,2024-11-08T23:53:32.210000+0000
2024,Oklahoma,Garfield County,40047,16593,76,4849,22,99.0,2024-11-08T23:53:37.013000+0000
2024,Oklahoma,Garvin County,40049,9063,83,1802,16,99.0,2024-11-08T23:53:36.043000+0000
2024,Oklahoma,Grady County,40051,20378,81,4536,18,99.0,2024-11-08T23:53:35.760000+0000
2024,Oklahoma,Grant County,40053,1794,84,295,14,99.0,2024-11-08T23:53:36.450000+0000
2024,Oklahoma,Greer County,40055,1511,82,304,17,99.0,2024-11-06T01:58:55.967000+0000
2024,Oklahoma,Harmon County,40057,709,80,165,19,99.0,2024-11-06T01:58:56.070000+0000
2024,Oklahoma,Harper County,40059,1284,89,147,10,99.0,2024-11-08T23:53:35.253000+0000
2024,Oklahoma,Haskell County,40061,4156,84,718,15,99.0,2024-11-08T23:53:35.380000+0000
2024,Oklahoma,Hughes County,40063,3744,80,831,18,99.0,2024-11-06T02:43:00.310000+0000
2024,Oklahoma,Jackson County,40065,6295,78,1602,20,99.0,2024-11-08T23:53:36.027000+0000
2024,Oklahoma,Jefferson County,40067,2020,85,319,13,99.0,2024-11-08T23:53:35.940000+0000
2024,Oklahoma,Johnston County,40069,3462,82,684,16,99.0,2024-11-08T23:53:36.903000+0000
2024,Oklahoma,Kay County,40071,12483,74,4136,25,99.0,2024-11-08T23:53:35.420000+0000
2024,Oklahoma,Kingfisher County,40073,5745,85,923,14,99.0,2024-11-08T23:53:35.520000+0000
2024,Oklahoma,Kiowa County,40075,2569,78,658,20,99.0,2024-11-08T23:53:35.830000+0000
2024,Oklahoma,Latimer County,40077,3356,82,681,17,99.0,2024-11-06T02:12:55.470000+0000
2024,Oklahoma,Le Flore County,40079,15333,82,3184,17,99.0,2024-11-08T23:53:36.613000+0000
2024,Oklahoma,Lincoln County,40081,12495,81,2712,18,99.0,2024-11-08T23:53:35.283000+0000
2024,Oklahoma,Logan County,40083,17748,74,5901,24,99.0,2024-11-08T23:53:35.183000+0000
2024,Oklahoma,Love County,40085,3510,82,689,16,99.0,2024-11-06T02:10:55.250000+0000
2024,Oklahoma,McClain County,40087,17005,80,4031,19,99.0,2024-11-08T23:53:35.817000+0000
2024,Oklahoma,McCurtain County,40089,9485,84,1696,15,99.0,2024-11-08T23:53:35.460000+0000
2024,Oklahoma,McIntosh County,40091,6387,76,1937,23,99.0,2024-11-08T23:53:36.100000+0000
2024,Oklahoma,Major County,40093,3087,89,327,9,99.0,2024-11-08T23:53:35.627000+0000
2024,Oklahoma,Marshall County,40095,5348,81,1169,18,99.0,2024-11-06T02:12:56.470000+0000
2024,Oklahoma,Mayes County,40097,13514,78,3529,20,99.0,2024-11-08T23:53:36.410000+0000
2024,Oklahoma,Murray County,40099,4689,80,1080,18,99.0,2024-11-08T23:53:37.067000+0000
2024,Oklahoma,Muskogee County,40101,16550,68,7400,30,99.0,2024-11-08T23:53:35.170000+0000
2024,Oklahoma,Noble County,40103,3853,78,1009,20,99.0,2024-11-08T23:53:35.927000+0000
2024,Oklahoma,Nowata County,40105,3774,83,720,16,99.0,2024-11-06T02:02:46.713000+0000
2024,Oklahoma,Okfuskee County,40107,3080,77,854,21,99.0,2024-11-08T23:53:35.310000+0000
2024,Oklahoma,Oklahoma County,40109,143618,50,138769,48,99.0,2024-11-08T23:53:36.930000+0000
2024,Oklahoma,Okmulgee County,40111,10100,70,3979,28,99.0,2024-11-08T23:53:36.887000+0000
2024,Oklahoma,Osage County,40113,14404,70,5867,28,99.0,2024-11-08T23:53:32.617000+0000
2024,Oklahoma,Ottawa County,40115,8490,76,2511,23,99.0,2024-11-08T23:53:36.877000+0000
2024,Oklahoma,Pawnee County,40117,5405,79,1355,20,99.0,2024-11-08T23:53:32.563000+0000
2024,Oklahoma,Payne County,40119,17962,61,10560,36,99.0,2024-11-08T23:53:36.337000+0000
2024,Oklahoma,Pittsburg County,40121,13841,79,3473,20,99.0,2024-11-08T23:53:36.640000+0000
2024,Oklahoma,Pontotoc County,40123,10967,72,3895,26,99.0,2024-11-08T23:53:30.170000+0000
2024,Oklahoma,Pottawatomie County,40125,20915,73,7266,25,99.0,2024-11-08T23:53:36.847000+0000
2024,Oklahoma,Pushmataha County,40127,4025,86,616,13,99.0,2024-11-06T02:24:40.613000+0000
2024,Oklahoma,Roger Mills County,40129,1548,89,160,9,99.0,2024-11-08T23:53:35.687000+0000
2024,Oklahoma,Rogers County,40131,35942,77,10146,22,99.0,2024-11-08T23:53:36.573000+0000
2024,Oklahoma,Seminole County,40133,5951,74,1951,24,99.0,2024-11-06T03:30:50.150000+0000
2024,Oklahoma,Sequoyah County,40135,12491,80,2907,19,99.0,2024-11-08T23:53:32.513000+0000
2024,Oklahoma,Stephens County,40137,15092,81,3236,17,99.0,2024-11-08T23:53:32.597000+0000
2024,Oklahoma,Texas County,40139,4319,83,793,15,99.0,2024-11-06T02:28:45.380000+0000
2024,Oklahoma,Tillman County,40141,2006,79,500,20,99.0,2024-11-08T23:53:35.533000+0000
2024,Oklahoma,Tulsa County,40143,145241,57,106105,41,99.0,2024-11-08T23:53:32.397000+0000
2024,Oklahoma,Wagoner County,40145,28487,74,9330,24,99.0,2024-11-08T23:53:35.200000+0000
2024,Oklahoma,Washington County,40147,16836,73,5793,25,99.0,2024-11-08T23:53:32.783000+0000
2024,Oklahoma,Washita County,40149,4030,87,551,12,99.0,2024-11-08T23:53:35.730000+0000
2024,Oklahoma,Woods County,40151,2955,81,614,17,99.0,2024-11-08T23:53:36.680000+0000
2024,Oklahoma,Woodward County,40153,6231,85,967,13,99.0,2024-11-06T02:04:55.830000+0000
