electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Oregon,Baker County,41001,6984,73,2301,24,95.0,2024-11-06T10:45:35.143000+0000
2024,Oregon,Benton County,41003,13430,28,32294,68,91.0,2024-11-06T06:33:15.137000+0000
2024,Oregon,Clackamas County,41005,96262,43,118265,53,87.0,2024-11-09T01:03:15.170000+0000
2024,Oregon,Clatsop County,41007,9587,43,12133,54,95.0,2024-11-07T01:00:40.117000+0000
2024,Oregon,Columbia County,41009,16720,55,12428,41,95.0,2024-11-06T11:45:35.130000+0000
2024,Oregon,Coos County,41011,20398,59,13423,39,95.0,2024-11-07T00:30:35.110000+0000
2024,Oregon,Crook County,41013,11804,74,3731,24,95.0,2024-11-06T23:30:35.277000+0000
2024,Oregon,Curry County,41015,7943,57,5685,41,95.0,2024-11-06T22:36:30.137000+0000
2024,Oregon,Deschutes County,41017,51895,44,64036,54,95.0,2024-11-06T10:15:35.130000+0000
2024,Oregon,Douglas County,41019,40399,68,17791,30,94.0,2024-11-08T01:00:35.113000+0000
2024,Oregon,Gilliam County,41021,797,71,286,26,95.0,2024-11-06T23:30:35.213000+0000
2024,Oregon,Grant County,41023,3466,79,805,18,95.0,2024-11-06T04:02:36.073000+0000
2024,Oregon,Harney County,41025,3274,78,776,19,94.0,2024-11-06T04:45:55.193000+0000
2024,Oregon,Hood River County,41027,3742,31,8069,66,94.0,2024-11-06T05:00:40.310000+0000
2024,Oregon,Jackson County,41029,59812,52,52130,45,91.0,2024-11-06T07:30:45.217000+0000
2024,Oregon,Jefferson County,41031,7290,64,3858,34,95.0,2024-11-06T23:00:35.130000+0000
2024,Oregon,Josephine County,41033,30074,63,16262,34,93.0,2024-11-07T01:45:35.087000+0000
2024,Oregon,Klamath County,41035,24357,70,9717,28,95.0,2024-11-08T22:03:15.123000+0000
2024,Oregon,Lake County,41037,3367,82,670,16,95.0,2024-11-06T17:15:35.073000+0000
2024,Oregon,Lane County,41039,73982,37,119412,60,91.0,2024-11-08T23:53:15.157000+0000
2024,Oregon,Lincoln County,41041,11439,39,16677,58,95.0,2024-11-07T01:00:35.310000+0000
2024,Oregon,Linn County,41043,42605,60,25350,36,95.0,2024-11-09T01:03:15.157000+0000
2024,Oregon,Malheur County,41045,7593,71,2830,26,92.0,2024-11-06T09:00:40.173000+0000
2024,Oregon,Marion County,41047,52618,50,49764,47,64.0,2024-11-08T19:00:35.123000+0000
2024,Oregon,Morrow County,41049,3358,73,1109,24,91.0,2024-11-06T06:45:45.320000+0000
2024,Oregon,Multnomah County,41051,63877,17,292698,79,80.0,2024-11-08T23:03:15.107000+0000
2024,Oregon,Polk County,41053,22094,51,20142,46,91.0,2024-11-09T00:23:15.133000+0000
2024,Oregon,Sherman County,41055,877,77,229,20,95.0,2024-11-06T07:30:45.200000+0000
2024,Oregon,Tillamook County,41057,7853,49,7603,48,95.0,2024-11-07T21:30:35.140000+0000
2024,Oregon,Umatilla County,41059,20422,67,8947,30,92.0,2024-11-06T09:00:40.153000+0000
2024,Oregon,Union County,41061,9107,69,3726,28,89.0,2024-11-06T09:45:35.110000+0000
2024,Oregon,Wallowa County,41063,3342,67,1542,31,95.0,2024-11-07T21:34:55.100000+0000
2024,Oregon,Wasco County,41065,6672,52,5870,45,93.0,2024-11-06T07:15:35.240000+0000
2024,Oregon,Washington County,41067,81048,31,168191,65,81.0,2024-11-09T00:03:15.130000+0000
2024,Oregon,Wheeler County,41069,609,72,208,24,89.0,2024-11-06T05:30:45.180000+0000
2024,Oregon,Yamhill County,41071,28450,51,25050,45,95.0,2024-11-08T03:45:35.137000+0000
