electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Pennsylvania,Adams County,42001,40239,66,19838,33,99.0,2024-11-08T20:56:45.090000+0000
2024,Pennsylvania,Allegheny County,42003,279292,39,419051,59,98.0,2024-11-08T20:00:00.157000+0000
2024,Pennsylvania,Armstrong County,42005,28275,76,8522,23,95.0,2024-11-08T22:05:40.107000+0000
2024,Pennsylvania,Beaver County,42007,56502,60,36795,39,95.0,2024-11-06T06:38:10.130000+0000
2024,Pennsylvania,Bedford County,42009,23545,84,4316,15,99.0,2024-11-06T04:48:40.243000+0000
2024,Pennsylvania,Berks County,42011,115676,56,89764,43,98.0,2024-11-06T17:05:45.097000+0000
2024,Pennsylvania,Blair County,42013,46351,71,18122,28,99.0,2024-11-08T20:20:40.173000+0000
2024,Pennsylvania,Bradford County,42015,22937,73,7989,26,99.0,2024-11-08T20:25:35.113000+0000
2024,Pennsylvania,Bucks County,42017,196654,50,195371,49,95.0,2024-11-07T21:15:40.107000+0000
2024,Pennsylvania,Butler County,42019,79147,66,40046,33,99.0,2024-11-06T04:20:45.667000+0000
2024,Pennsylvania,Cambria County,42021,44330,69,19490,30,95.0,2024-11-09T00:19:05.183000+0000
2024,Pennsylvania,Cameron County,42023,2467,76,745,23,95.0,2024-11-06T18:05:40.127000+0000
2024,Pennsylvania,Carbon County,42025,23505,67,11244,32,95.0,2024-11-06T14:15:45.117000+0000
2024,Pennsylvania,Centre County,42027,38545,48,40321,50,99.0,2024-11-06T21:55:40.100000+0000
2024,Pennsylvania,Chester County,42029,136708,42,182967,56,95.0,2024-11-08T22:43:05.097000+0000
2024,Pennsylvania,Clarion County,42031,15032,76,4558,23,96.0,2024-11-08T19:55:40.137000+0000
2024,Pennsylvania,Clearfield County,42033,30456,75,9592,24,99.0,2024-11-08T21:20:40.167000+0000
2024,Pennsylvania,Clinton County,42035,12908,70,5366,29,95.0,2024-11-06T02:55:55.977000+0000
2024,Pennsylvania,Columbia County,42037,20800,65,10783,34,95.0,2024-11-06T06:35:40.273000+0000
2024,Pennsylvania,Crawford County,42039,29462,69,12645,30,95.0,2024-11-06T20:25:40.073000+0000
2024,Pennsylvania,Cumberland County,42041,79811,54,65737,45,95.0,2024-11-08T19:30:40.197000+0000
2024,Pennsylvania,Dauphin County,42043,68817,47,77153,52,95.0,2024-11-08T21:00:35.077000+0000
2024,Pennsylvania,Delaware County,42045,122026,38,197404,61,95.0,2024-11-06T20:28:45.090000+0000
2024,Pennsylvania,Elk County,42047,12542,73,4481,26,99.0,2024-11-08T20:52:25.107000+0000
2024,Pennsylvania,Erie County,42049,67670,50,65668,49,93.0,2024-11-08T22:00:35.147000+0000
2024,Pennsylvania,Fayette County,42051,43076,69,19238,31,99.0,2024-11-06T05:11:25.097000+0000
2024,Pennsylvania,Forest County,42053,1897,72,719,27,98.0,2024-11-06T03:40:25.477000+0000
2024,Pennsylvania,Franklin County,42055,59339,71,23262,28,95.0,2024-11-06T21:15:40.293000+0000
2024,Pennsylvania,Fulton County,42057,6984,86,1082,13,99.0,2024-11-06T04:40:40.260000+0000
2024,Pennsylvania,Greene County,42059,12258,72,4554,27,99.0,2024-11-06T03:15:50.990000+0000
2024,Pennsylvania,Huntingdon County,42061,17627,76,5366,23,99.0,2024-11-08T18:35:40.087000+0000
2024,Pennsylvania,Indiana County,42063,29203,69,12685,30,95.0,2024-11-08T21:35:35.093000+0000
2024,Pennsylvania,Jefferson County,42065,18233,79,4707,20,95.0,2024-11-08T14:53:15.113000+0000
2024,Pennsylvania,Juniata County,42067,9721,80,2290,19,99.0,2024-11-08T17:15:55.210000+0000
2024,Pennsylvania,Lackawanna County,42069,55744,48,58956,51,95.0,2024-11-08T20:45:35.123000+0000
2024,Pennsylvania,Lancaster County,42071,165051,58,118371,41,95.0,2024-11-08T22:05:40.130000+0000
2024,Pennsylvania,Lawrence County,42073,31164,66,15281,33,95.0,2024-11-06T03:15:51.363000+0000
2024,Pennsylvania,Lebanon County,42075,47775,66,24265,33,95.0,2024-11-06T04:09:45.117000+0000
2024,Pennsylvania,Lehigh County,42077,89704,48,94235,51,95.0,2024-11-06T05:50:45.140000+0000
2024,Pennsylvania,Luzerne County,42079,90370,60,59966,40,95.0,2024-11-06T07:50:40.177000+0000
2024,Pennsylvania,Lycoming County,42081,41768,70,17077,29,95.0,2024-11-08T14:53:50.113000+0000
2024,Pennsylvania,McKean County,42083,14323,73,5066,26,95.0,2024-11-06T05:10:35.307000+0000
2024,Pennsylvania,Mercer County,42085,36794,65,19363,34,93.0,2024-11-08T18:15:35.120000+0000
2024,Pennsylvania,Mifflin County,42087,17066,78,4675,21,95.0,2024-11-06T06:20:40.190000+0000
2024,Pennsylvania,Monroe County,42089,42168,50,41258,49,95.0,2024-11-06T05:45:40.200000+0000
2024,Pennsylvania,Montgomery County,42091,195733,38,310545,61,95.0,2024-11-08T20:55:35.110000+0000
2024,Pennsylvania,Montour County,42093,5942,60,3858,39,95.0,2024-11-07T19:40:35.157000+0000
2024,Pennsylvania,Northampton County,42095,88171,51,84291,48,95.0,2024-11-06T06:25:45.363000+0000
2024,Pennsylvania,Northumberland County,42097,29984,69,12716,29,95.0,2024-11-06T05:12:50.123000+0000
2024,Pennsylvania,Perry County,42099,18972,74,6324,25,99.0,2024-11-06T17:35:40.127000+0000
2024,Pennsylvania,Philadelphia County,42101,142273,20,557004,79,95.0,2024-11-08T23:05:35.157000+0000
2024,Pennsylvania,Pike County,42103,21298,62,12993,38,99.0,2024-11-06T04:55:45.450000+0000
2024,Pennsylvania,Potter County,42105,7303,81,1664,18,98.0,2024-11-06T03:07:00.300000+0000
2024,Pennsylvania,Schuylkill County,42107,51416,71,20729,28,95.0,2024-11-06T15:15:35.123000+0000
2024,Pennsylvania,Snyder County,42109,14592,73,5184,26,99.0,2024-11-06T04:16:30.220000+0000
2024,Pennsylvania,Somerset County,42111,31884,78,8559,21,99.0,2024-11-06T06:04:20.120000+0000
2024,Pennsylvania,Sullivan County,42113,2721,73,976,26,95.0,2024-11-08T19:30:40.177000+0000
2024,Pennsylvania,Susquehanna County,42115,15949,72,5998,27,95.0,2024-11-06T03:48:30.123000+0000
2024,Pennsylvania,Tioga County,42117,16271,75,5099,24,95.0,2024-11-08T17:40:40.157000+0000
2024,Pennsylvania,Union County,42119,12955,61,7918,38,95.0,2024-11-08T19:25:35.100000+0000
2024,Pennsylvania,Venango County,42121,18747,71,7531,28,99.0,2024-11-06T03:49:50.487000+0000
2024,Pennsylvania,Warren County,42123,14332,69,6205,30,95.0,2024-11-08T17:25:35.087000+0000
2024,Pennsylvania,Washington County,42125,75519,62,44496,37,95.0,2024-11-08T21:15:35.157000+0000
