electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,South Carolina,Abbeville County,45001,8509,71,3399,28,94.0,2024-11-08T21:15:25.160000+0000
2024,South Carolina,Aiken County,45003,53373,62,31178,36,95.0,2024-11-08T19:25:25.113000+0000
2024,South Carolina,Allendale County,45005,813,27,2165,72,81.0,2024-11-08T21:15:25.203000+0000
2024,South Carolina,Anderson County,45007,71828,73,25281,26,95.0,2024-11-08T19:05:25.123000+0000
2024,South Carolina,Bamberg County,45009,2376,42,3245,57,85.0,2024-11-08T18:25:25.133000+0000
2024,South Carolina,Barnwell County,45011,5605,57,4082,42,92.0,2024-11-08T17:55:25.107000+0000
2024,South Carolina,Beaufort County,45013,59123,57,44002,42,95.0,2024-11-08T21:43:20.110000+0000
2024,South Carolina,Berkeley County,45015,64777,57,46416,41,95.0,2024-11-08T17:05:35.250000+0000
2024,South Carolina,Calhoun County,45017,4474,57,3339,42,92.0,2024-11-08T16:26:30.120000+0000
2024,South Carolina,Charleston County,45019,99265,46,111427,52,95.0,2024-11-08T18:35:25.110000+0000
2024,South Carolina,Cherokee County,45021,18697,75,5939,24,95.0,2024-11-08T17:45:25.183000+0000
2024,South Carolina,Chester County,45023,9030,58,6353,41,95.0,2024-11-08T17:05:35.217000+0000
2024,South Carolina,Chesterfield County,45025,11682,64,6520,36,94.0,2024-11-08T16:45:25.120000+0000
2024,South Carolina,Clarendon County,45027,9065,56,7064,43,94.0,2024-11-06T02:18:45.730000+0000
2024,South Carolina,Colleton County,45029,10696,59,7376,40,92.0,2024-11-08T20:35:25.153000+0000
2024,South Carolina,Darlington County,45031,17017,56,12977,43,90.0,2024-11-08T17:05:35.403000+0000
2024,South Carolina,Dillon County,45033,6526,55,5241,44,88.0,2024-11-08T15:45:25.203000+0000
2024,South Carolina,Dorchester County,45035,43900,56,32523,42,95.0,2024-11-08T18:35:25.180000+0000
2024,South Carolina,Edgefield County,45037,9092,65,4659,34,99.0,2024-11-08T15:05:40.187000+0000
2024,South Carolina,Fairfield County,45039,4792,43,6277,56,89.0,2024-11-08T17:05:35.270000+0000
2024,South Carolina,Florence County,45041,32615,53,27706,45,92.0,2024-11-08T17:25:20.103000+0000
2024,South Carolina,Georgetown County,45043,22326,59,14965,40,99.0,2024-11-08T18:05:25.200000+0000
2024,South Carolina,Greenville County,45045,158541,60,100074,38,95.0,2024-11-08T21:35:25.163000+0000
2024,South Carolina,Greenwood County,45047,19715,64,10766,35,93.0,2024-11-08T16:55:35.123000+0000
2024,South Carolina,Hampton County,45049,3801,46,4328,53,86.0,2024-11-08T15:55:30.117000+0000
2024,South Carolina,Horry County,45051,141719,69,62325,30,95.0,2024-11-08T16:55:35.207000+0000
2024,South Carolina,Jasper County,45053,9900,54,8144,45,99.0,2024-11-08T18:05:35.180000+0000
2024,South Carolina,Kershaw County,45055,21289,64,11826,35,95.0,2024-11-08T16:35:25.223000+0000
2024,South Carolina,Lancaster County,45057,33623,62,20146,37,99.0,2024-11-08T18:05:35.127000+0000
2024,South Carolina,Laurens County,45059,21110,70,8769,29,95.0,2024-11-08T18:35:35.140000+0000
2024,South Carolina,Lee County,45061,3078,38,4505,56,93.0,2024-11-08T15:55:25.150000+0000
2024,South Carolina,Lexington County,45063,96965,66,47815,33,95.0,2024-11-08T20:05:25.093000+0000
2024,South Carolina,McCormick County,45065,3565,58,2513,41,95.0,2024-11-08T16:36:30.203000+0000
2024,South Carolina,Marion County,45067,5906,44,7316,55,88.0,2024-11-08T16:05:25.130000+0000
2024,South Carolina,Marlboro County,45069,4896,48,5137,51,86.0,2024-11-08T17:16:30.133000+0000
2024,South Carolina,Newberry County,45071,12067,67,5841,32,94.0,2024-11-08T15:55:30.093000+0000
2024,South Carolina,Oconee County,45073,31772,75,9987,24,99.0,2024-11-08T17:45:25.197000+0000
2024,South Carolina,Orangeburg County,45075,13766,37,22827,62,87.0,2024-11-08T16:46:30.153000+0000
2024,South Carolina,Pickens County,45077,45728,76,13891,23,95.0,2024-11-08T21:25:30.130000+0000
2024,South Carolina,Richland County,45079,57950,32,120944,66,91.0,2024-11-08T15:55:25.117000+0000
2024,South Carolina,Saluda County,45081,6452,72,2454,27,94.0,2024-11-08T15:05:45.103000+0000
2024,South Carolina,Spartanburg County,45083,103039,66,50881,33,99.0,2024-11-08T18:55:25.090000+0000
2024,South Carolina,Sumter County,45085,21215,47,23425,52,89.0,2024-11-08T17:45:25.237000+0000
2024,South Carolina,Union County,45087,8102,66,4084,33,90.0,2024-11-08T16:55:35.137000+0000
2024,South Carolina,Williamsburg County,45089,5524,39,8634,60,87.0,2024-11-08T15:45:25.183000+0000
2024,South Carolina,York County,45091,88239,59,59600,40,95.0,2024-11-08T23:13:20.107000+0000
