electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2020,South Dakota,Aurora County,46003,1052,75,317,23,100.0,2020-11-24T13:53:36.327000+0000
2020,South Dakota,Beadle County,46005,4808,68,2107,30,100.0,2020-11-24T13:53:36.340000+0000
2020,South Dakota,Bennett County,46007,694,59,466,39,100.0,2020-11-24T13:53:36.397000+0000
2020,South Dakota,Bon Homme County,46009,2235,75,721,24,100.0,2020-11-24T13:53:36.420000+0000
2020,South Dakota,Brookings County,46011,8000,55,6110,42,100.0,2020-11-24T13:53:36.483000+0000
2020,South Dakota,Brown County,46013,10580,60,6538,37,100.0,2020-11-24T13:53:36.517000+0000
2020,South Dakota,Brule County,46015,1750,70,673,27,100.0,2020-11-24T13:53:36.597000+0000
2020,South Dakota,Buffalo County,46017,183,33,352,64,100.0,2020-11-24T13:53:36.610000+0000
2020,South Dakota,Butte County,46019,3731,78,939,20,100.0,2020-11-24T13:53:36.633000+0000
2020,South Dakota,Campbell County,46021,747,86,117,13,100.0,2020-11-24T13:53:36.677000+0000
2020,South Dakota,Charles Mix County,46023,2552,68,1177,31,100.0,2020-11-24T13:53:36.717000+0000
2020,South Dakota,Clark County,46025,1373,74,437,24,100.0,2020-11-24T13:53:36.777000+0000
2020,South Dakota,Clay County,46027,2456,43,3083,54,100.0,2020-11-24T13:53:36.817000+0000
2020,South Dakota,Codington County,46029,8958,68,3837,29,100.0,2020-11-24T13:53:36.903000+0000
2020,South Dakota,Corson County,46031,647,50,622,49,100.0,2020-11-24T13:53:36.910000+0000
2020,South Dakota,Custer County,46033,3852,70,1522,28,100.0,2020-11-24T13:53:36.973000+0000
2020,South Dakota,Davison County,46035,5613,66,2648,31,100.0,2020-11-24T13:53:36.993000+0000
2020,South Dakota,Day County,46037,1869,63,1052,36,100.0,2020-11-24T13:34:55.330000+0000
2020,South Dakota,Deuel County,46039,1699,72,609,26,100.0,2020-11-24T13:34:55.640000+0000
2020,South Dakota,Dewey County,46041,790,40,1131,58,100.0,2020-11-24T13:34:55.883000+0000
2020,South Dakota,Douglas County,46043,1468,86,216,13,100.0,2020-11-24T13:34:56.300000+0000
2020,South Dakota,Edmunds County,46045,1538,78,417,21,100.0,2020-11-24T13:34:56.423000+0000
2020,South Dakota,Fall River County,46047,2878,71,1053,26,100.0,2020-11-24T13:34:56.653000+0000
2020,South Dakota,Faulk County,46049,964,82,198,17,100.0,2020-11-24T13:34:56.970000+0000
2020,South Dakota,Grant County,46051,2618,70,1056,28,100.0,2020-11-24T13:34:57.237000+0000
2020,South Dakota,Gregory County,46053,1771,78,455,20,100.0,2020-11-24T13:34:57.590000+0000
2020,South Dakota,Haakon County,46055,1026,90,105,9,100.0,2020-11-24T13:34:57.807000+0000
2020,South Dakota,Hamlin County,46057,2372,77,647,21,100.0,2020-11-24T13:34:58.243000+0000
2020,South Dakota,Hand County,46059,1433,78,373,20,100.0,2020-11-24T13:35:01.550000+0000
2020,South Dakota,Hanson County,46061,1793,75,557,23,100.0,2020-11-24T13:35:01.747000+0000
2020,South Dakota,Harding County,46063,748,92,49,6,100.0,2020-11-24T13:35:02.007000+0000
2020,South Dakota,Hughes County,46065,5522,63,2953,34,100.0,2020-11-24T13:34:59.303000+0000
2020,South Dakota,Hutchinson County,46067,2944,78,762,20,100.0,2020-11-24T13:34:59.700000+0000
2020,South Dakota,Hyde County,46069,564,79,136,19,100.0,2020-11-24T13:35:00.183000+0000
2020,South Dakota,Jackson County,46071,738,66,359,32,100.0,2020-11-24T13:35:00.483000+0000
2020,South Dakota,Jerauld County,46073,721,72,270,27,100.0,2020-11-24T13:35:00.827000+0000
2020,South Dakota,Jones County,46075,498,83,90,15,100.0,2020-11-24T13:35:01.067000+0000
2020,South Dakota,Kingsbury County,46077,1904,69,819,30,100.0,2020-11-24T13:35:01.193000+0000
2020,South Dakota,Lake County,46079,3681,63,2068,35,100.0,2020-11-24T13:35:01.420000+0000
2020,South Dakota,Lawrence County,46081,8753,63,4537,33,100.0,2020-11-24T13:35:01.640000+0000
