electionYear,stateDisplayName,countyDisplayName,countyFips,votes_republicans,percent_republicans,votes_democrats,percent_democrats,countyReporting,lastUpdated
2024,Texas,Anderson County,48001,15548,81,3621,19,95.0,2024-11-06T03:45:40.090000+0000
2024,Texas,Andrews County,48003,5204,86,806,13,95.0,2024-11-06T05:45:40.213000+0000
2024,Texas,Angelina County,48005,26034,76,8135,24,94.0,2024-11-06T04:05:45.510000+0000
2024,Texas,Aransas County,48007,10073,77,2826,22,95.0,2024-11-06T02:55:55.563000+0000
2024,Texas,Archer County,48009,4590,90,519,10,95.0,2024-11-06T02:15:45.553000+0000
2024,Texas,Armstrong County,48011,1029,93,77,7,94.0,2024-11-06T02:50:45.480000+0000
2024,Texas,Atascosa County,48013,13126,71,5140,28,95.0,2024-11-06T04:25:45.270000+0000
2024,Texas,Austin County,48015,12438,81,2809,18,95.0,2024-11-06T03:26:05.607000+0000
2024,Texas,Bailey County,48017,1393,80,332,19,88.0,2024-11-06T02:30:55.353000+0000
2024,Texas,Bandera County,48019,10929,81,2527,19,95.0,2024-11-06T05:35:55.287000+0000
2024,Texas,Bastrop County,48021,23276,59,15941,40,95.0,2024-11-06T05:35:55.130000+0000
2024,Texas,Baylor County,48023,1467,88,184,11,92.0,2024-11-08T12:56:15.107000+0000
2024,Texas,Bee County,48025,6107,70,2597,30,88.0,2024-11-06T05:16:05.203000+0000
2024,Texas,Bell County,48027,75031,58,53800,41,95.0,2024-11-06T16:40:25.100000+0000
2024,Texas,Bexar County,48029,336260,44,408981,54,93.0,2024-11-06T07:14:55.113000+0000
2024,Texas,Blanco County,48031,6384,76,1952,23,95.0,2024-11-06T03:10:55.550000+0000
2024,Texas,Borden County,48033,370,96,16,4,88.0,2024-11-06T04:20:45.840000+0000
2024,Texas,Bosque County,48035,7963,83,1519,16,95.0,2024-11-06T04:05:45.397000+0000
2024,Texas,Bowie County,48037,27057,74,9237,25,90.0,2024-11-06T05:00:40.273000+0000
2024,Texas,Brazoria County,48039,95769,59,63849,40,98.0,2024-11-06T05:10:55.107000+0000
2024,Texas,Brazos County,48041,56544,62,33671,37,95.0,2024-11-06T07:26:05.100000+0000
2024,Texas,Brewster County,48043,2537,56,1967,43,89.0,2024-11-06T05:35:35.113000+0000
2024,Texas,Briscoe County,48045,666,90,72,10,95.0,2024-11-06T02:30:55.457000+0000
2024,Texas,Brooks County,48047,1077,45,1308,55,91.0,2024-11-06T02:55:55.663000+0000
2024,Texas,Brown County,48049,14591,87,2131,13,95.0,2024-11-06T03:53:00.113000+0000
2024,Texas,Burleson County,48051,7586,81,1703,18,95.0,2024-11-06T03:36:10.740000+0000
2024,Texas,Burnet County,48053,21689,78,6018,22,95.0,2024-11-06T20:50:50.087000+0000
2024,Texas,Caldwell County,48055,8825,57,6517,42,95.0,2024-11-06T07:25:50.260000+0000
2024,Texas,Calhoun County,48057,5936,76,1852,24,94.0,2024-11-06T04:25:45.207000+0000
2024,Texas,Callahan County,48059,6173,89,758,11,95.0,2024-11-06T03:55:40.493000+0000
2024,Texas,Cameron County,48061,60925,53,54156,47,95.0,2024-11-06T05:10:35.270000+0000
2024,Texas,Camp County,48063,4006,77,1200,23,95.0,2024-11-06T03:05:45.297000+0000
2024,Texas,Carson County,48065,2853,90,288,9,95.0,2024-11-06T04:55:45.570000+0000
2024,Texas,Cass County,48067,11676,83,2398,17,95.0,2024-11-06T02:41:00.890000+0000
2024,Texas,Castro County,48069,1594,79,418,21,91.0,2024-11-06T03:50:50.607000+0000
2024,Texas,Chambers County,48071,20557,82,4187,17,95.0,2024-11-06T04:45:55.443000+0000
2024,Texas,Cherokee County,48073,16580,81,3739,18,95.0,2024-11-06T03:15:50.800000+0000
2024,Texas,Childress County,48075,1991,88,263,12,94.0,2024-11-08T12:51:00.167000+0000
2024,Texas,Clay County,48077,5283,89,584,10,95.0,2024-11-06T03:30:50.560000+0000
2024,Texas,Cochran County,48079,736,82,147,17,84.0,2024-11-08T12:59:40.093000+0000
2024,Texas,Coke County,48081,1620,90,179,10,95.0,2024-11-06T04:29:25.090000+0000
2024,Texas,Coleman County,48083,3711,89,428,10,95.0,2024-11-06T02:15:45.690000+0000
2024,Texas,Collin County,48085,278427,54,220269,43,95.0,2024-11-06T07:23:45.093000+0000
2024,Texas,Collingsworth County,48087,1066,89,135,11,93.0,2024-11-06T05:00:40.287000+0000
2024,Texas,Colorado County,48089,7819,78,2102,21,94.0,2024-11-06T04:30:30.093000+0000
2024,Texas,Comal County,48091,74588,72,27548,27,95.0,2024-11-06T06:40:35.153000+0000
2024,Texas,Comanche County,48093,5679,87,834,13,99.0,2024-11-06T21:55:40.133000+0000
2024,Texas,Concho County,48095,1035,87,153,13,89.0,2024-11-06T03:20:40.653000+0000
2024,Texas,Cooke County,48097,16949,83,3303,16,95.0,2024-11-06T04:02:35.260000+0000
2024,Texas,Coryell County,48099,16665,70,6931,29,95.0,2024-11-06T03:30:50.543000+0000
2024,Texas,Cottle County,48101,565,86,89,14,93.0,2024-11-06T01:46:10.580000+0000
2024,Texas,Crane County,48103,1195,86,186,13,87.0,2024-11-06T02:00:55.723000+0000
2024,Texas,Crockett County,48105,1085,77,323,23,85.0,2024-11-06T03:10:55.667000+0000
2024,Texas,Crosby County,48107,1416,75,451,24,91.0,2024-11-06T02:41:00.840000+0000
2024,Texas,Culberson County,48109,451,58,319,41,85.0,2024-11-06T02:35:50.757000+0000
2024,Texas,Dallam County,48111,1280,89,152,11,84.0,2024-11-06T02:15:45.317000+0000
2024,Texas,Dallas County,48113,319319,38,503783,60,86.0,2024-11-07T00:41:55.120000+0000
2024,Texas,Dawson County,48115,2808,80,667,19,87.0,2024-11-06T04:35:55.200000+0000
2024,Texas,Deaf Smith County,48117,3228,76,1013,24,87.0,2024-11-06T02:05:50.310000+0000
2024,Texas,Delta County,48119,2250,85,397,15,95.0,2024-11-06T04:39:00.237000+0000
2024,Texas,Denton County,48121,249304,56,189949,43,95.0,2024-11-06T06:53:15.090000+0000
2024,Texas,DeWitt County,48123,6444,83,1262,16,90.0,2024-11-06T04:45:55.250000+0000
2024,Texas,Dickens County,48125,843,85,146,15,95.0,2024-11-06T04:40:25.153000+0000
2024,Texas,Dimmit County,48127,1648,48,1750,51,88.0,2024-11-06T04:25:45.860000+0000
2024,Texas,Donley County,48129,1492,88,174,10,95.0,2024-11-06T04:41:25.100000+0000
2024,Texas,Duval County,48131,2435,55,1993,45,83.0,2024-11-06T05:05:40.253000+0000
2024,Texas,Eastland County,48133,7397,88,918,11,95.0,2024-11-06T05:45:40.233000+0000
2024,Texas,Ector County,48135,32418,76,9876,23,90.0,2024-11-06T06:05:35.147000+0000
2024,Texas,Edwards County,48137,867,86,133,13,89.0,2024-11-06T04:25:45.770000+0000
2024,Texas,Ellis County,48139,64706,65,33799,34,95.0,2024-11-06T04:50:50.497000+0000
2024,Texas,El Paso County,48141,104966,42,142879,57,89.0,2024-11-06T07:31:40.213000+0000
2024,Texas,Erath County,48143,15334,83,2866,16,95.0,2024-11-06T07:30:45.223000+0000
2024,Texas,Falls County,48145,4518,72,1709,27,95.0,2024-11-06T05:05:40.210000+0000
2024,Texas,Fannin County,48147,13633,83,2602,16,95.0,2024-11-06T04:50:50.130000+0000
2024,Texas,Fayette County,48149,10684,80,2510,19,95.0,2024-11-06T06:40:35.197000+0000
2024,Texas,Fisher County,48151,1487,81,330,18,94.0,2024-11-06T02:25:45.123000+0000
2024,Texas,Floyd County,48153,1715,82,358,17,95.0,2024-11-06T03:10:55.683000+0000
2024,Texas,Foard County,48155,448,82,92,17,93.0,2024-11-06T01:46:10.307000+0000
2024,Texas,Fort Bend County,48157,173114,48,178134,49,95.0,2024-11-06T07:00:45.103000+0000
2024,Texas,Franklin County,48159,4461,84,809,15,95.0,2024-11-06T06:35:40.163000+0000
2024,Texas,Freestone County,48161,7472,83,1487,17,95.0,2024-11-08T12:51:25.110000+0000
2024,Texas,Frio County,48163,3038,62,1844,38,88.0,2024-11-06T05:20:40.327000+0000
2024,Texas,Gaines County,48165,5840,91,538,8,95.0,2024-11-06T02:46:10.513000+0000
2024,Texas,Galveston County,48167,100074,63,56520,36,95.0,2024-11-08T12:51:50.103000+0000
2024,Texas,Garza County,48169,1374,86,213,13,91.0,2024-11-06T03:10:55.400000+0000
2024,Texas,Gillespie County,48171,13175,80,3149,19,95.0,2024-11-06T05:50:45.083000+0000
2024,Texas,Glasscock County,48173,623,94,38,6,95.0,2024-11-06T03:26:05.820000+0000
2024,Texas,Goliad County,48175,3177,80,778,20,94.0,2024-11-06T16:41:10.097000+0000
2024,Texas,Gonzales County,48177,5980,77,1728,22,95.0,2024-11-06T03:36:10.470000+0000
2024,Texas,Gray County,48179,6688,88,845,11,92.0,2024-11-06T02:35:50.310000+0000
2024,Texas,Grayson County,48181,50468,77,14754,22,95.0,2024-11-06T04:20:45.760000+0000
2024,Texas,Gregg County,48183,32829,71,13115,28,91.0,2024-11-06T04:49:55.110000+0000
2024,Texas,Grimes County,48185,11175,80,2731,20,95.0,2024-11-06T06:30:40.243000+0000
2024,Texas,Guadalupe County,48187,54498,64,29425,35,95.0,2024-11-08T12:52:25.103000+0000
2024,Texas,Hale County,48189,7269,79,1899,21,91.0,2024-11-06T04:35:40.430000+0000
2024,Texas,Hall County,48191,989,86,149,13,92.0,2024-11-06T04:00:55.380000+0000
2024,Texas,Hamilton County,48193,3801,85,624,14,95.0,2024-11-06T03:00:50.230000+0000
2024,Texas,Hansford County,48195,1840,92,145,7,92.0,2024-11-06T02:41:00.660000+0000
2024,Texas,Hardeman County,48197,1210,86,188,13,84.0,2024-11-06T02:20:55.553000+0000
2024,Texas,Hardin County,48199,24669,88,3336,12,95.0,2024-11-06T03:20:40.640000+0000
2024,Texas,Harris County,48201,720046,47,802370,52,89.0,2024-11-07T01:50:40.167000+0000
2024,Texas,Harrison County,48203,22610,75,7334,24,95.0,2024-11-06T05:20:40.193000+0000
2024,Texas,Hartley County,48205,1843,91,163,8,91.0,2024-11-06T02:41:00.927000+0000
2024,Texas,Haskell County,48207,1915,85,312,14,95.0,2024-11-06T02:46:10.217000+0000
2024,Texas,Hays County,48209,58299,47,65294,52,95.0,2024-11-06T06:25:45.243000+0000
2024,Texas,Hemphill County,48211,1412,88,190,12,88.0,2024-11-06T02:52:20.243000+0000
2024,Texas,Henderson County,48213,31252,81,6875,18,95.0,2024-11-06T03:09:25.327000+0000
2024,Texas,Hidalgo County,48215,110541,51,104191,48,92.0,2024-11-06T16:38:45.153000+0000
2024,Texas,Hill County,48217,13646,82,2916,18,95.0,2024-11-06T03:28:25.167000+0000
2024,Texas,Hockley County,48219,6610,83,1321,17,93.0,2024-11-06T04:55:45.553000+0000
2024,Texas,Hood County,48221,30136,82,6052,17,95.0,2024-11-06T04:30:40.440000+0000
2024,Texas,Hopkins County,48223,13682,82,2909,17,95.0,2024-11-06T04:55:25.097000+0000
2024,Texas,Houston County,48225,7234,77,2062,22,93.0,2024-11-06T04:43:45.150000+0000
2024,Texas,Howard County,48227,7813,81,1754,18,89.0,2024-11-06T04:25:45.170000+0000
2024,Texas,Hudspeth County,48229,747,73,272,26,83.0,2024-11-06T16:43:25.107000+0000
2024,Texas,Hunt County,48231,36115,77,10195,22,99.0,2024-11-06T05:30:35.123000+0000
2024,Texas,Hutchinson County,48233,7271,88,912,11,89.0,2024-11-06T05:27:20.103000+0000
2024,Texas,Irion County,48235,761,88,105,12,92.0,2024-11-06T02:20:55.327000+0000
2024,Texas,Jack County,48237,3817,91,363,9,95.0,2024-11-06T02:46:10.577000+0000
2024,Texas,Jackson County,48239,5360,85,904,14,93.0,2024-11-06T04:20:45.553000+0000
2024,Texas,Jasper County,48241,13137,83,2606,17,95.0,2024-11-06T06:10:40.190000+0000
2024,Texas,Jeff Davis County,48243,699,60,450,39,84.0,2024-11-06T04:25:45.560000+0000
2024,Texas,Jefferson County,48245,46453,54,38662,45,85.0,2024-11-06T06:15:40.287000+0000
2024,Texas,Jim Hogg County,48247,725,46,855,54,73.0,2024-11-06T02:00:55.623000+0000
2024,Texas,Jim Wells County,48249,7627,58,5548,42,91.0,2024-11-06T03:36:10.577000+0000
2024,Texas,Johnson County,48251,60649,75,19175,24,95.0,2024-11-06T09:50:40.150000+0000
2024,Texas,Jones County,48253,5981,86,906,13,95.0,2024-11-06T05:30:20.220000+0000
2024,Texas,Karnes County,48255,4000,79,1049,21,91.0,2024-11-06T04:05:45.200000+0000
2024,Texas,Kaufman County,48257,43997,64,24667,36,95.0,2024-11-08T12:52:55.103000+0000
2024,Texas,Kendall County,48259,22655,77,6340,22,99.0,2024-11-06T03:29:00.247000+0000
2024,Texas,Kenedy County,48261,115,73,41,26,77.0,2024-11-06T02:35:50.447000+0000
2024,Texas,Kent County,48263,390,88,50,11,91.0,2024-11-06T03:20:40.400000+0000
2024,Texas,Kerr County,48265,21594,77,6299,22,95.0,2024-11-06T05:40:40.227000+0000
2024,Texas,Kimble County,48267,2126,89,261,11,95.0,2024-11-06T03:46:05.513000+0000
2024,Texas,King County,48269,129,96,6,4,80.0,2024-11-06T02:15:45.497000+0000
2024,Texas,Kinney County,48271,1062,75,345,24,83.0,2024-11-06T03:50:50.317000+0000
2024,Texas,Kleberg County,48273,5572,56,4315,43,86.0,2024-11-06T07:30:45.130000+0000
2024,Texas,Knox County,48275,1156,84,214,16,89.0,2024-11-06T17:00:10.117000+0000
2024,Texas,Lamar County,48277,17044,80,4079,19,93.0,2024-11-06T02:55:55.513000+0000
2024,Texas,Lamb County,48279,3382,82,716,17,88.0,2024-11-06T06:25:45.270000+0000
2024,Texas,Lampasas County,48281,8951,79,2229,20,95.0,2024-11-06T03:40:55.190000+0000
2024,Texas,La Salle County,48283,1415,60,931,40,92.0,2024-11-06T03:48:20.330000+0000
2024,Texas,Lavaca County,48285,9199,88,1229,12,95.0,2024-11-06T07:45:45.243000+0000
2024,Texas,Lee County,48287,6722,80,1639,20,95.0,2024-11-06T03:00:50.810000+0000
2024,Texas,Leon County,48289,7978,88,1028,11,95.0,2024-11-06T02:50:45.427000+0000
2024,Texas,Liberty County,48291,25182,81,5923,19,95.0,2024-11-06T06:15:40.230000+0000
2024,Texas,Limestone County,48293,7075,78,1920,21,94.0,2024-11-06T03:40:55.213000+0000
2024,Texas,Lipscomb County,48295,1123,89,123,10,88.0,2024-11-06T04:20:45.300000+0000
2024,Texas,Live Oak County,48297,4302,85,760,15,95.0,2024-11-06T05:43:00.087000+0000
2024,Texas,Llano County,48299,10894,80,2605,19,95.0,2024-11-06T04:40:40.377000+0000
2024,Texas,Loving County,48301,86,89,10,10,95.0,2024-11-06T03:10:55.873000+0000
2024,Texas,Lubbock County,48303,86360,69,37010,30,95.0,2024-11-06T08:25:35.153000+0000
2024,Texas,Lynn County,48305,2171,85,367,14,95.0,2024-11-06T03:30:50.437000+0000
2024,Texas,McCulloch County,48307,3024,86,454,13,95.0,2024-11-06T03:30:50.190000+0000
2024,Texas,McLennan County,48309,64522,65,33761,34,95.0,2024-11-06T05:25:35.300000+0000
2024,Texas,McMullen County,48311,448,92,37,8,89.0,2024-11-06T02:20:55.583000+0000
2024,Texas,Madison County,48313,4495,82,960,18,95.0,2024-11-06T05:45:55.113000+0000
2024,Texas,Marion County,48315,3550,76,1094,23,91.0,2024-11-06T05:47:30.120000+0000
2024,Texas,Martin County,48317,1825,88,247,12,91.0,2024-11-06T02:46:10.843000+0000
2024,Texas,Mason County,48319,2076,82,434,17,95.0,2024-11-06T05:48:35.083000+0000
2024,Texas,Matagorda County,48321,9951,75,3224,24,91.0,2024-11-06T02:54:10.123000+0000
2024,Texas,Maverick County,48323,9282,59,6368,41,95.0,2024-11-06T07:45:45.160000+0000
2024,Texas,Medina County,48325,17450,71,6939,28,95.0,2024-11-06T04:20:45.857000+0000
2024,Texas,Menard County,48327,859,83,169,16,95.0,2024-11-08T12:57:00.100000+0000
2024,Texas,Midland County,48329,46601,80,11251,19,93.0,2024-11-06T11:50:40.183000+0000
2024,Texas,Milam County,48331,8627,78,2315,21,95.0,2024-11-06T03:15:50.627000+0000
2024,Texas,Mills County,48333,2416,88,310,11,95.0,2024-11-06T02:55:55.340000+0000
2024,Texas,Mitchell County,48335,2144,85,352,14,92.0,2024-11-06T02:20:55.287000+0000
2024,Texas,Montague County,48337,9742,89,1199,11,95.0,2024-11-08T12:53:15.090000+0000
2024,Texas,Montgomery County,48339,221706,72,82022,27,95.0,2024-11-06T07:00:40.223000+0000
2024,Texas,Moore County,48341,4456,83,857,16,92.0,2024-11-06T05:50:45.200000+0000
2024,Texas,Morris County,48343,4056,75,1305,24,91.0,2024-11-06T04:05:45.380000+0000
2024,Texas,Motley County,48345,611,94,35,5,94.0,2024-11-06T03:51:40.120000+0000
2024,Texas,Nacogdoches County,48347,17565,69,7680,30,90.0,2024-11-06T03:20:40.460000+0000
2024,Texas,Navarro County,48349,14952,76,4687,24,98.0,2024-11-06T04:50:50.380000+0000
2024,Texas,Newton County,48351,4781,83,952,17,89.0,2024-11-06T03:30:50.420000+0000
2024,Texas,Nolan County,48353,4047,79,1018,20,90.0,2024-11-06T03:00:50.260000+0000
2024,Texas,Nueces County,48355,67015,55,53015,44,90.0,2024-11-06T05:40:40.133000+0000
2024,Texas,Ochiltree County,48357,2720,91,268,9,90.0,2024-11-06T02:35:50.610000+0000
2024,Texas,Oldham County,48359,894,92,74,8,91.0,2024-11-06T03:00:50.737000+0000
2024,Texas,Orange County,48361,30183,83,5937,16,95.0,2024-11-06T05:52:45.190000+0000
2024,Texas,Palo Pinto County,48363,11033,83,2133,16,95.0,2024-11-06T04:20:45.367000+0000
2024,Texas,Panola County,48365,9497,83,1902,17,94.0,2024-11-06T03:15:50.537000+0000
2024,Texas,Parker County,48367,75091,83,14840,16,95.0,2024-11-06T04:10:50.233000+0000
2024,Texas,Parmer County,48369,2123,85,368,15,89.0,2024-11-06T03:55:40.320000+0000
2024,Texas,Pecos County,48371,3041,72,1142,27,85.0,2024-11-06T04:25:45.357000+0000
2024,Texas,Polk County,48373,19147,79,4868,20,94.0,2024-11-06T04:55:45.680000+0000
2024,Texas,Potter County,48375,22966,72,8730,27,91.0,2024-11-06T03:46:05.620000+0000
2024,Texas,Presidio County,48377,686,34,1288,65,85.0,2024-11-06T02:46:10.720000+0000
2024,Texas,Rains County,48379,5638,86,868,13,95.0,2024-11-06T04:20:45.640000+0000
2024,Texas,Randall County,48381,53262,80,12915,19,95.0,2024-11-06T04:00:55.827000+0000
2024,Texas,Reagan County,48383,800,84,140,15,79.0,2024-11-06T02:00:55.500000+0000
2024,Texas,Real County,48385,1625,83,315,16,93.0,2024-11-06T05:54:30.127000+0000
2024,Texas,Red River County,48387,4681,81,1103,19,94.0,2024-11-06T03:30:50.490000+0000
2024,Texas,Reeves County,48389,2331,68,1066,31,88.0,2024-11-06T04:16:00.217000+0000
2024,Texas,Refugio County,48391,2131,70,917,30,86.0,2024-11-06T04:05:45.343000+0000
2024,Texas,Roberts County,48393,547,96,20,4,95.0,2024-11-06T03:10:55.903000+0000
2024,Texas,Robertson County,48395,6157,76,1916,24,95.0,2024-11-08T12:53:55.090000+0000
2024,Texas,Rockwall County,48397,43480,70,18054,29,95.0,2024-11-06T05:50:45.163000+0000
2024,Texas,Runnels County,48399,3580,88,452,11,87.0,2024-11-06T03:55:40.130000+0000
2024,Texas,Rusk County,48401,17212,79,4327,20,95.0,2024-11-06T04:01:55.077000+0000
2024,Texas,Sabine County,48403,4969,89,587,11,95.0,2024-11-06T03:51:10.207000+0000
2024,Texas,San Augustine County,48405,2913,78,809,22,88.0,2024-11-06T05:55:55.247000+0000
2024,Texas,San Jacinto County,48407,10478,82,2161,17,95.0,2024-11-06T07:35:35.133000+0000
2024,Texas,San Patricio County,48409,17323,68,8008,31,93.0,2024-11-06T03:26:05.680000+0000
